ACEP Energy Region,Sector,Year,avg_price,weighted_price
Coastal,Commercial,2011,73.77701631756995,29.132904820060965
Coastal,Commercial,2012,73.55778086397193,28.862916612121708
Coastal,Commercial,2013,72.93063189196164,28.79252451600251
Coastal,Commercial,2014,71.352830673154,28.90659565576799
Coastal,Commercial,2015,66.17606221055587,26.913913778650727
Coastal,Commercial,2016,62.77928656143079,26.54072622943748
Coastal,Commercial,2017,59.95011091805207,26.726156903156824
Coastal,Commercial,2018,64.44842418132944,27.436060711225497
Coastal,Commercial,2019,60.741196462285885,27.115761888161376
Coastal,Commercial,2020,65.10056149898968,27.478785868158944
Coastal,Commercial,2021,63.13477623258062,26.786893179906624
Coastal,Other,2011,76.1138288914168,27.51618709242403
Coastal,Other,2012,75.28321029164533,26.264912305866105
Coastal,Other,2013,75.25884858171331,27.274562846281427
Coastal,Other,2014,73.00220041171455,25.50008272247206
Coastal,Other,2015,68.11485018923074,25.52877015137396
Coastal,Other,2016,64.6597320192793,25.987183259901077
Coastal,Other,2017,65.36667973928527,27.016875144042643
Coastal,Other,2018,66.83124731066654,26.75819028232349
Coastal,Other,2019,65.69073816877531,26.253997167147972
Coastal,Other,2020,66.49313453710978,27.214670420620838
Coastal,Other,2021,66.61725052540375,26.436934643326676
Coastal,Residential,2011,34.16592649916427,25.03456873450231
Coastal,Residential,2012,33.81076944975552,24.80542876971487
Coastal,Residential,2013,34.037085951874175,24.62050407179794
Coastal,Residential,2014,34.67069160399025,23.91361590091856
Coastal,Residential,2015,35.88399744526875,23.861210488445785
Coastal,Residential,2016,37.85077078534832,24.539687627610636
Coastal,Residential,2017,37.107318812720386,24.992708089361567
Coastal,Residential,2018,38.81358915273804,25.84851247184809
Coastal,Residential,2019,38.67724940284035,25.813009226832722
Coastal,Residential,2020,41.88653901166185,26.315705410674635
Coastal,Residential,2021,41.13766540864818,25.93290431637093
