ACEP Energy Region,Sector,Year,avg_price,weighted_price
Railbelt,Commercial,2011,18.144772462433412,16.778061262085803
Railbelt,Commercial,2012,17.91451989376995,16.18157215723005
Railbelt,Commercial,2013,17.21480083280769,15.477473277350835
Railbelt,Commercial,2014,17.915863859362393,17.34959187491852
Railbelt,Commercial,2015,18.367063072991296,17.593878470569415
Railbelt,Commercial,2016,19.19671772171366,18.523243323409567
Railbelt,Commercial,2017,20.4527465738224,19.91703871955976
Railbelt,Commercial,2018,20.061034457622036,19.45854731098493
Railbelt,Commercial,2019,20.40375599643596,19.956887329187555
Railbelt,Other,2011,15.209758188980395,19.181958327165916
Railbelt,Other,2012,17.76334251070016,20.98757874898508
Railbelt,Other,2013,16.552693108468933,18.687638699649373
Railbelt,Other,2014,13.969687344476535,18.09262999754904
Railbelt,Other,2015,13.767524030583047,15.912952098307706
Railbelt,Other,2016,14.399145706336586,16.9101123478847
Railbelt,Other,2017,15.273544758541181,18.11309639497835
Railbelt,Other,2018,15.236010319924452,18.676289495902253
Railbelt,Other,2019,14.891609036026585,17.987772570616755
Railbelt,Residential,2011,20.08506237179994,19.144278983424144
Railbelt,Residential,2012,19.275116341398046,18.271559305736297
Railbelt,Residential,2013,18.980421431044377,18.107799413671245
Railbelt,Residential,2014,20.793513499500847,19.962952206002416
Railbelt,Residential,2015,21.364260976790945,20.7562711403324
Railbelt,Residential,2016,22.227917705631302,21.685712811187813
Railbelt,Residential,2017,23.668089689775403,23.052288549386926
Railbelt,Residential,2018,23.677830995442534,23.03255817741715
Railbelt,Residential,2019,24.219425083080967,23.499085915964255
