"","AEA Reporting ID","PCE ID","CPCN","Utility Name","Community Name","Intertie","AEA Energy Region","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","Source","Number of monthly records","Communities reported","Notes"
"4","SR-1","0","1","Alaska Electric Light&Power Co","Juneau","Juneau_grid","Southeast","10541.171733440709","1319.1061002617275","0.12513846976584286","48231.676495366475","5034.5829823083404","0.10438332954882884","885976.5625","102191.40625","0.11534323883426657","EIA861","0","Juneau, Douglas, Greens Creek (Industrial)",NA
"5","SR-10","0","227","TDX North Slope Generating Co","Deadhorse","Deadhorse_grid","North Slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EIA861",NA,"Deadhorse","No Data"
"6","SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","5705.5019305019305","3265.5440299227794","0.57234999999999991","16803.400000000001","9617.4259899999979","0.57234999999999991","16622.827225130892","9514.0751623036649","0.57234999999999991","PCE","12","Koyuk","PCE revenue assumes all kWh are at residential rate"
"7","SR-101","332140","687","Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","1669.5466666666666","1586.0693333333331","0.94999999999999984","21290","20225.499999999996","0.94999999999999984","3369.6000000000004","3201.12","0.95","PCE","12","Koyukuk","PCE revenue assumes all kWh are at residential rate"
"8","SR-102","332150","281","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","4997.7142857142862","2598.8114285714282","0.51999999999999991","359430.31578947371","186903.76421052628","0.51999999999999991","1116.9032258064515","580.78967741935458","0.51999999999999991","PCE","12","Kwethluk","PCE revenue assumes all kWh are at residential rate"
"9","SR-103","332160","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","5475.4369885433716","3668.5427823240593","0.67","161346.33333333331","108102.04333333332","0.67","2612.3076923076919","1750.2461538461539","0.67","PCE","12","Kwigillingok","PCE revenue assumes all kWh are at residential rate"
"10","SR-104","332170","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","1279.0169971671385","524.39696883852696","0.41000000000000003","16489.518987341773","6760.7027848101261","0.41000000000000003","4140.8275862068967","1697.7393103448278","0.41000000000000003","PCE","7","Larsen Bay","PCE revenue assumes all kWh are at residential rate"
"11","SR-105","332180","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","2884.9749999999999","2452.2287499999993","0.84999999999999976","18806.487804878048","15985.514634146337","0.84999999999999976","3177.8471760797343","2701.1700996677728","0.84999999999999964","PCE","12","Levelock","PCE revenue assumes all kWh are at residential rate"
"12","SR-106","332190","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","233.5","413.29500000000002","1.7700000000000002","713","1262.0099999999998","1.77","1909.5","3379.8149999999996","1.77","PCE","1","Lime Village","PCE revenue assumes all kWh are at residential rate"
"13","SR-107","331430","169","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","3971.4143540669857","2161.773213397129","0.54433333333333334","8668.3902439024405","4718.4937560975613","0.54433333333333334","26705.661971830985","14536.781999999999","0.54433333333333334","PCE","12","Lower Kalskag","PCE revenue assumes all kWh are at residential rate"
"14","SR-108","332200","264","Manley Utilities","Manley Hot Springs","Manley Hot Springs_grid","Yukon-Koyukuk/Upper Tanana","2014.3302180685359","2005.2657320872279","0.99550000000000016","11874.814814814816","11821.378148148151","0.99550000000000016","6318.4454148471605","6290.0124104803499","0.99550000000000027","PCE","12","Manley Hot Springs","PCE revenue assumes all kWh are at residential rate"
"15","SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","4377.9889908256873","2626.793394495412","0.59999999999999987","38613.199999999997","23167.919999999995","0.59999999999999987","7053.625","4232.1749999999993","0.59999999999999987","PCE","12","Manokotak","PCE revenue assumes all kWh are at residential rate"
"16","SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","2523.7725321888411","3578.3729476394851","1.4178666666666668","53580.444444444445","75969.926162962962","1.4178666666666666","3285.6743515850144","4658.6481406340054","1.4178666666666666","PCE","12","Adak","PCE revenue assumes all kWh are at residential rate"
"17","SR-110","331440","169","Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim","5553.1256916996044","2971.1999013438731","0.53504999999999991","5121.1858407079653","2740.0904840707963","0.53504999999999991","34278.623999999996","18340.777771199995","0.53504999999999991","PCE","12","Marshall","PCE revenue assumes all kWh are at residential rate"
"18","SR-111","332220","44","Mcgrath Light & Power","McGrath","McGrath_grid","Yukon-Koyukuk/Upper Tanana","3143.7216046399226","2472.563239729338","0.78650833333333325","51928.899408284014","40842.512125443784","0.78650833333333325","7946.7517447657028","6250.1864701894319","0.78650833333333325","PCE","12","McGrath","PCE revenue assumes all kWh are at residential rate"
"19","SR-112","331450","169","Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim","3336.7058823529405","1863.633652941176","0.55852499999999994","8330.1666666666661","4652.6063374999994","0.55852499999999994","13631.867403314916","7613.738741436463","0.55852499999999994","PCE","12","Mekoryuk","PCE revenue assumes all kWh are at residential rate"
"20","SR-113","331160","2","Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach","3176.3141361256548","1786.4914165794062","0.56244166666666651","40653.25","22865.081685416659","0.56244166666666651","4664.4878048780492","2623.5022951219507","0.56244166666666651","PCE","12","Mentasta Lake","PCE revenue assumes all kWh are at residential rate"
"21","SR-114","331460","169","Alaska Village Electric Cooperative","Minto","Minto_grid","Yukon-Koyukuk/Upper Tanana","3950.7516778523491","2028.4146802013424","0.51342500000000002","0","0",NA,"21352.716417910447","10963.01842686567","0.51342500000000002","PCE","12","Minto","PCE revenue assumes all kWh are at residential rate"
"22","SR-115","331470","169","Alaska Village Electric Cooperative","Mountain Village","Mountain Village_grid","Lower Yukon-Kuskokwim","5257.4593824228023","2919.0290734441796","0.55521666666666658","20309.771428571428","11276.323593333331","0.55521666666666658","25581.396825396827","14203.217874074071","0.55521666666666658","PCE","12","Mountain Village","PCE revenue assumes all kWh are at residential rate"
"23","SR-116","332280","22","Naknek Electric Association","Naknek","Naknek_grid","Bristol Bay","4589.0457485029938","2213.2202804071858","0.48228333333333334","308106.76315789478","148594.75675833336","0.48228333333333334","11780.48284734134","5681.5305358919386","0.48228333333333334","PCE","12","Naknek, South Naknek, King Salmon","PCE revenue assumes all kWh are at residential rate"
"24","SR-117","332290","319","Napakiak Ircinraq","Napakiak","Bethel_grid","Lower Yukon-Kuskokwim","3512.4957397366384","2793.7512989930283","0.79537499999999994","60572.25","48177.653343749989","0.79537499999999983","3718.8749999999995","2957.9002031249988","0.79537499999999983","PCE","12","Napakiak","PCE revenue assumes all kWh are at residential rate"
"25","SR-118","332300","625","Napaskiak Electric Utility","Napaskiak","Napaskiak_grid","Lower Yukon-Kuskokwim","3527.2309985096872","2469.0616989567807","0.70000000000000007","22237.75","15566.425000000001","0.70000000000000007","2027.1044776119402","1418.9731343283581","0.70000000000000007","PCE","12","Napaskiak","PCE revenue assumes all kWh are at residential rate"
"26","SR-119","331170","2","Alaska Power & Telephone Company","Naukati Bay","Prince of Wales Is._grid","Southeast","5096.5263157894733","1347.521557894737","0.26440000000000002",NA,NA,"0.26440000000000002","2952.3977900552486","780.61397569060784","0.26440000000000002","PCE","12","Naukati Bay","PCE revenue assumes all kWh are at residential rate"
"27","SR-12","331010","449","Akhiok, City of","Akhiok","Akhiok_grid","Kodiak","3100.7777777777783","2480.6222222222223","0.79999999999999993","20168","16134.4","0.79999999999999993","2500.0975609756097","2000.0780487804875","0.79999999999999993","PCE","12","Akhiok","PCE revenue assumes all kWh are at residential rate"
"28","SR-120","332320","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","3745.8997361477577","3146.5557783641161","0.84","11748.279069767441","9868.55441860465","0.84","1500.2097902097901","1260.1762237762234","0.84","PCE","12","Nelson Lagoon","PCE revenue assumes all kWh are at residential rate"
"29","SR-121","331480","169","Alaska Village Electric Cooperative","New Stuyahok","New_Stuyahok_grid","Bristol Bay","5563.6067146282967","3426.5790121502801","0.61589166666666684","9746.4210526315783","6002.7395061403522","0.61589166666666684","17832.341356673965","10982.790438730857","0.61589166666666684","PCE","12","New Stuyahok","PCE revenue assumes all kWh are at residential rate"
"30","SR-122","332870","375","Ungusraq Power Company","Newtok","Newtok_grid","Lower Yukon-Kuskokwim","2625.8958652373663","2100.7166921898929","0.79999999999999993","38196.666666666664","30557.333333333325","0.79999999999999993","1248.743169398907","998.99453551912552","0.79999999999999982","PCE","10","Newtok","PCE revenue assumes all kWh are at residential rate"
"31","SR-123","331490","169","Alaska Village Electric Cooperative","Nightmute","Toksook Bay_grid","Lower Yukon-Kuskokwim","5398.7439613526567","3038.9079863124002","0.56289166666666679","5075.4285714285716","2856.9164476190485","0.56289166666666679","22897.003636363635","12888.532538545458","0.56289166666666679","PCE","12","Nightmute","PCE revenue assumes all kWh are at residential rate"
"32","SR-124","332330","416","Nikolai, City of","Nikolai","Nikolai_grid","Yukon-Koyukuk/Upper Tanana","3910.8666666666668","3519.7800000000007","0.90000000000000024","11298.457831325299","10168.612048192772","0.90000000000000013","5009.604651162791","4508.6441860465129","0.90000000000000024","PCE","11","Nikolai","PCE revenue assumes all kWh are at residential rate"
"33","SR-125","332740","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","3838.6153846153848","2878.961538461539","0.75000000000000011","11876.6","8907.4500000000007","0.75","4430.5979381443303","3322.9484536082482","0.75","PCE","12","Nikolski","PCE revenue assumes all kWh are at residential rate"
"34","SR-126","331500","169","Alaska Village Electric Cooperative","Noatak","Noatak_grid","Northwest Arctic","7205.9063829787228","6712.8422387234041","0.93157499999999993","18568.571428571428","17298.016928571426","0.93157499999999993","24360.651428571429","22693.773854571427","0.93157499999999993","PCE","12","Noatak","PCE revenue assumes all kWh are at residential rate"
"35","SR-127","332340","150","Nome Joint Utility Systems","Nome","Nome_grid","Bering Straits","5072.1265569076586","1853.4395793366741","0.36541666666666672","138678.48979591837","50675.43147959184","0.36541666666666672","27854.48727272727","10178.493890909092","0.36541666666666672","PCE","12","Nome","PCE revenue assumes all kWh are at residential rate"
"36","SR-128","331510","169","Alaska Village Electric Cooperative","Noorvik","Noorvik_grid","Northwest Arctic","6329.4912808177996","3659.6591128081782","0.57819166666666677","16315.5","9433.4861375000019","0.57819166666666677","23417.373134328358","13539.730001492539","0.57819166666666677","PCE","12","Noorvik","PCE revenue assumes all kWh are at residential rate"
"37","SR-129","331180","2","Alaska Power & Telephone Company","Northway","Northway_grid","Yukon-Koyukuk/Upper Tanana","4091.226179018287","2327.2258248315698","0.56883333333333352","50163.333333333336","28534.576111111121","0.56883333333333352","10271.968911917098","5843.0383160621777","0.56883333333333352","PCE","12","Northway, Northway Village, Northway Junction","PCE revenue assumes all kWh are at residential rate"
"38","SR-13","331020","412","Akiachak Native Community","Akiachak","Akiachak_grid","Lower Yukon-Kuskokwim","3889.45652173913","2401.7394021739128","0.61749999999999994","36868.410256410258","22766.243333333328","0.61749999999999994","14274.034026465029","8814.2160113421542","0.61749999999999994","PCE","12","Akiachak","PCE revenue assumes all kWh are at residential rate"
"39","SR-130","332380","254","North Slope Borough Power & Light","Nuiqsut","Nuiqsut_grid","North Slope","8740.851824274012","852.23305286671609","9.7499999999999989E-2","1701042.3333333335","165851.62749999997","9.7499999999999989E-2","1944.2660753880266","189.56594235033256","9.7499999999999989E-2","PCE","12","Nuiqsut","PCE revenue assumes all kWh are at residential rate"
"40","SR-131","331520","169","Alaska Village Electric Cooperative","Nulato","Nulato_grid","Yukon-Koyukuk/Upper Tanana","4483.7830404889228","2426.1376383498855","0.54109166666666664","0","0",NA,"32230.945054945059","17439.895778021983","0.54109166666666664","PCE","12","Nulato","PCE revenue assumes all kWh are at residential rate"
"41","SR-132","332420","408","Nunam Iqua Electric Company","Nunam Iqua","Nunam Iqua_grid","Lower Yukon-Kuskokwim","5076.3114186851208","2276.5564608996538","0.44846666666666662","53302.833333333336","23904.54398888889","0.44846666666666668","13036.78612716763","5846.5640184971098","0.44846666666666662","PCE","12","Nunam Iqua","PCE revenue assumes all kWh are at residential rate"
"42","SR-133","331530","169","Alaska Village Electric Cooperative","Nunapitchuk","Kasigluk_grid","Lower Yukon-Kuskokwim","5017.4065040650403","2737.9569175474248","0.54569166666666657","10072.622222222222","5496.5460081481469","0.54569166666666657","16614.70487106017","9066.5059922636101","0.54569166666666657","PCE","12","Nunapitchuk","PCE revenue assumes all kWh are at residential rate"
"43","SR-134","331540","169","Alaska Village Electric Cooperative","Old Harbor","Old Harbor_grid","Kodiak","3902.6535362578338","2138.6866599820946","0.54800833333333332","0","0",NA,"15857.305263157894","8689.9354284210513","0.54800833333333332","PCE","12","Old Harbor","PCE revenue assumes all kWh are at residential rate"
"44","SR-135","332440","357","Ouzinkie, City of","Ouzinkie","Ouzinkie_grid","Kodiak","3401.2191780821913","1367.9136664383559","0.40218333333333334","17119.594936708861","6885.2157569620249","0.40218333333333334","4553.8389261744969","1831.4781187919466","0.40218333333333334","PCE","12","Ouzinkie","PCE revenue assumes all kWh are at residential rate"
"45","SR-136","332450","662","Pedro Bay Village Council","Pedro Bay","Pedro Bay_grid","Bristol Bay","1885.1023622047242","1537.9293438320212","0.81583333333333352","19302.75","15747.826875000002","0.81583333333333352","2358.1040462427745","1923.8198843930638","0.81583333333333352","PCE","12","Pedro Bay","PCE revenue assumes all kWh are at residential rate"
"46","SR-137","332460","24","Pelican Utility","Pelican","Pelican_grid","Southeast",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EIA861S",NA,"Pelican","No Data"
"47","SR-138","332470","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay","2064.3829787234044","1961.1638297872339","0.95",NA,NA,"0.95","403.31521739130437","383.14945652173913","0.95","PCE","10","Perryville","PCE revenue assumes all kWh are at residential rate"
"48","SR-139","332480","425","Pilot Point Electric Utility","Pilot Point","Pilot Point_grid","Bristol Bay","4262","2557.1999999999994","0.59999999999999987","16962.200000000004","10177.319999999998","0.59999999999999987","4334.2564102564102","2600.5538461538458","0.59999999999999987","PCE","12","Pilot Point","PCE revenue assumes all kWh are at residential rate"
"49","SR-14","331030","635","Akiak City Council","Akiak","Akiak_grid","Lower Yukon-Kuskokwim","3810.5115207373269","2019.5711059907837","0.53000000000000014","159609.45000000001","84593.008500000025","0.53000000000000014","1536.3117647058823","814.24523529411783","0.53000000000000014","PCE","11","Akiak","PCE revenue assumes all kWh are at residential rate"
"50","SR-140","331550","169","Alaska Village Electric Cooperative","Pilot Station","Pilot Station_grid","Lower Yukon-Kuskokwim","5124.1490683229822","2801.4576981366463","0.54671666666666674","18534.039215686273","10132.868139869281","0.54671666666666663","32692.637288135586","17873.609682711864","0.54671666666666674","PCE","12","Pilot Station","PCE revenue assumes all kWh are at residential rate"
"51","SR-141","331560","169","Alaska Village Electric Cooperative","Pitkas Point","Saint Mary's_grid","Lower Yukon-Kuskokwim","5078.8839779005521","1942.6307975138118","0.38249166666666662","0","0",NA,"43454.285714285717","16620.902166666663","0.38249166666666662","PCE","12","Pitkas Point","PCE revenue assumes all kWh are at residential rate"
"52","SR-143","332390","254","North Slope Borough Power & Light","Point Hope","Point Hope_grid","North Slope","9640.0551724137913","2028.1872744827588","0.21039166666666667","1902470","400263.83408333332","0.21039166666666667","1540.4725050916497","324.10257780040735","0.21039166666666667","PCE","12","Point Hope","PCE revenue assumes all kWh are at residential rate"
"53","SR-144","332400","254","North Slope Borough Power & Light","Point Lay","Point Lay_grid","North Slope","10008.326002587321","2061.2147402328587","0.20594999999999999","2379686","490096.33169999992","0.20594999999999997","2517.8160469667318","518.54421487279831","0.20594999999999997","PCE","12","Point Lay","PCE revenue assumes all kWh are at residential rate"
"54","SR-145","332590","447","Tanalian Electric Cooperative","Port Alsworth","Port Alsworth_grid","Bristol Bay","4172.0578512396687","2606.3193068181822","0.62470833333333342",NA,NA,"0.62470833333333342","1117.4208675263776","698.06212778429085","0.62470833333333342","PCE","12","Port Alsworth","PCE revenue assumes all kWh are at residential rate"
"55","SR-146","332500","399","Port Heiden Utilities","Port Heiden","Port Heiden_grid","Bristol Bay","3412.7644151565069","2218.2968698517298","0.65000000000000013","20076.444444444445","13049.68888888889","0.65000000000000013","5615.1744471744478","3649.8633906633918","0.65000000000000013","PCE","12","Port Heiden","PCE revenue assumes all kWh are at residential rate"
"56","SR-147","331570","169","Alaska Village Electric Cooperative","Quinhagak","Quinhagak_grid","Lower Yukon-Kuskokwim","5744.187554776513","2958.3044589395272","0.5150083333333334","17757.0625","9145.0351630208334","0.5150083333333334","36178.457831325293","18632.207270281127","0.5150083333333334","PCE","12","Quinhagak","PCE revenue assumes all kWh are at residential rate"
"57","SR-148","332520","759","Rampart Village Council","Rampart","Rampart_grid","Yukon-Koyukuk/Upper Tanana","2216.1235154394294","1810.9053306413293","0.81714999999999982","4434.1621621621625","3623.3756108108096","0.81714999999999971","15794.518518518518","12906.490807407405","0.81714999999999982","PCE","12","Rampart","PCE revenue assumes all kWh are at residential rate"
"58","SR-149","332250","343","Middle Kuskokwim Electric","Red Devil","Red Devil_grid","Lower Yukon-Kuskokwim","3234.676691729323","4235.943906015038","1.3095416666666668","85062","111392.23325000002","1.3095416666666668","908.25","1189.3912187500002","1.3095416666666668","PCE","12","Red Devil","PCE revenue assumes all kWh are at residential rate"
"59","SR-15","331040","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","4220.6236559139779","4009.5924731182786","0.94999999999999984","20486.307692307691","19461.992307692301","0.94999999999999984","5011.6327868852459","4761.0511475409821","0.94999999999999984","PCE","12","Akutan","PCE revenue assumes all kWh are at residential rate"
"60","SR-150","332530","364","Ruby, City of","Ruby","Ruby_grid","Yukon-Koyukuk/Upper Tanana","2360.9977186311789","1770.7482889733842","0.75","16161.015873015875","12120.761904761905","0.74999999999999989","5222.3703703703695","3916.7777777777774","0.75","PCE","12","Ruby","PCE revenue assumes all kWh are at residential rate"
"61","SR-151","331580","169","Alaska Village Electric Cooperative","Russian Mission","Russian Mission_grid","Lower Yukon-Kuskokwim","5275.7854889589908","2888.3166956887494","0.54746666666666677","5159.9999999999991","2824.9280000000003","0.54746666666666677","28056.521739130436","15360.010434782613","0.54746666666666677","PCE","12","Russian Mission","PCE revenue assumes all kWh are at residential rate"
"62","SR-152","332550","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","3667.7987421383646","3667.7987421383646","1","13460.052631578948","13460.052631578948","1","5524.6329113924048","5524.6329113924048","1","PCE","12","Saint George","PCE revenue assumes all kWh are at residential rate"
"63","SR-153","331660","169","Alaska Village Electric Cooperative","Saint Mary's","Saint Mary's_grid","Lower Yukon-Kuskokwim","4822.6890756302519","1844.6383823529409","0.38249166666666662","23392.235294117647","8947.3350647058815","0.38249166666666662","24767.279648609077","9473.2780715958997","0.38249166666666662","PCE","12","Saint Mary's, Andreafsky","PCE revenue assumes all kWh are at residential rate"
"64","SR-154","331670","169","Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits","6668.5941343424802","3622.3247621570486","0.54319166666666663","21056.400000000001","11437.66101","0.54319166666666663","23661.408207343415","12852.679759827213","0.54319166666666663","PCE","12","Saint Michael","PCE revenue assumes all kWh are at residential rate"
"65","SR-155","332560","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","5056.2566317088204","2073.0652190006172","0.41000000000000014","38966.344023323618","15976.201049562686","0.41000000000000009","12274.049079754601","5032.3601226993869","0.41000000000000009","PCE","12","Saint Paul","PCE revenue assumes all kWh are at residential rate"
"66","SR-156","332540","749","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","5045.8207452165161","2591.6176317556233","0.51361666666666672","37097.448275862072","19053.867725287357","0.51361666666666672","9272.0627943485088","4762.2859855572997","0.51361666666666672","PCE","12","Sand Point","PCE revenue assumes all kWh are at residential rate"
"67","SR-157","331590","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","6189.3340206185576","3355.4958614948446","0.54214166666666652","4639.6981132075471","2515.3736679245276","0.54214166666666652","26231.425531914894","14221.148756914887","0.54214166666666652","PCE","12","Savoonga","PCE revenue assumes all kWh are at residential rate"
"68","SR-158","331600","169","Alaska Village Electric Cooperative","Scammon Bay","Scammon Bay_grid","Lower Yukon-Kuskokwim","4997.3618729096988","2793.525286956522","0.55900000000000005","10278.25","5745.5417500000003","0.55900000000000005","21311.021459227464","11912.860995708153","0.55900000000000005","PCE","12","Scammon Bay","PCE revenue assumes all kWh are at residential rate"
