"AEA Sales Reporting ID","PCE ID","RCA CPCN","Utility Name","Community Name","Intertie Name","AEA Energy Region","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","Data Source","Number of monthly records","Communities reported","Notes"
"SR-1","0","1","Alaska Electric Light&Power Co","Juneau","Juneau_grid","Southeast","9680.7949705941992","1372.9128641925236","0.14181819451427294","51406.542056074766","6190.3993203058626","0.12042045764434639","553210.52631578944","66400","0.12002663875939493","EIA861","0","Juneau, Douglas, Greens Creek (Industrial)",NA
"SR-10","0","227","TDX North Slope Generating Co","Deadhorse","Deadhorse_grid","North Slope","0","0","0","331876.54320987657","73203.703703703708","0.2205751060188974","0","0",NA,"EIA861","0","Deadhorse",NA
"SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","5334.1075268817212","3159.3918881720424","0.59229999999999994","13647.666666666666","8083.5129666666653","0.59229999999999994","18624.206896551725","11031.117744827588","0.59229999999999994","PCE","12","Koyuk","PCE revenue assumes all kWh are at residential rate"
"SR-101","332140","687","Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","0","0","0","0","0","0","0","0",NA,"0","0","Koyukuk","PCE revenue assumes all kWh are at residential rate"
"SR-102","332150","281","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","4205.1595744680844","2186.6829787234037","0.51999999999999991","25628.653846153844","13326.899999999998","0.51999999999999991","5684.7142857142844","2956.0514285714276","0.51999999999999991","PCE","12","Kwethluk","PCE revenue assumes all kWh are at residential rate"
"SR-103","332160","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","4894.9716981132069","3826.2362106918235","0.78166666666666673","27945.176470588234","21843.812941176475","0.78166666666666673","5185","4052.9416666666666","0.78166666666666673","PCE","12","Kwigillingok","PCE revenue assumes all kWh are at residential rate"
"SR-104","332170","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","2464.5192307692309","1010.4528846153848","0.41000000000000009","14110.137931034482","5785.1565517241379","0.41000000000000003","10435.500000000002","4278.5550000000021","0.41000000000000009","PCE","12","Larsen Bay",NA
"SR-105","332180","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","2933.0749999999998","2493.1137499999991","0.84999999999999976","7941.8125000000009","6750.5406249999996","0.84999999999999976","4217.2222222222226","3584.6388888888878","0.84999999999999964","PCE","4","Levelock","PCE revenue assumes all kWh are at residential rate"
"SR-106","332190","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","1227.3636363636363","2172.4336363636357","1.77","3768.0000000000005","6669.3600000000006","1.77","2017.1999999999998","3570.4439999999995","1.7700000000000002","PCE","12","Lime Village","PCE revenue assumes all kWh are at residential rate"
"SR-107","331430","169","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","3529.4777777777772","1894.2707233333326","0.53669999999999984","6188.5","3321.3679499999989","0.53669999999999984","27344.2","14675.632139999996","0.53669999999999984","PCE","12","Lower Kalskag","PCE revenue assumes all kWh are at residential rate"
