"","AEA Sales Reporting ID","PCE ID","RCA CPCN","Utility Name","Community Name","Intertie Name","AEA Energy Region","Residential Rate ($/kWh)","PCE Residential Reimbursement Rate ($/kWh)","Residential Rate after PCE ($/kWh)","Percent of Residential Rate Covered by PCE Reimbursement","PCE Community
(Y/N)","Data Source","Number of monthly records","Communities reported","Notes"
"4","SR-1","0","1","Alaska Electric Light&Power Co","Juneau","Juneau_grid","Southeast","0.14181819451427294","0","0.14181819451427294","0","No","EIA861","0","Juneau, Douglas, Greens Creek (Industrial)",NA
"5","SR-10","0","227","TDX North Slope Generating Co","Deadhorse","Deadhorse_grid","North Slope","0","0","0","0","No","EIA861","0","Deadhorse",NA
"6","SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","0.59229999999999994","0.34986666666666655","0.24243333333333339","0.59069165400416446","Yes","PCE","12","Koyuk",NA
"7","SR-101","332140","687","Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","0","0","0","0","Yes","0","0","Koyukuk",NA
"8","SR-102","332150","281","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","0.51999999999999991","0.26198333333333335","0.25801666666666656","0.50381410256410264","Yes","PCE","12","Kwethluk",NA
"9","SR-103","332160","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","0.78166666666666673","0.43712499999999999","0.34454166666666675","0.55922174840085281","Yes","PCE","12","Kwigillingok",NA
"10","SR-104","332170","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","0.41000000000000009","9.9999999999988987E-5","0.4099000000000001","2.4390243902436333E-4","Yes","PCE","12","Larsen Bay",NA
"11","SR-105","332180","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","0.84999999999999976","0.49598333333333317","0.35401666666666659","0.58350980392156859","Yes","PCE","4","Levelock",NA
"12","SR-106","332190","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","1.77","0.76859999999999995","1.0014000000000001","0.4342372881355932","Yes","PCE","12","Lime Village",NA
"13","SR-107","331430","169","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","0.53669999999999984","0.29700833333333321","0.23969166666666661","0.55339730451524738","Yes","PCE","12","Lower Kalskag",NA
"14","SR-108","332200","264","Manley Utilities","Manley Hot Springs","Manley Hot Springs_grid","Yukon-Koyukuk/Upper Tanana","1.0450416666666666","0.76611666666666656","0.27892500000000003","0.7330967664766157","Yes","PCE","12","Manley Hot Springs",NA
"15","SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","0.56666666666666654","0.22779999999999989","0.33886666666666665","0.40199999999999991","Yes","PCE","3","Manokotak",NA
"16","SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","1.3661500000000002","0.76889166666666686","0.59725833333333334","0.56281643060181297","Yes","PCE","12","Adak",NA
"17","SR-110","331440","169","Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim","0.53880000000000006","0.29900833333333354","0.23979166666666654","0.55495236327641706","Yes","PCE","6","Marshall",NA
"18","SR-111","332220","44","Mcgrath Light & Power","McGrath","McGrath_grid","Yukon-Koyukuk/Upper Tanana","0.7782916666666666","0.3782833333333333","0.4000083333333333","0.48604315006156645","Yes","PCE","12","McGrath",NA
"19","SR-112","331450","169","Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim","0.57540000000000002","0.31000833333333339","0.26539166666666664","0.53877013092341564","Yes","PCE","12","Mekoryuk",NA
"20","SR-113","331160","2","Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach","0.60563333333333325","0.29777499999999985","0.3078583333333334","0.49167538114370613","Yes","PCE","12","Mentasta Lake",NA
"21","SR-114","331460","169","Alaska Village Electric Cooperative","Minto","Minto_grid","Yukon-Koyukuk/Upper Tanana","0.53910000000000013","0.2993083333333334","0.23979166666666674","0.55520002473257901","Yes","PCE","12","Minto",NA
"22","SR-115","331470","169","Alaska Village Electric Cooperative","Mountain Village","Mountain Village_grid","Lower Yukon-Kuskokwim","0.56799999999999984","0.32676666666666665","0.24123333333333322","0.57529342723004706","Yes","PCE","12","Mountain Village",NA
"23","SR-116","332280","22","Naknek Electric Association","Naknek","Naknek_grid","Bristol Bay","0.47764999999999996","0.28338333333333332","0.19426666666666667","0.59328657664259044","Yes","PCE","12","Naknek, South Naknek, King Salmon",NA
"24","SR-117","332290","319","Napakiak Ircinraq","Napakiak","Bethel_grid","Lower Yukon-Kuskokwim","0.69720000000000015","0.3639083333333335","0.33329166666666665","0.52195687511952582","Yes","PCE","4","Napakiak",NA
