DATE,CUUSA427SA0
1984-01-01,102.700
1984-07-01,103.900
1985-01-01,104.700
1985-07-01,106.900
1986-01-01,108.300
1986-07-01,107.400
1987-01-01,108.300
1987-07-01,108.100
1988-01-01,108.400
1988-07-01,108.900
1989-01-01,110.900
1989-07-01,112.500
1990-01-01,116.900
1990-07-01,120.400
1991-01-01,123.300
1991-07-01,124.700
1992-01-01,127.300
1992-07-01,129.100
1993-01-01,131.500
1993-07-01,132.800
1994-01-01,134.300
1994-07-01,135.800
1995-01-01,138.200
1995-07-01,139.500
1996-01-01,141.800
1996-07-01,143.700
1997-01-01,144.100
1997-07-01,145.400
1998-01-01,146.700
1998-07-01,147.000
1999-01-01,148.600
1999-07-01,148.300
2000-01-01,150.000
2000-07-01,151.900
2001-01-01,154.400
2001-07-01,156.000
2002-01-01,157.500
2002-07-01,159.000
2003-01-01,161.100
2003-07-01,163.900
2004-01-01,165.600
2004-07-01,167.800
2005-01-01,169.600
2005-07-01,174.100
2006-01-01,176.700
2006-07-01,177.900
2007-01-01,179.394
2007-07-01,183.080
2008-01-01,187.659
2008-07-01,191.335
2009-01-01,190.032
2009-07-01,193.456
2010-01-01,194.834
2010-07-01,195.455
2011-01-01,200.278
2011-07-01,202.576
2012-01-01,205.215
2012-07-01,206.617
2013-01-01,210.853
2013-07-01,213.910
2014-01-01,214.777
2014-07-01,216.833
2015-01-01,217.111
2015-07-01,216.706
2016-01-01,216.999
2016-07-01,218.660
2017-01-01,218.616
2017-07-01,219.131
2018-01-01,223.099
2018-07-01,227.992
2019-01-01,228.858
2019-07-01,228.495
2020-01-01,225.049
2020-07-01,227.258
2021-01-01,232.679
2021-07-01,241.698
2022-01-01,252.271
2022-07-01,260.576
2023-01-01,257.938
2023-07-01,262.806
