"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
"Table 1.f   Generation by Fuel Type by Operators/Utilities (MWh), by AEA Energy Region, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Utility Solar,Storage,Other,Region Total,Percent of Statewide Total
Aleutians,108435.376,0,0,3758.9399999999996,1174.9189999999999,0,0,662.67200000000003,114031.90700000001,1.8586449084763274E-2
Bering Straits,49414.07,0,0,0,3899.7380000000003,0,0,0,53313.807999999997,8.6897992323047325E-3
Bristol Bay,57623.348999999995,0,0,4108.9120000000003,11.794,0.7320000000000001,0,0,61744.787000000004,1.0063993228009887E-2
Copper River/Chugach,32360.708999999999,0,0,92111,0,0,0,0,124471.709,2.0288067986287121E-2
Kodiak,1719.1070000000002,0,0,125746.54500000001,25014.999999999996,0,-615,0,151865.652,2.4753100100504129E-2
Lower Yukon-Kuskokwim,91528.745999999956,0,0,0,6630.7400000000007,0,0,0,98159.485999999961,1.5999349100822565E-2
North Slope,30434.611000000004,109041.82500000001,0,0,0,0,0,0,139476.43600000002,2.2733739568507289E-2
Northwest Arctic,34728.064000000006,0,0,0,1971.364,8.577,-7,0,36701.005000000005,5.9820218633381472E-3
Railbelt,456335.98099999997,2614832.557,683055.022,650665,112297,131,-3280,0,4514036.5600000005,0.73575820045875373
Southeast,53691.677000000003,0,0,752951.49699999997,0,0,0,0,806643.174,0.13147751956058087
Yukon-Koyukuk/Upper Tanana,34749.286,0,0,0,0,23.652999999999999,0,0,34772.938999999998,5.6677598161282965E-3
Total,951020.97600000002,2723874.3820000002,683055.022,1629341.8939999999,151000.55499999999,163.96199999999999,-3902,662.67200000000003,6135217.4630000005,0.99999999999999989
Percent of Total,0.15501014947479458,0.44397356710288138,0.11133346554043735,0.26557198727284947,2.4612094992662852E-2,2.6724725079235545E-5,-6.3600027603455129E-4,1.0801116732966894E-4,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source: Aggregated from Table 2.3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Note: generation is net generation (net of station service) for entities reporting to EIA; and gross generation for entitites reporting to PCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
