"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Table 1.i   Revenue Received by Certificated Utilities ($000), by AEA Energy Region, 2019",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Totala,Percent of Statewide Total
Aleutians,3384.2103409916663,22051.129054125002,3948.5734392833328,29383.912834399995,2.4765933458826831E-2
Bering Straits,7058.8701172083338,4735.2627826166672,8634.9181985083342,20429.051098333337,1.721841890083417E-2
Bristol Bay,7212.9407177856065,15708.707808779547,5538.4336295810608,28460.082156146214,2.3987292124236743E-2
Copper River/Chugach,6431.2927830666667,21774.439102941669,1567.0980352083332,29772.829921216668,2.5093728288173939E-2
Kodiak,6501.9355887833326,3930.4859695083337,13353.642751233334,23786.064309525002,2.0047843500523396E-2
Lower Yukon-Kuskokwim,17186.868797774998,13140.406159791666,17064.224771016667,47391.499728583338,3.9943445769347996E-2
North Slope,2935.8795024916662,20789.401061158333,263.06175317499992,23988.342316825001,2.0218331471176205E-2
Northwest Arctic,6214.9917469499997,5160.0199471500009,4654.2925161333342,16029.304210233333,1.3510136777876051E-2
Railbelt,329167.7,347325.60000000003,159843.79999999999,836337.10000000009,0.70489825791681859
Southeast,48466.829052291658,43026.293471716664,20585.690200949997,112078.81272495835,9.4464492653989027E-2
Yukon-Koyukuk/Upper Tanana,6783.3912559166665,6190.6348217083323,5833.9581952749986,18807.984272900005,1.5852119138196945E-2
Total,441344.90990326059,503832.38017949625,241287.69349036436,1186464.9835731215,1
Percent of Total,0.37198308927257157,0.42465002099107058,0.20336688973635764,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
bRevenue for PCE communities assumes that all sales pay the residential rate.,NA,NA,NA,NA,NA
