"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Table 1.h  Electricity Sales by Certificated Utilities (MWh), by AEA Energy Region, 2019",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,6586.3050000000003,50567.608999999997,7142.7879999999996,64519.090999999993,1.1185904916561179E-2
Bering Straits,16147.238999999998,12080.680000000002,20111.526000000002,48366.982999999993,8.3855563454688312E-3
Bristol Bay,13626.492000000002,31884.287,10451.348999999998,56250.491999999998,9.752348417645643E-3
Copper River/Chugach,21722.912,88214.472000000009,3896.3070000000002,113844.81300000001,1.9737681261840594E-2
Kodiak,35552.377,21650.912999999997,83665.663000000015,140868.95300000001,2.4422952796305297E-2
Lower Yukon-Kuskokwim,31963.559999999998,26783.445,34433.618999999984,93649.487999999998,1.6236345739164819E-2
North Slope,17460.671999999999,113625.91,1342.4479999999999,132429.03,2.2959693244475932E-2
Northwest Arctic,12471.748,11957.744000000001,8396.1540000000005,32836.084999999999,5.6929091676465315E-3
Railbelt,1428482,1919766,945617,4293865,0.74444268928943791
Southeast,313145.12400000007,296461.68800000008,150845.804,760452.61599999992,0.13184238222026734
Yukon-Koyukuk/Upper Tanana,11450.258,10022.021000000001,9244.2130000000016,30809.406000000003,5.3415366011856794E-3
Total,1908608.6869999999,2583014.7690000003,1275146.871,5767891.9570000013,1
Percent of Total,0.33090229519359898,0.44782648292591792,0.22107676088704512,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
