"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Table 1.j   Customers Served by Certificated Utilities (Accounts), by AEA Energy Region, 2019",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Totala,Percent of Statewide Total
Aleutians,1529,616,333,29383.912834399995,2.4765933458826831E-2
Bering Straits,3277,584,547,20429.051098333337,1.721841890083417E-2
Bristol Bay,3322,1322,588,28460.082156146214,2.3987292124236743E-2
Copper River/Chugach,4271,1656,165,29772.829921216668,2.5093728288173939E-2
Kodiak,5108,1148,173,23786.064309525002,2.0047843500523396E-2
Lower Yukon-Kuskokwim,7422,1629,972,47391.499728583338,3.9943445769347996E-2
North Slope,2310,1083,41,23988.342316825001,2.0218331471176205E-2
Northwest Arctic,2137,270,305,16029.304210233333,1.3510136777876051E-2
Railbelt,223269,33386,558,836337.10000000009,0.70489825791681859
Southeast,33698,9407,822,112078.81272495835,9.4464492653989027E-2
Yukon-Koyukuk/Upper Tanana,3433,746,674,18807.984272900005,1.5852119138196945E-2
Total,289776,51847,5178,1186464.9835731215,1
Percent of Total,0.24423476799738286,4.3698719067004545E-2,4.3642248795291829E-3,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
