"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
"Table 2.3a   Generation (MWh) by plant and prime mover, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Solar PV,Wind Turbine,Flywheel,Battery,Total Generation,Data source,Number of monthly records,Communities connected to plant,Notes
P1,0,Agrium US Inc,Agrium Kenai Nitrogen Operations,Railbelt_grid,Railbelt,0,0,0,0,0,0,0,0,0,0,0,NA
P10,1,Alaska Electric Light&Power Co,Lake Dorothy Hydroelectric Project,Juneau_grid,Southeast,0,0,67932,0,0,0,0,67932,EIA923,12,"Juneau, Douglas",NA
P100,683,Karluk IRA Tribal Council,Karluk,Karluk_grid,Kodiak,0,197.209,0,0,0,0,0,197.209,PCE,12,Karluk,NA
P101,121,Anchorage Municipal Light and Power,Anchorage 1,Railbelt_grid,Railbelt,14732.000000000004,4.9000000000000004,0,0,0,0,0,14736.900000000005,EIA923,36,0,NA
P102,121,Anchorage Municipal Light and Power,Eklutna Hydro Project,Railbelt_grid,Railbelt,0,0,190970.99999999997,0,0,0,0,190970.99999999997,EIA923,12,0,NA
P103,121,Anchorage Municipal Light and Power,George M Sullivan Generation Plant 2,Railbelt_grid,Railbelt,626189,0,0,0,0,0,0,626189.00000000012,EIA923,60,0,NA
P104,NA,Anchorage Municipal Light & Power,AWWU Conduit,Railbelt_grid,Railbelt,0,0,0,0,0,0,0,0,0,0,0,NA
P105,5,Aniak Light & Power,Aniak,Aniak_grid,Lower Yukon-Kuskokwim,0,2466.8100000000004,0,0,0,0,0,2466.8100000000004,PCE,12,Aniak,NA
P106,747,Arctic Village Electric Company,Arctic Village,Arctic Village_grid,Yukon-Koyukuk/Upper Tanana,0,556.8130000000001,0,0,0,0,0,556.8130000000001,PCE,11,Arctic Village,NA
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,0,83.650999999999996,261.93799999999999,0,0,0,0,345.589,PCE,20,Atka,NA
P108,337,Atmautluak Tribal Utilities,Atmautluak,Atmautluak_grid,Lower Yukon-Kuskokwim,0,287.72899999999998,0,0,0,0,0,287.72899999999998,PCE,4,Atmautluak,NA
P109,520,Aurora Energy LLC,Aurora Energy LLC Chena,Railbelt_grid,Railbelt,186691,0,0,0,0,0,0,186691,EIA923,48,0,NA
P11,1,Alaska Electric Light&Power Co,Lemon Creek,Juneau_grid,Southeast,-124,1173.9999999999998,0,0,0,0,0,1050,EIA923,24,"Juneau, Douglas",NA
P110,214,"Barrow Utils & Elec Coop, Inc",Barrow,Utqiagvik_grid,North Slope,47567.000000000007,0,0,0,0,0,0,47567.000000000007,EIA923,36,Utqiagvik,NA
P111,420,Beaver Joint Utilities,Beaver,Beaver_grid,Yukon-Koyukuk/Upper Tanana,0,223.44599999999997,0,0,0,0,0,223.44599999999997,PCE,8,Beaver,NA
P112,767,Birch Creek Electric Company,Birch Creek,Birch Creek_grid,Yukon-Koyukuk/Upper Tanana,0,108.804,0,0,0,0,0,108.804,PCE,12,Birch Creek,NA
P113,432,"Buckland, City of",Buckland,Buckland_grid,Northwest Arctic,0,1439.6219999999998,0,0,129.595,0,0,1569.2170000000001,PCE,19,Buckland,NA
P114,682,Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik_grid,Yukon-Koyukuk/Upper Tanana,0,208.33,0,0,0,0,0,208.33,PCE,9,Chalkyitsik,NA
P115,686,Chenega Ira Council,Chenega Bay,Chenega_grid,Copper River/Chugach,0,160.833,0,0,0,0,0,160.833,PCE,8,Chenega Bay,NA
P116,658,Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon_grid,Bristol Bay,0,69.108999999999995,430.86299999999994,0,0,0,0,499.97199999999992,PCE,18,Chignik Lagoon,NA
P117,437,Chignik Lake Electric Utility,Chignik Lake,Chignik Lake_grid,Bristol Bay,0,316.37799999999999,0,0,0,0,0,316.37799999999999,PCE,12,Chignik Lake,NA
P118,297,"Chignik, City of",Chignik,Chignik_grid,Bristol Bay,0,665.48699999999985,0,0,0,0,0,665.48699999999985,PCE,11,Chignik,NA
