"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20
"Table 2.2a   Generation and Total Disposition of Electric Energy (MWh), 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK sales reporting ID,PCE ID,RCA CPCN,Utility Name,Index Community,Intertie name,Energy Region,"Generation
 (PCE=gross, EIA=net)",Purchased Power,Net Wheeled Power,Total Disposition (= Total Sources),Sales to Consumers,Sales for Resale,Furnished without Payment,Used by facility,Unaccountable / Energy Loss,Data Source,Communities reported,Number of monthly records,Notes
SR-1,0,1,Alaska Electric Light&Power Co,Alaska Electric Light&Power Co,Juneau_grid,Southeast,123203,235572,0,358775,337796,0,0,4564,16415,EIA861,"Juneau, Douglas, Greens Creek (Industrial)",0,NA
SR-10,0,227,TDX North Slope Generating Co,TDX North Slope Generating Co,Deadhorse_grid,North Slope,56252,0,0,56252,53764,0,0,0,2488,EIA861,Deadhorse,0,NA
SR-100,331420,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,1248.6189999999999,0,0,1248.6189999999999,1199.9459999999999,0,0,18.745000000000001,29.928000000000001,PCE,Koyuk,0,NA
SR-101,332140,687,"Koyukuk, City of",Koyukuk,Koyukuk_grid,Yukon-Koyukuk/Upper Tanana,0,0,0,0,0,0,0,0,0,0,Koyukuk,0,NA
SR-102,332150,281,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk_grid,Lower Yukon-Kuskokwim,1773.3,0,0,1773.3,1496.7080000000001,0,102.771,41.780999999999999,132.03999999999985,PCE,Kwethluk,0,NA
SR-103,332160,376,Kwigillingok Power Company,Kwigillingok,Kwigillingok_grid,Lower Yukon-Kuskokwim,1188.498,0,0,1188.498,1025.0450000000001,0,31.84,71.244,60.368999999999971,PCE,Kwigillingok,0,NA
SR-104,332170,353,Larsen Bay Utility Company,Larsen Bay,Larsen Bay_grid,Kodiak,771.55200000000002,0,0,771.55200000000002,683.44600000000003,0,0,53.695999999999998,34.409999999999997,PCE,Larsen Bay,12,NA
SR-105,332180,330,Levelock Electrical Coop,Levelock,Levelock_grid,Bristol Bay,390.30200000000002,0,0,390.30200000000002,320.30200000000002,0,13.656000000000001,28.123000000000001,28.221,PCE,Levelock,12,NA
SR-106,332190,570,Lime Village Electric Utility,Lime Village,Lime Village_grid,Lower Yukon-Kuskokwim,51.337000000000003,0,0,51.337000000000003,34.890999999999998,0,0,3.3519999999999999,13.094000000000005,PCE,Lime Village,12,NA
SR-107,331430,169,Alaska Village Electric Cooperative,Lower Kalskag,Upper Kalskag_grid,Lower Yukon-Kuskokwim,0,0,0,0,652.98,0,0,0,-652.98,PCE,Lower Kalskag,12,NA
SR-108,332200,72,TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs_grid,Yukon-Koyukuk/Upper Tanana,523.86300000000006,0,0,523.86300000000006,434.16699999999997,0,0,22.076000000000001,67.62000000000009,PCE,Manley Hot Springs,4,NA
SR-109,332210,321,Manokotak Power Company,Manokotak,Manokotak_grid,Bristol Bay,973.17,0,0,973.17,1138.616,0,74.942999999999998,73.698999999999998,-314.08800000000002,PCE,Manokotak,12,NA
SR-11,331005,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,1818.327,0,0,1818.327,1279.82,0,0,324.416,214.09100000000007,PCE,Adak,12,NA
SR-110,331440,169,Alaska Village Electric Cooperative,Marshall,Marshall_grid,Lower Yukon-Kuskokwim,1422.1,0,0,1422.1,1359.462,0,0,37.451999999999998,25.185999999999922,PCE,Marshall,12,NA
SR-111,332220,44,Mcgrath Light & Power,McGrath,McGrath_grid,Yukon-Koyukuk/Upper Tanana,2135.5569999999998,0,0,2135.5569999999998,1936.2180000000001,0,4.8879999999999999,73.158000000000001,121.29299999999971,PCE,McGrath,12,NA
SR-112,331450,169,Alaska Village Electric Cooperative,Mekoryuk,Mekoryuk_grid,Lower Yukon-Kuskokwim,813.49099999999999,0,0,813.49099999999999,770.04700000000003,0,0,47.279000000000003,-3.8350000000000435,PCE,Mekoryuk,12,NA
SR-113,331160,2,Alaska Power & Telephone Company,Mentasta Lake,Slana_grid,Copper River/Chugach,0,0,0,0,367.28500000000003,0,0,0,-367.28500000000003,PCE,Mentasta Lake,12,NA
SR-114,331460,169,Alaska Village Electric Cooperative,Minto,Minto_grid,Yukon-Koyukuk/Upper Tanana,639.88900000000001,0,0,639.88900000000001,618.28700000000003,0,0,14.706,6.8959999999999759,PCE,Minto,12,NA
SR-115,331470,169,Alaska Village Electric Cooperative,Mountain Village,Mountain Village_grid,Lower Yukon-Kuskokwim,2594.9609999999998,0,0,2594.9609999999998,2473.16,0,0,49.945,71.855999999999938,PCE,Mountain Village,7,NA
SR-116,332280,22,Naknek Electric Association,"Naknek, South Naknek, King Salmon",Naknek_grid,Bristol Bay,25260.367999999999,0,0,25260.367999999999,23443.429,0,0,529.03200000000004,1287.9069999999983,PCE,"Naknek, South Naknek, King Salmon",12,NA
SR-117,332290,319,Napakiak Ircinraq,Napakiak,Bethel_grid,Lower Yukon-Kuskokwim,0,500.89100000000002,0,500.89100000000002,569.89200000000005,0,67.52,0,-136.52100000000002,PCE,Napakiak,12,NA
SR-118,332300,625,Napaskiak Electric Utility,Napaskiak,Napaskiak_grid,Lower Yukon-Kuskokwim,289.80900000000003,0,0,289.80900000000003,591.91099999999994,0,51.707999999999998,6.02,-359.82999999999993,PCE,Napaskiak,12,NA
SR-119,331170,2,Alaska Power & Telephone Company,Naukati Bay,Prince of Wales Is._grid,Southeast,-12.144,0,0,-12.144,612.01400000000001,0,0,12.144,-636.30200000000002,PCE,Naukati Bay,10,NA
SR-12,331010,449,"Akhiok, City of",Akhiok,Akhiok_grid,Kodiak,245.84100000000001,0,0,245.84100000000001,214.965,0,0,3.5790000000000002,27.297000000000004,PCE,Akhiok,1,NA
SR-120,332320,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,285.11200000000002,0,0,285.11200000000002,246.75200000000001,0,0,14.646000000000001,23.714000000000013,PCE,Nelson Lagoon,2,NA
SR-121,331480,169,Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok_grid,Bristol Bay,1788.845,0,0,1788.845,1325.5920000000001,0,0,36.340000000000003,426.9129999999999,PCE,New Stuyahok,12,NA
SR-122,332870,375,Ungusraq Power Company,Newtok,Newtok_grid,Lower Yukon-Kuskokwim,78.182000000000002,0,0,78.182000000000002,340.34199999999998,0,3.06,0.90600000000000003,-266.12599999999998,PCE,Newtok,12,NA
SR-123,331490,169,Alaska Village Electric Cooperative,Nightmute,Toksook Bay_grid,Lower Yukon-Kuskokwim,0,0,0,0,895.94899999999996,0,0,0,-895.94899999999996,PCE,Nightmute,12,NA
SR-124,332330,416,"Nikolai, City of",Nikolai,Nikolai_grid,Yukon-Koyukuk/Upper Tanana,451.65,0,0,451.65,368.26499999999999,0,31.991,11.981999999999999,39.411999999999992,PCE,Nikolai,12,NA
SR-125,332740,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,175.898,0,0,175.898,162.99199999999999,0,5.0000000000000001E-3,28.131,-15.229999999999995,PCE,Nikolski,12,NA
SR-126,331500,169,Alaska Village Electric Cooperative,Noatak,Noatak_grid,Northwest Arctic,1814.6220000000001,0,0,1814.6220000000001,1702.538,0,0,50.226999999999997,61.857000000000063,PCE,Noatak,12,NA
SR-127,332340,150,Nome Joint Utility Systems,Nome,Nome_grid,Bering Straits,30039.202000000001,0,0,30039.202000000001,28670.850999999999,0,0,1268.038,100.31300000000238,PCE,Nome,12,NA
SR-128,331510,169,Alaska Village Electric Cooperative,Noorvik,Noorvik_grid,Northwest Arctic,1947.7180000000001,0,0,1947.7180000000001,1872.3620000000001,0,0,33.936,41.419999999999995,PCE,Noorvik,12,NA
SR-129,331180,2,Alaska Power & Telephone Company,"Northway, Northway Village, Northway Junction",Northway_grid,Yukon-Koyukuk/Upper Tanana,1027.153,0,0,1027.153,950.46900000000005,0,0,14.448,62.235999999999969,PCE,"Northway, Northway Village, Northway Junction",8,NA
SR-13,331020,412,Akiachak Native Community,Akiachak,Akiachak_grid,Lower Yukon-Kuskokwim,1701.5450000000001,0,0,1701.5450000000001,1726.0150000000001,0,45.037999999999997,32.268999999999998,-101.77700000000002,PCE,Akiachak,12,NA
SR-130,332380,254,North Slope Borough Power & Light,Nuiqsut,Nuiqsut_grid,North Slope,4423.0410000000002,0,0,4423.0410000000002,5563.4560000000001,0,0,257.11900000000003,-1397.5340000000001,PCE,Nuiqsut,12,NA
SR-131,331520,169,Alaska Village Electric Cooperative,Nulato,Nulato_grid,Yukon-Koyukuk/Upper Tanana,985.23400000000004,0,0,985.23400000000004,946.80200000000002,0,0,15.260999999999999,23.171000000000017,PCE,Nulato,11,NA
SR-132,332420,408,Nunam Iqua Electric Company,Nunam Iqua,Nunam Iqua_grid,Lower Yukon-Kuskokwim,765.16399999999999,0,0,765.16399999999999,731.07,0,7.57,26.942,-0.41800000000006321,PCE,Nunam Iqua,12,NA
SR-133,331530,169,Alaska Village Electric Cooperative,Nunapitchuk,Kasigluk_grid,Lower Yukon-Kuskokwim,0,0,0,0,1183.434,0,0,0,-1183.434,PCE,Nunapitchuk,12,NA
SR-134,331540,169,Alaska Village Electric Cooperative,Old Harbor,Old Harbor_grid,Kodiak,729.70299999999997,0,0,729.70299999999997,691.94799999999998,0,0,30.135999999999999,7.6189999999999962,PCE,Old Harbor,12,NA
SR-135,332440,357,"Ouzinkie, City of",Ouzinkie,Ouzinkie_grid,Kodiak,631.05899999999997,0,0,631.05899999999997,598.60500000000002,0,0,40.877000000000002,-8.4230000000000516,PCE,Ouzinkie,12,NA
SR-136,332450,662,Pedro Bay Village Council,Pedro Bay,Pedro Bay_grid,Bristol Bay,135.03299999999999,0,0,135.03299999999999,112.795,0,0,10.115,12.122999999999985,PCE,Pedro Bay,12,NA
SR-137,332460,24,Pelican Utility,Pelican,Pelican_grid,Southeast,1273,0,0,1273,695,0,578,0,0,EIA861,Pelican,12,NA
SR-138,332470,659,Native Village of Perryville,Perryville,Perryville_grid,Bristol Bay,948.46400000000006,0,0,948.46400000000006,345.1,0,78.924000000000007,40.383000000000003,484.05700000000007,PCE,Perryville,12,NA
SR-139,332480,425,Pilot Point Electric Utility,Pilot Point,Pilot Point_grid,Bristol Bay,267.62299999999999,0,0,267.62299999999999,397.654,0,0,15.127000000000001,-145.15800000000002,PCE,Pilot Point,12,NA
SR-14,331030,635,Akiak City Council,Akiak,Akiak_grid,Lower Yukon-Kuskokwim,905.23599999999999,0,0,905.23599999999999,1108.3240000000001,0,8.1129999999999995,24.265000000000001,-235.46600000000007,PCE,Akiak,12,NA
SR-140,331550,169,Alaska Village Electric Cooperative,Pilot Station,Pilot Station_grid,Lower Yukon-Kuskokwim,1770.925,0,0,1770.925,1684.319,0,0,31.608000000000001,54.99799999999999,PCE,Pilot Station,12,NA
SR-141,331560,169,Alaska Village Electric Cooperative,Pitkas Point,Saint Mary's_grid,Lower Yukon-Kuskokwim,0,0,0,0,260.166,0,0,0,-260.166,PCE,Pitkas Point,12,NA
SR-142,332490,0,"Platinum, City of",Platinum,Platinum_grid,Lower Yukon-Kuskokwim,0,0,0,0,0,0,0,0,0,0,Platinum,0,NA
