"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Table 2.3b   Generation (MWh) and Fuel Use by operator, plant, and fuel type, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Generation is net of station service for EIA data and gross of (includes) station service for PCE data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Oil,Gas,Coal,Hydro,Wind,Utility Solar,Storage (MWH),Other,Oil (gallons),Gas (Mcf),Coal (short tons),Source,Number of monthly records,Communities connected to plant,Notes
P1,0,Agrium US Inc,Agrium Kenai Nitrogen Operations,Railbelt_grid,Railbelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
P10,1,Alaska Electric Light&Power Co,Lake Dorothy Hydroelectric Project,Juneau_grid,Southeast,0,0,0,67932,0,0,0,0,0,0,0,EIA923,12,"Juneau, Douglas",NA
P100,683,Karluk IRA Tribal Council,Karluk,Karluk_grid,Kodiak,197.209,0,0,0,0,0,0,0,19878,0,0,PCE,12,Karluk,NA
P101,121,Anchorage Municipal Light and Power,Anchorage 1,Railbelt_grid,Railbelt,56.779000000000011,14680.121000000001,0,0,0,0,0,0,6678,224356,224356,EIA923,36,0,NA
P102,121,Anchorage Municipal Light and Power,Eklutna Hydro Project,Railbelt_grid,Railbelt,0,0,0,190970.99999999997,0,0,0,0,0,0,0,EIA923,12,0,NA
P103,121,Anchorage Municipal Light and Power,George M Sullivan Generation Plant 2,Railbelt_grid,Railbelt,0.64400000000000002,626188.35600000015,0,0,0,0,0,0,42,5375157,5375157,EIA923,60,0,NA
P104,NA,Anchorage Municipal Light & Power,AWWU Conduit,Railbelt_grid,Railbelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
P105,5,Aniak Light & Power,Aniak,Aniak_grid,Lower Yukon-Kuskokwim,2466.8100000000004,0,0,0,0,0,0,0,192476,0,0,PCE,12,Aniak,NA
P106,747,Arctic Village Electric Company,Arctic Village,Arctic Village_grid,Yukon-Koyukuk/Upper Tanana,556.8130000000001,0,0,0,0,0,0,0,44773,0,0,PCE,11,Arctic Village,NA
