"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
"Table 1.e   Carbon Dioxide Emissions by Operators/Utilities (Metric Tons), by fuel type and AEA Energy Region, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Region Total,Percent of Statewide Total
Aleutians,73398.511032000009,0,0,0,0,0,0,73398.511032000009,2.6125679617201334E-2
Bering Straits,33648.120197999997,0,0,0,0,0,0,33648.120197999997,1.1976809824258847E-2
Bristol Bay,40413.098638000003,0,0,0,0,0,0,40413.098638000003,1.4384755937275503E-2
Copper River/Chugach,23743.550538000003,0,0,0,0,0,0,23743.550538000003,8.4513484757228006E-3
Kodiak,1700.4009000000001,0,0,0,0,0,0,1700.4009000000001,6.0524564476291539E-4
Lower Yukon-Kuskokwim,70106.885419999991,0,0,0,0,0,0,70106.885419999991,2.4954048817750995E-2
North Slope,24835.943594,82795.47275999999,0,0,0,0,0,107631.41635399999,3.8310639560307523E-2
Northwest Arctic,24394.877319999996,0,0,0,0,0,0,24394.877319999996,8.6831836259646869E-3
Railbelt,328936.11330000003,1244097.2128099999,791734.63744999981,0,0,0,0,2364767.9635600001,0.84172239077241051
Southeast,43274.620906000004,0,0,0,0,0,0,43274.620906000004,1.5403294500798435E-2
Yukon-Koyukuk/Upper Tanana,26359.854223999999,0,0,0,0,0,0,26359.854223999999,9.3826032235464814E-3
Total,690811.97606999998,1326892.68557,791734.63744999981,0,0,0,0,2809439.2990899999,1
Percent of Total,0.24588962512689261,0.47229804395481734,0.28181233091829,0,0,0,0,1,NA
