"Early Release, Subject to Revision",...2,...3,...4,...5
"Table 1.b   Distribution of Rates in PCE Communities ($/kWh), 2019",NA,NA,NA,NA
Effective Rate,No. of PCE Communities,Average Residential Rate,Average PCE Rate,Average Effective Rate
Less than 0.20,19,0.38464130688739434,0.20411280441316978,0.18052850247422453
0.2-0.29,116,0.42469598243356999,0.17156628646904989,0.25312969596452012
0.3-0.39,37,0.63840094693702132,0.29735050949352515,0.34105043744349617
0.4-0.49,15,0.80807267737638311,0.37487734622569008,0.43319533115069309
0.5-0.59,2,1.3497426374182411,0.75676830308532206,0.59297433433291913
More than $0.60,3,1.0685851566453435,0.30788940046572322,0.76069575617962071
Total,192,NA,NA,NA
All averages are weighted.,NA,NA,NA,NA
