"AEA Reporting ID","PCE ID","CPCN","Utility Name","Reporting Name","Intertie name","AEA Energy Region","Residential Revenue","Residential Sales","Residential Customers","Residential $/kWh","Commercial Revenue","Commercial Sales","Commercial Customers","Commercial $/kWh","Other Revenue","Other Sales","Other Customers","Other $/kWh","Total Revenue","Total Sales","Total Customers","Total $/kWh","Source","Number of monthly records","Communities reported","Notes"
"SR-89","332070","289","King Cove, City of","King Cove","King Cove_grid","Aleutians","304.03499999999997","1013.45","195","0.29999999999999993","483.84479999999985","1612.8159999999998","205","0.29999999999999993","375.36029999999988","1251.2009999999998","38","0.29999999999999993","1163.2400999999995","3877.4669999999996","436","0.29999999999999993","PCE","12","King Cove","Residential rate as reported to PCE"
"SR-156","332540","749","SAND POINT GENERATING, LLC","Sand Point","Sand Point_grid","Aleutians","675.6565936500001","1277.2940000000001","285","0.52897500000000008","580.58656177500006","1097.569","77","0.52897500000000008","552.21181380000019","1043.9280000000001","46","0.52897500000000008","1808.4549692250002","3418.7910000000002","406","0.52897500000000008","PCE","12","Sand Point","Residential rate as reported to PCE"
"SR-125","332740","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","35.723475999999991","47.588999999999992","15","0.75066666666666659","50.611448000000003","67.422000000000011","6","0.75066666666666659","41.887950666666676","55.801000000000016","6","0.75066666666666659","128.22287466666666","170.81200000000001","27","0.75066666666666659","PCE","12","Nikolski","Residential rate as reported to PCE"
"SR-24","331750","291","Atka, City of","Atka","Atka_grid","Aleutians","106.00723208333335","145.631","30","0.72791666666666677","105.47366916666665","144.89799999999997","9","0.72791666666666677","80.039532916666673","109.95699999999999","24","0.72791666666666677","291.52043416666669","401.51299999999998","64","0.72605478319921568","PCE","12","Atka","Residential rate as reported to PCE"
"SR-15","331040","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","28.124256000000003","87.072000000000003","37","0.32300000000000001","33.630759999999995","104.11999999999999","22","0.32300000000000001","18.533740000000002","57.38","12","0.32300000000000001","80.288756000000006","248.572","71","0.32300000000000001","PCE","12","Akutan","Residential rate as reported to PCE"
"SR-120","332320","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","103.6476","123.39","32","0.84","80.385480000000015","95.697000000000017","19","0.84","36.872639999999997","43.896000000000001","7","0.84","220.90572000000003","262.983","58","0.84000000000000008","PCE","12","Nelson Lagoon","Residential rate as reported to PCE"
"SR-185","332860","106","Unalaska, City of","Unalaska","Unalaska_grid","Aleutians","1512.9140317500003","3798.19","728","0.39832500000000004","15403.912072350005","38671.718000000008","183","0.39832500000000004","1401.4885878750001","3518.4549999999999","77","0.39832500000000004","18318.314691975003","45988.362999999998","975","0.3983250000000001","PCE","12","Unalaska","Residential rate as reported to PCE"
"SR-152","332550","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","141.30999999999997","141.30999999999997","39","1","98.930999999999983","98.930999999999983","13","1","229.28800000000001","229.28800000000001","21","1","469.529","477.34199999999998","75","0.98363228041948958","PCE","12","Saint George","Residential rate as reported to PCE"
"SR-155","332560","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","352.53959999999995","755.44200000000001","149","0.46666666666666662","650.16233333333321","1393.2049999999999","33","0.46666666666666662","645.90493333333325","1384.0819999999999","48","0.46666666666666662","1648.6068666666665","3532.7290000000003","230","0.46666666666666656","PCE","12","Saint Paul","Residential rate as reported to PCE"
"SR-48","331980","88","G & K Inc","Cold Bay","Cold Bay_grid","Aleutians","107.7040128","146.976","40","0.73280000000000001","648.311824","884.70500000000004","25","0.73280000000000001","784.69030079999993","1070.8109999999999","56","0.73280000000000001","1540.7061375999999","2102.4920000000002","119","0.7327999999999999","PCE","12","Cold Bay","Residential rate as reported to PCE"
"SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","339.62221279999994","271.00400000000002","100","1.2531999999999996","619.1021043999998","494.017","75","1.2531999999999996","618.3752483999998","493.43700000000001","27","1.2531999999999996","1577.0995655999996","1258.4580000000001","195","1.2531999999999996","PCE","3","Adak","Residential rate as reported to PCE"
"SR-63","331970","442","False Pass, City of","False Pass","False Pass_grid","Aleutians","60.22345665000001","141.79400000000001","29","0.42472500000000002","121.23562762500001","285.44499999999999","17","0.42472500000000002","34.959539475000007","82.311000000000007","14","0.42472500000000002","216.41862375000002","525.13700000000017","59","0.4121184067205319","PCE","12","False Pass","Residential rate as reported to PCE"
"SR-184","332850","741","Unalakleet Valley Electric Cooperative","Unalakleet","Unalakleet_grid","Bering Straits","666.83942399999978","1484.0639999999999","291","0.44933333333333325","852.81085199999961","1897.9469999999997","42","0.4493333333333332","336.88362266666655","749.74099999999999","34","0.4493333333333332","1856.5338986666659","4133.3540000000003","361","0.44915918130086746","PCE","12","Unalakleet","Residential rate as reported to PCE"
"SR-190","332890","409","White Mountain, City of","White Mountain","White Mountain_grid","Bering Straits","148.59788","239.67400000000001","73","0.62","191.18940000000001","308.37","24","0.62","74.991479999999996","120.95399999999999","13","0.62","414.77876000000003","668.99799999999993","107","0.62000000000000011","PCE","12","White Mountain","Residential rate as reported to PCE"
"SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","289.63034706666673","461.73400000000004","91","0.62726666666666675","137.20642886666667","218.73699999999999","12","0.62726666666666675","320.89206320000005","511.572","29","0.62726666666666675","747.72883913333339","1192.0430000000001","131","0.62726666666666664","PCE","12","Koyuk","Residential rate as reported to PCE"
"SR-154","331670","169","Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits","344.39593509999997","556.89199999999994","90","0.618425","268.58321434999999","434.30200000000002","25","0.618425","432.77999924999995","699.81","31","0.618425","1045.7591487","1691.0039999999999","143","0.618425","PCE","12","Saint Michael","Residential rate as reported to PCE"
"SR-157","331590","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","499.25847661666666","863.90599999999995","165","0.57790833333333336","230.99400619166667","399.70699999999999","20","0.57790833333333336","474.70257362500007","821.41500000000008","33","0.57790833333333336","1204.9550564333333","2085.0279999999998","212","0.57790833333333336","PCE","12","Savoonga","Residential rate as reported to PCE"
"SR-161","331630","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","224.00840333333338","400.88000000000005","65","0.55879166666666669","118.50294875000002","212.07000000000002","14","0.55879166666666669","218.23496783333334","390.548","24","0.55879166666666669","560.74631991666672","1003.4979999999998","100","0.5587916666666668","PCE","12","Shaktoolik","Residential rate as reported to PCE"
