"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Electricity Sales by Operators/Utilities (MWh) by AEA Energy Regions, 2017",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Totala,Percent of Statewide Total
Aleutians,7677.9950000000008,54905.472999999998,8924.1110000000008,71528.726999999999,1.1672595727906479E-2
Bering Straits,16376.591,12309.098,20545.454000000002,49293.384000000005,8.0440651976436493E-3
Bristol Bay,13617.960999999999,28696.28,10549.313999999998,52952.467000000004,8.6411818860736723E-3
Copper River/Chugach,22172.018,84274.800000000017,4855.3949999999986,111326.462,1.8167089493206594E-2
Kodiak,37263.794000000002,22480.905999999995,93768.439000000013,153513.26499999998,2.5051449345882739E-2
Lower Yukon-Kuskokwim,33033.307999999997,24429.31,35152.578999999998,93203.777000000016,1.52096934317725E-2
North Slope,18007.043999999998,124090.243,1349.6970000000001,143446.984,2.3408757891349989E-2
Northwest Arctic,12820.374,11972.053,8360.8619999999992,33166.031999999992,5.4122825845175386E-3
Railbelt,1536031,1981384,1021415,4538830,0.74068042155557667
Southeast,332534.67100000003,294156.72000000003,222056.03900000002,848747.42999999993,0.1385049901068364
Yukon-Koyukuk/Upper Tanana,12013.255000000001,10403.585000000003,9430.9929999999986,31910.974000000006,5.2074727792336467E-3
Total,2041548.0109999999,2649102.4680000003,1436407.8830000001,6127919.5020000003,1
Percent of Total,0.33315516144324181,0.43230046790519999,0.23440384334865894,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
