"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Revenue by  Operators/Utilities ($000) by AEA Energy Regions, 2017",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercialb,Otherb,Region Totala,Percent of Statewide Total
Aleutians,3581.9730820628783,22577.789099565918,4436.1085966568171,30595.870778285611,2.5632845442131805E-2
Bering Straits,6775.1773867999991,4700.201727683333,8292.8947684333343,19768.27388291667,1.6561617506181885E-2
Bristol Bay,6793.7413353416669,13591.644042325002,5397.7929092000004,25783.178286866671,2.1600830674942936E-2
Copper River/Chugach,6701.197517016667,22279.948162933335,1922.7037882750001,30903.849468225002,2.5890866212839512E-2
Kodiak,6726.3233909499995,4057.1437745999997,14901.31609805,25684.783263599998,2.1518396530742681E-2
Lower Yukon-Kuskokwim,15129.925986073076,9611.8795786717965,14779.589561239101,39521.395125983967,3.3110540316464647E-2
North Slope,2709.2695084439392,22953.995461453786,259.70582811742418,25922.970798015151,2.1717947126970168E-2
Northwest Arctic,5924.6982454499994,4867.6514438333334,4255.3118062000003,15047.661495483333,1.260674632123855E-2
Railbelt,332028,350324.30000000005,166911.00000000003,849263.3,0.71150238103452368
Southeast,45502.70345211833,38016.450615598325,28699.152740043333,112218.30680776,9.4015121681796363E-2
Yukon-Koyukuk/Upper Tanana,6802.8170521416669,6452.7625129500011,5654.5887149083337,18910.168279999998,1.5842707152167672E-2
Total,438675.8269563982,499433.7664196149,255510.16481112337,1193619.7581871366,1
Percent of Total,0.36751722979406504,0.41841948660279576,0.21406328360313912,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
bRevenue for PCE communities assumes that all sales pay the residential rate.,NA,NA,NA,NA,NA
