"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
"Greenhouse Gas Emissions by Fuel Type by Operators/Utilities (Tons) by AEA Energy Regions, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Region Total,Percent of Statewide Total
Aleutians,72422.939842000007,0,0,0,0,0,0,72422.939842000007,2.5432142025861155E-2
Bering Straits,34499.632925999991,0,0,0,0,0,0,34499.632925999991,1.2114939911694666E-2
Bristol Bay,39864.677644000003,0,0,0,0,0,0,39864.677644000003,1.3998936605849086E-2
Copper River/Chugach,32899.259858000005,0,0,0,0,0,0,32899.259858000005,1.1552950640773971E-2
Kodiak,3099.2151080000003,0,0,0,0,0,0,3099.2151080000003,1.0883247623930475E-3
Lower Yukon-Kuskokwim,71355.365099333343,0,0,0,0,0,0,71355.365099333343,2.5057250968718851E-2
North Slope,23509.393644000003,88090.017729999978,0,0,0,0,0,111599.41137399999,3.9189407199680081E-2
Northwest Arctic,23603.544029999997,0,0,0,0,0,0,23603.544029999997,8.2886539181402236E-3
Railbelt,339666.58047400002,1481668.8237299998,587452.66684333317,0,0,0,0,2408788.0710473331,0.84587342721413827
Southeast,21838.352183999999,0,0,0,0,0,0,21838.352183999999,7.6687866519355797E-3
Yukon-Koyukuk/Upper Tanana,27722.806914000001,0,0,0,0,0,0,27722.806914000001,9.7351801008151839E-3
Total,690481.76772333321,1569758.8414599998,587452.66684333317,0,0,0,0,2847693.2760266662,1.0000000000000002
Percent of Total,0.24247055451377461,0.55123873581295779,0.20629070967326757,0,0,0,0,1,NA
