"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20
"Operators/Utilities Net Generation, Fuel Use, Fuel Cost, and Efficiency, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuel Types: AB=Agricultural By-Products, DFO=Distillate Fuel Oil, JF=Jet Fuel, NG=Natural Gas, OTH=Other, RFO=Residual Fuel Oil, SUB=Sub-bituminous Coal, WAT=Water at a Conventional Hydroelectric Turbine, WC=Waste Coal, WDS=Wood Solids, WND=Wind, WO=Waste/Other Oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prime Movers: CA=Combined Cycle, steam part, CT=Combined Cycle=turbine part, GT=Gas Turbine, HY=Hydroelectric Turbine, IC=Internal Combustion Engine, ST=Steam Turbine, WT=Wind Turbine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fuel Type,Prime Mover,Net Generation MWh,Fuel Use,Fuel Unit,Estimated Fuel Consumption MMBtu,Avg. Cost ($) per Gallon (PCE only),kWh per Gallon-Mcf-Short tons,Fuel Cost ($) per kWh,"Estimated Heat Content Factor per Unit, MMBtu",Source,Number of monthly records,Communities connected to plant,Notes
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,WAT,HY,408.298,0,NA,0,0,-,-,0,PCE,12,Atka,NA
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,DFO,IC,63.834099999999992,7270,gallons,1003.2600000000001,4.4509999999999996,8.7804814305364491,0.50691981245133877,0.13800000000000001,PCE,9,Atka,NA
P141,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,DFO,IC,648.78099999999995,55310,gallons,7632.7800000000007,2.4587500000000002,11.729904176459954,0.20961381806803836,0.13800000000000001,PCE,12,False Pass,NA
P143,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,DFO,IC,2328.8229999999999,174005,gallons,24012.690000000002,4.54,13.383655642079251,0.3392197260161034,0.13800000000000001,PCE,11,Cold Bay,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,WAT,HY,2436,0,(blank),0,0,-,-,0,EIA923,12,King Cove,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,DFO,IC,1696.0000000000002,123312,gallons,17017.056,0,13.753730374983784,0,0.13800000000000001,EIA923,12,King Cove,NA
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,DFO,IC,338.01800000000003,29780,gallons,4109.6400000000003,4.4019166666666676,11.350503693754197,0.38781685689322276,0.13800000000000001,PCE,12,Nelson Lagoon,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,DFO,IC,569.596,48363,gallons,6674.094000000001,6.7994999999999992,11.777515869569712,0.57732887608059047,0.13800000000000001,PCE,12,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,DFO,IC,0,0,0,0,0,-,-,0.13800000000000001,0,0,Saint Paul,NA
P251,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,DFO,IC,1987.4159999999999,155148,gallons,21410.424000000003,3.9077000000000002,12.809807409699125,0.30505532792329337,0.13800000000000001,PCE,12,Adak,NA
P252,230,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,WND,WT,624.33500000000004,0,NA,0,0,-,-,0,PCE,11,Sand Point,NA
P252,230,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,DFO,IC,875.9,60318,gallons,8323.884,2.6199999999999997,14.521370071951988,0.1804237470030825,0.13800000000000001,PCE,3,Sand Point,NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,DFO,IC,195.17200000000003,17213,gallons,2375.3940000000002,6.3389500000000005,11.338639400453147,0.55905737682659395,0.13800000000000001,PCE,12,Nikolski,NA
P263,106,"Unalaska, City of",Dutch Harbor,Unalaska_grid,Aleutians,DFO,IC,58373.16,3760260,gallons,518915.88000000006,0,15.523703148186561,0,0.13800000000000001,EIA923,12,Unalaska,NA
P264,106,"Unalaska, City of",Unalaska Power Module,Unalaska_grid,Aleutians,DFO,IC,10,630,gallons,86.940000000000012,0,15.873015873015873,0,0.13800000000000001,EIA923,12,Unalaska,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,DFO,IC,28519.554,2126376,gallons,293439.88800000004,0,13.412281741328909,0,0.13800000000000001,EIA923,12,Unalaska,NA
P271,0,Westward Seafoods Inc,Westward Seafoods,Unalaska_grid,Aleutians,DFO,IC,15633,484134,gallons,66810.491999999998,0,32.290646804397127,0,0.13800000000000001,EIA923,12,Unalaska,NA
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,WAT,HY,114.539,0,NA,0,0,-,-,0,PCE,12,Akutan,NA
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,DFO,IC,446.21600000000007,36431,gallons,5027.4780000000001,2.7218666666666658,12.248250116658891,0.22222494158285067,0.13800000000000001,PCE,12,Akutan,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,WND,WT,0,0,0,0,0,-,-,0,0,0,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,WND,WT,486.36100000000005,0,NA,0,0,-,-,0,PCE,12,Saint Paul,NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,WND,WT,0,0,0,0,0,-,-,0,0,0,Nikolski,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,OBL,NA,0,0,0,0,0,-,-,0.12,0,0,Unalaska,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,OBL,IC,1377.4459999999999,149352,gallons,17922.239999999998,0,9.2228158980127493,0,0.12,EIA923,12,Unalaska,NA
P287,0,Peter Pan Seafoods,King Cove,King Cove_grid,Aleutians,DFO,IC,0,0,0,0,0,-,-,0.13800000000000001,0,0,King Cove,NA
P291,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,DFO,IC,0,0,0,0,0,-,-,0.13800000000000001,0,0,Unalaska,NA
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,WAT,IC,0,0,0,0,0,-,-,0,0,0,Akutan,NA
