"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Customers by Operators/Utilities (Accounts) by AEA Energy Regions, 2017",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Totala,Percent of Statewide Total
Aleutians,1718,703,370,2778,8.0796682042661109E-3
Bering Straits,3573,594,608,4744,1.3797676731835289E-2
Bristol Bay,3070,1112,589,4715,1.3713331743381827E-2
Copper River/Chugach,4239,1787,151,5947,1.7296539528715106E-2
Kodiak,5125,1108,167,6399,1.861115796943803E-2
Lower Yukon-Kuskokwim,7284,1503,971,9821,2.8563866606946538E-2
North Slope,2285,1097,43,3423,9.9556170853862119E-3
Northwest Arctic,2218,246,310,2755,8.0127739030788833E-3
Railbelt,220176,32599,549,253324,0.73677965017188929
Southeast,33390,9127,827,43292,0.12591252552163013
Yukon-Koyukuk/Upper Tanana,5265,748,666,6628,1.9277192533432609E-2
Total,288343,50624,5251,343826,1
Percent of Total,0.83863058640126109,0.14723726536096746,1.5272259805832019E-2,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
