"","AEA Reporting ID","PCE ID","Utility Name","Community Name","Intertie name","AEA Energy Region","Residential Revenue","Residential Sales","Residential Customers","Residential $/kWh","Commercial Revenue","Commercial Sales","Commercial Customers","Commercial $/kWh","Other Revenue","Other Sales","Other Customers","Other $/kWh","Total Revenue","Total Sales","Total Customers","Total $/kWh","Source","Number of monthly records","Communities reported","Notes"
"3","SR-1","0","Alaska Electric Light & Power Company","Juneau","Juneau_grid","Southeast","19063","148071","14707","0.12874229254884481","12664.9","119268","2318","0.10618858369386591","14333.8","121640","140","0.11783788227556724","46061.7","388979","17165","0.11841693253363292","EIA861","12","Juneau, Douglas, Greens Creek (Industrial)",NA
"4","SR-10","0","TDX North Slope Generating Company","Deadhorse","Deadhorse_grid","North Slope","0","0","0","0","12587","57320","164","0.21959176552686671","0","0","0",NA,"12587","57320","164","0.21959176552686671","EIA861","12","Deadhorse",NA
"5","SR-100","331420","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","251.12048565000012","491.64600000000002","95","0.5107750000000002","91.025212750000037","178.21","10","0.5107750000000002","289.7315002250001","567.23900000000003","29","0.5107750000000002","631.87719862500023","1237.095","134","0.5107750000000002","PCE","12","Koyuk",NA
"6","SR-101","332140","Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","62.709499999999998","66.009999999999991","69","0.95000000000000007","38.317300000000003","40.334000000000003","8","0.95","38.444600000000001","40.468000000000004","11","0.95","139.47139999999999","146.81200000000001","89","0.94999999999999984","PCE","9","Koyukuk",NA
"7","SR-102","332150","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","424.99651999999986","817.30099999999993","190","0.51999999999999991","273.65415999999999","526.25800000000004","21","0.51999999999999991","23.140519999999995","44.500999999999998","7","0.51999999999999991","721.79119999999989","1388.06","230","0.51999999999999991","PCE","12","Kwethluk",NA
"8","SR-103","332160","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","352.09942929166681","525.5150000000001","105","0.67000833333333343","359.44004059166673","536.471","17","0.67000833333333343","41.983392175000006","62.661000000000001","6","0.67000833333333343","753.52286205833354","1124.6469999999999","132","0.67000833333333354","PCE","12","Kwigillingok",NA
"9","SR-104","332170","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","59.869098333333341","145.726","52","0.41083333333333338","199.33140333333336","485.18799999999999","29","0.41083333333333338","72.619721666666678","176.762","14","0.41083333333333338","331.82022333333339","807.67600000000004","95","0.41083333333333338","PCE","12","Larsen Bay",NA
"10","SR-105","332180","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","86.731449999999995","102.03700000000001","36","0.84999999999999987","82.381149999999991","96.918999999999997","15","0.85","66.262599999999992","77.955999999999989","17","0.85","235.37519999999998","276.91200000000003","74","0.84999999999999987","PCE","10","Levelock",NA
"11","SR-106","332190","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","25.159082414285709","14.1755","18","1.7748285714285712","16.088820999999999","9.0650000000000013","1","1.7748285714285712","12.626130457142855","7.1139999999999999","6","1.7748285714285712","53.874033871428566","30.354500000000002","25","1.7748285714285712","PCE","7","Lime Village",NA
"12","SR-107","331430","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","165.84386880000005","325.95100000000008","89","0.50880000000000003","30.813945600000004","60.562000000000005","8","0.50880000000000003","138.46025280000001","272.13099999999997","10","0.50880000000000003","335.11806720000004","658.64400000000001","107","0.50880000000000003","PCE","12","Lower Kalskag",NA
