"Plant ID","PCE ID","Utility Name","Plant Name","Community Name","Intertie Name","Energy Region","Fuel Type","Prime Mover","Net Generation MMBtu","Total Fuel MMBtu","Emission Factor","CO2 Metric Tons from Fuel","Efficiency (Max = 1.00)","Net Generation MWh","Fuel Use","Estimated Average Heat Content","Source","Number of monthly records","Communities connected to plant","Notes"
"P2","331010","Akhiok, City of","Akhiok","Akhiok","Akhiok_grid","Kodiak","DFO","IC","942.39183869999999","3925.1000000000004","73.150000000000006","287.12106500000004","0.240093714478612","275.529","28443","0.13799880462679748","PCE","12","Akhiok",NA
"P3","331020","Akiachak Native Community","Akiachak","Akiachak","Akiachak_grid","Lower Yukon-Kuskokwim","DFO","IC","6566.8597098000009","18883.400000000001","73.150000000000006","1381.3207100000002","0.34775833323448108","1919.9660000000001","136836","0.13800023385658747","PCE","12","Akiachak",NA
"P4","331030","Akiak City Council","Akiak","Akiak","Akiak_grid","Lower Yukon-Kuskokwim","DFO","IC","4111.6965435000002","12930.1","73.150000000000006","945.83681500000012","0.31799417974338945","1202.145","93696","0.13800055498633881","PCE","12","Akiak",NA
"P5","331040","Akutan, City of","Akutan","Akutan","Akutan_grid","Aleutians","DFO","IC","1842.8439588000003","6127.4","73.150000000000006","448.21931000000001","0.30075463635473454","538.79600000000005","44402","0.13799828836538894","PCE","12","Akutan",NA
"P5","331040","Akutan, City of","Akutan","Akutan","Akutan_grid","Aleutians","WAT","HY","349.55808029999997",NA,NA,NA,NA,"102.20099999999999",NA,NA,"PCE","12","Akutan",NA
"P6",NA,"Alaska Electric Light & Power Company","Annex Creek","Juneau","Juneau_grid","Southeast","WAT","HY","91174.93710000001",NA,NA,NA,NA,"26657",NA,NA,"EIA923","12","Juneau, Douglas",NA
"P7",NA,"Alaska Electric Light & Power Company","Auke Bay","Juneau","Juneau_grid","Southeast","DFO","IC","-6.8406000000000002","348","73.150000000000006","25.456199999999999","-1.9656896551724139E-2","-2","2520","0.1380952380952381","EIA923","24","Juneau, Douglas",NA
"P7",NA,"Alaska Electric Light & Power Company","Auke Bay","Juneau","Juneau_grid","Southeast","DFO","GT","-294.14580000000007","2903.6","73.150000000000006","212.39833999999999","-0.10130382972861278","-86.000000000000014","21042","0.1379906852960745","EIA923","24","Juneau, Douglas",NA
"P8",NA,"Alaska Electric Light & Power Company","Gold Creek","Juneau","Juneau_grid","Southeast","DFO","IC","23.9421","98.5","73.150000000000006","7.2052750000000003","0.24306700507614212","7","714","0.13795518207282914","EIA923","12","Juneau, Douglas",NA
"P8",NA,"Alaska Electric Light & Power Company","Gold Creek","Juneau","Juneau_grid","Southeast","WAT","HY","14009.5488",NA,NA,NA,NA,"4096",NA,NA,"EIA923","12","Juneau, Douglas",NA
"P9",NA,"Alaska Electric Light & Power Company","Industrial Plant","Juneau","Juneau_grid","Southeast","DFO","GT","444.63900000000001","5749.6999999999989","73.150000000000006","420.59055499999994","7.7332556481207737E-2","130","41664","0.13800163210445465","EIA923","12","Juneau, Douglas",NA
"P10",NA,"Alaska Electric Light & Power Company","Lake Dorothy Hydroelectric Project","Juneau","Juneau_grid","Southeast","WAT","HY","278952.82740000007",NA,"0","0",NA,"81558.000000000015",NA,NA,"EIA923","12","Juneau, Douglas",NA
"P11",NA,"Alaska Electric Light & Power Company","Lemon Creek","Juneau","Juneau_grid","Southeast","DFO","IC","-1587.0192","2642.8999999999996","73.150000000000006","193.32813499999997","-0.60048401377274974","-464","19152","0.13799603174603173","EIA923","24","Juneau, Douglas",NA
"P11",NA,"Alaska Electric Light & Power Company","Lemon Creek","Juneau","Juneau_grid","Southeast","DFO","GT","-790.08929999999998","3570.3999999999996","73.150000000000006","261.17475999999999","-0.22128873515572486","-231","25872","0.13800247371675942","EIA923","24","Juneau, Douglas",NA
"P12",NA,"Alaska Electric Light & Power Company","Salmon Creek 1","Juneau","Juneau_grid","Southeast","WAT","HY","83417.6967",NA,NA,NA,NA,"24389",NA,NA,"EIA923","12","Juneau, Douglas",NA
"P13",NA,"Alaska Electric Light & Power Company","Snettisham","Juneau","Juneau_grid","Southeast","WAT","HY","888785.47679999995",NA,NA,NA,NA,"259855.99999999997",NA,NA,"EIA923","12","Juneau, Douglas",NA
