"","AEA Reporting ID","PCE ID","Utility Name","Community Name","Intertie","AEA Energy Region","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","Source","Number of monthly records","Communities reported","Notes"
"3","SR-1",NA,"Alaska Electric Light&Power Co","Juneau","Juneau_grid","Southeast","10068.062827225131","1296.1854899027674","0.12874229254884481","51452.976704055218","5463.7187230371001","0.10618858369386591","868857.14285714284","102384.28571428571","0.11783788227556724","EIA861","12","Juneau, Douglas, Greens Creek (Industrial)",NA
"4","SR-10",NA,"TDX North Slope Generating Co","Deadhorse","Deadhorse_grid","North Slope",NA,NA,NA,"349512.19512195123","76750","0.21959176552686671",NA,NA,NA,"EIA861","12","Deadhorse",NA
"5","SR-100","331420","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","5175.2210526315785","2643.373533157896","0.5107750000000002","17821","9102.5212750000046","0.5107750000000002","19559.96551724138","9990.7413870689688","0.5107750000000002","PCE","12","Koyuk",NA
"6","SR-101","332140","Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","956.66666666666652","908.83333333333326","0.95000000000000007","5041.75","4789.6625000000004","0.95","3678.9090909090914","3494.9636363636364","0.95","PCE","9","Koyukuk",NA
"7","SR-102","332150","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","4301.5842105263155","2236.8237894736835","0.51999999999999991","25059.904761904763","13031.150476190476","0.51999999999999991","6357.2857142857138","3305.7885714285708","0.51999999999999991","PCE","12","Kwethluk",NA
"8","SR-103","332160","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","5004.9047619047633","3353.3278980158743","0.67000833333333343","31557.117647058825","21143.531799509808","0.67000833333333343","10443.5","6997.2320291666674","0.67000833333333343","PCE","12","Kwigillingok",NA
"9","SR-104","332170","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","2802.4230769230771","1151.3288141025641","0.41083333333333338","16730.620689655174","6873.4966666666669","0.41083333333333338","12625.857142857143","5187.1229761904769","0.41083333333333338","PCE","12","Larsen Bay",NA
"10","SR-105","332180","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","2834.3611111111113","2409.2069444444442","0.84999999999999987","6461.2666666666664","5492.0766666666659","0.85","4585.6470588235288","3897.7999999999997","0.85","PCE","10","Levelock",NA
"11","SR-106","332190","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","787.52777777777771","1397.7268007936505","1.7748285714285712","9065.0000000000018","16088.821","1.7748285714285712","1185.6666666666667","2104.3550761904758","1.7748285714285712","PCE","7","Lime Village",NA
"12","SR-107","331430","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","3662.3707865168549","1863.414256179776","0.50880000000000003","7570.2500000000009","3851.7432000000003","0.50880000000000003","27213.1","13846.025280000002","0.50880000000000003","PCE","12","Lower Kalskag",NA
"13","SR-108","332200","Manley Utilities","Manley Hot Springs","Manley Hot Springs_grid","Yukon-Koyukuk/Upper Tanana","2012.1011235955057","1796.9572109550566","0.89307500000000006","7162.9999999999991","6397.0962249999993","0.89307500000000006","6140.2222222222217","5483.6789611111108","0.89307500000000006","PCE","12","Manley Hot Springs",NA
