"","AEA Reporting ID","PCE ID","CPCN","Utility Name","Community Name","Intertie","AEA Energy Region","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","Source","Number of monthly records","Communities reported","Notes"
"3","SR-89","332070","289","King Cove, City of","King Cove","King Cove_grid","Aleutians","5147.4381443298971","1544.2314432989688","0.29999999999999993","7564.948356807512","2269.4845070422534","0.29999999999999993","17393.906249999996","5218.1718749999973","333.96299999999985","PCE","12","King Cove",NA
"4","SR-156","332540","749","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","4537.1957295373659","2141.7076241992886","0.47203333333333342","16255.24","7673.0151213333347","0.47203333333333342","17904.793103448275","8451.6591712643676","490.19623193333331","PCE","12","Sand Point","PCE revenue assumes all kWh are at residential rate"
"5","SR-125","332740","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","3041.0666666666671","2280.8000000000002","0.75","8919.5714285714294","6689.6785714285706","0.74999999999999989","5322.2000000000007","3991.650000000001","39.916500000000006","PCE","12","Nikolski","PCE revenue assumes all kWh are at residential rate"
"6","SR-24","331750","291","Andreanof Electric Corp","Atka","Atka_grid","Aleutians","4837.6666666666661","3410.5549999999998","0.70499999999999996","17985.5","12679.7775","0.70499999999999996","2833.3888888888891","1997.5391666666665","71.911409999999989","PCE","12","Atka","PCE revenue assumes all kWh are at residential rate"
"7","SR-15","331040","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","4576.6578947368416","2195.651625","0.47975000000000007","7847.3333333333321","3764.7581666666665","0.47975000000000007","5592.1363636363649","2682.8274204545464","59.022203250000018","PCE","12","Akutan","PCE revenue assumes all kWh are at residential rate"
"8","SR-120","332320","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","3929.46875","3300.7537499999999","0.84","4408.1578947368416","3702.8526315789468","0.84","3984.9999999999995","3347.3999999999996","33.473999999999997","PCE","12","Nelson Lagoon","PCE revenue assumes all kWh are at residential rate"
"9","SR-185","332860","106","Unalaska, City of","Unalaska","Unalaska_grid","Aleutians","4995.6274768824314","1770.7417894099519","0.35445833333333338","219864.76836158193","77932.899352165739","0.35445833333333338","30141.22033898305","10683.806725988703","1260.6891936666668","PCE","12","Unalaska","PCE revenue assumes all kWh are at residential rate"
"10","SR-152","332550","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","3466.4871794871792","3466.4871794871792","1","6217.6153846153848","6217.6153846153848","1","15779.857142857143","15779.857142857143","220.91800000000001","PCE","12","Saint George","PCE revenue assumes all kWh are at residential rate"
"11","SR-155","332560","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","4824.3892617449665","1990.0605704697987","0.41250000000000003","42050.484848484855","17345.825000000004","0.41250000000000003","18398.354838709674","7589.321370967742","470.53792499999997","PCE","12","Saint Paul","PCE revenue assumes all kWh are at residential rate"
"12","SR-48","331980","88","G & K Inc","Cold Bay","Cold Bay_grid","Aleutians","3231.7105263157896","2241.8375921052634","0.69369999999999998","23272.2","16143.925140000001","0.69369999999999998","116772.50000000001","81005.083249999996","648.04066599999999","PCE","12","Cold Bay","PCE revenue assumes all kWh are at residential rate"
"13","SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","3055.052083333333","3737.3979661458334","1.2233500000000002","7850.77027027027","9604.2398101351355","1.2233500000000002","36031","44078.523850000005","617.09933390000003","PCE","6","Adak","PCE revenue assumes all kWh are at residential rate"
"14","SR-63","331970","442","False Pass, City of","False Pass","False Pass_grid","Aleutians","3908.3103448275861","1767.6961997126432","0.45229166666666659","21758.923076923074","9841.3795833333315","0.45229166666666659","3355.090909090909","1517.4796590909089","33.384552499999991","PCE","12","False Pass","PCE revenue assumes all kWh are at residential rate"
"15","SR-184","332850","741","Unalakleet Valley Electric Cooperative","Unalakleet","Unalakleet_grid","Bering Straits","4793.7972508591074","1960.0239026345937","0.40886666666666671","39919.975609756104","16321.94736097561","0.40886666666666671","20667.909090909088","8450.4190969696956","371.81844026666664","PCE","12","Unalakleet","PCE revenue assumes all kWh are at residential rate"
"16","SR-190","332890","409","White Mountain, City of","White Mountain","White Mountain_grid","Bering Straits","3495.2","2065.0806666666663","0.59083333333333321","12820.750000000002","7574.9264583333324","0.59083333333333321","6417.9444444444443","3791.9355092592587","68.254839166666656","PCE","12","White Mountain","PCE revenue assumes all kWh are at residential rate"
"17","SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","4543.8130841121501","2426.3204566978197","0.53398333333333337","17165.090909090912","9165.8724606060623","0.53398333333333337","25541.090909090908","13638.516860606062","300.04737093333335","PCE","12","Koyuk","PCE revenue assumes all kWh are at residential rate"
"18","SR-154","331670","169","Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits","4366.1039999999994","2256.1478578000001","0.51674166666666677","11182.375","5778.3990947916673","0.51674166666666677","44140.272727272728","22809.118096212129","501.80059811666683","PCE","12","Saint Michael","PCE revenue assumes all kWh are at residential rate"
"19","SR-157","331590","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","5614.7177914110434","2886.6199951942731","0.51411666666666656","7739.9999999999991","3979.2629999999986","0.51411666666666656","60281.25","30991.595312499991","619.83190624999986","PCE","12","Savoonga","PCE revenue assumes all kWh are at residential rate"
"20","SR-161","331630","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","3089.731884057971","1398.7988672101451","0.45272500000000004","12246.416666666666","5544.2589854166654","0.45272499999999999","34567.583333333336","15649.609164583333","187.79530997500001","PCE","12","Shaktoolik","PCE revenue assumes all kWh are at residential rate"
"21","SR-162","331640","169","Alaska Village Electric Cooperative","Shishmaref","Shishmaref_grid","Bering Straits","4841.22972972973","2760.6305662162167","0.57023333333333337","15630.105263157893","8912.8070245614035","0.57023333333333337","29971.400000000005","17090.691326666671","341.81382653333344","PCE","12","Shishmaref","PCE revenue assumes all kWh are at residential rate"
"22","SR-167","331680","169","Alaska Village Electric Cooperative","Stebbins","Stebbins_grid","Bering Straits","2901.7543859649122","1499.4573976608192","0.51674166666666677","11016.952380952382","5692.9183349206369","0.51674166666666677","22178.961538461539","11460.793550320515","297.98063230833338","PCE","12","Stebbins","PCE revenue assumes all kWh are at residential rate"
"23","SR-188","331730","169","Alaska Village Electric Cooperative","Wales","Wales_grid","Bering Straits","1553.9310344827588","887.96799080459766","0.57143333333333324","3780.9375000000005","2160.5537187499995","0.57143333333333324","32102.400000000001","18344.381440000001","183.44381439999998","PCE","12","Wales","PCE revenue assumes all kWh are at residential rate"
"24","SR-31","331270","169","Alaska Village Electric Cooperative","Brevig Mission","Brevig Mission_grid","Bering Straits","5503.5934065934061","3276.6560611721616","0.59536666666666671","1720.9411764705881","1024.5910117647059","0.59536666666666671","26156.545454545452","15572.735278787877","342.60017613333332","PCE","12","Brevig Mission","PCE revenue assumes all kWh are at residential rate"
"25","SR-61","331300","169","Alaska Village Electric Cooperative","Elim","Elim_grid","Bering Straits","2722.1588235294116","1499.1382334313728","0.55071666666666674","10970.352941176472","6041.5562039215692","0.55071666666666674","26315.136363636364","14492.184181060606","318.82805198333335","PCE","12","Elim","PCE revenue assumes all kWh are at residential rate"
"26","SR-66","331320","169","Alaska Village Electric Cooperative","Gambell","Gambell_grid","Bering Straits","4670.7515151515154","2392.2421572727271","0.51217499999999994","9553.3333333333339","4892.9785000000002","0.51217499999999994","33763.692307692312","17292.919107692305","449.61589679999992","PCE","6","Gambell","PCE revenue assumes all kWh are at residential rate"
"27","SR-54","331930","383","Diomede Joint Utilities","Diomede","Diomede_grid","Bering Straits","1022.0526315789471","664.3342105263157","0.65","3627.1111111111109","2357.6222222222223","0.65","649.9","422.435","4.2243500000000003","PCE","12","Diomede","PCE revenue assumes all kWh are at residential rate"
