"AK Plant ID","RCA CPCN","Utility Name","Plant Name","Intertie Name","Energy Region","Fuel Type","Prime Mover","Generation MMBtu","Total Fuel MMBtu","Emission Factor","CO2 Metric Tons from Fuel","Efficiency (Max = 1.00)","Generation MWh","Fuel Use","Fuel Units","Estimated Average Heat Content","Source","Number of monthly records","Communities connected to plant","Notes"
"P107","291","Atka, City of","Atka","Atka_grid","Aleutians","WAT","HY","1227.0634077","0","0","0","-","358.75899999999996","0",NA,"-","PCE","12","Atka",NA
"P107","291","Atka, City of","Atka","Atka_grid","Aleutians","DFO","IC","410.63095710000005","1762.9","74.14","130.70140599999999","0.23292923994554429","120.057","12774","gallons","0.13800688899326757","PCE","11","Atka",NA
"P141","442","False Pass, City of","False Pass","False Pass_grid","Aleutians","DFO","IC","2091.9375672000001","7147.4","74.14","529.90823599999999","0.29268511167697348","611.62400000000002","51794","gallons","0.13799667915202532","PCE","12","False Pass",NA
"P143","88","G & K Inc","Cold Bay","Cold Bay_grid","Aleutians","DFO","IC","6658.2843288000004","20340.8","74.14","1508.066912","0.32733640411389919","1946.6959999999999","147397","gallons","0.13800009498158036","PCE","10","Cold Bay",NA
"P177","289","King Cove, City of","King Cove","King Cove_grid","Aleutians","WAT","HY","6857.7015000000001","0","0","0","-","2005","0",NA,"-","PCE","12","King Cove",NA
"P177","289","King Cove, City of","King Cove","King Cove_grid","Aleutians","DFO","IC","7857.0242322000004","20250.500000000004","74.14","1501.3720700000003","0.38799161661193543","2297.174","146743","gallons","0.13799976830240626","PCE","11","King Cove",NA
"P212","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","DFO","IC","1098.6414036000001","3768.2999999999997","74.14","279.38176199999998","0.29154828532760135","321.21199999999999","27306","gallons","0.13800263678312458","PCE","12","Nelson Lagoon",NA
"P237","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","DFO","IC","1859.6102693999999","6327.2","74.14","469.09860800000001","0.29390730013276012","543.69799999999998","45849","gallons","0.13800082880760758","PCE","12","Saint George",NA
"P238","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","DFO","IC","0","0","74.14","0","-","0","-","gallons","-","0","0","Saint Paul",NA
"P251","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","DFO","IC","6764.6488182000003","21852.400000000001","74.14","1620.1369360000003","0.30956090947447418","1977.7940000000001","158351","gallons","0.13799976002677597","PCE","12","Adak",NA
"P252","230","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","WND","WT","2516.3078694000005","0","0","0","-","735.69800000000009","0",NA,"-","PCE","12","Sand Point",NA
"P252","749","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","DFO","IC","0","0","74.14","0","-","0","-","gallons","-","0","0","Sand Point",NA
