"","AEA Sales Reporting ID","PCE ID","RCA CPCN","Utility Name","Community Name","Intertie Name","AEA Energy Region","Residential Rate ($/kWh)","PCE Residential Reimbursement Rate ($/kWh)","Residential Rate after PCE ($/kWh)","Percent of Residential Rate Covered by PCE Reimbursement","PCE Community
(Y/N)","Data Source","Number of monthly records","Communities reported","Notes"
"4","SR-1","0","1","Alaska Electric Light&Power Co","Juneau","Juneau_grid","Southeast","0.11905553437857361","0","0.11905553437857361","0","No","EIA861","0","Juneau, Douglas, Greens Creek (Industrial)","Residential rate is calculated"
"5","SR-10","0","227","TDX North Slope Generating Co","Deadhorse","Deadhorse_grid","North Slope",NA,NA,NA,NA,"No","EIA861",NA,"Deadhorse","No Data"
"6","SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","0.50617499999999993","0.24798333333333317","0.25819166666666676","0.48991620157718813","Yes","PCE","12","Koyuk","Residential rate as reported to PCE"
"7","SR-101","332140","687","Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","0.95","0.34384999999999999","0.60614999999999997","0.36194736842105263","Yes","PCE","4","Koyukuk","Residential rate as reported to PCE"
"8","SR-102","332150","281","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","0.51999999999999991","0.21828333333333322","0.30171666666666669","0.41977564102564086","Yes","PCE","12","Kwethluk","Residential rate as reported to PCE"
"9","SR-103","332160","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","0.67","0.35221666666666668","0.31778333333333336","0.52569651741293533","Yes","PCE","12","Kwigillingok","Residential rate as reported to PCE"
"10","SR-104","332170","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak",NA,NA,NA,NA,"Yes",NA,NA,"Larsen Bay","No Data"
"11","SR-105","332180","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","0.84999999999999976","0.47136666666666638","0.37863333333333338","0.55454901960784297","Yes","PCE","12","Levelock","Residential rate as reported to PCE"
"12","SR-106","332190","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","1.77","0.754","1.016","0.42598870056497173","Yes","PCE","2","Lime Village","Residential rate as reported to PCE"
"13","SR-107","331430","169","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","0.51345833333333324","0.25509999999999983","0.25835833333333341","0.49682707133003301","Yes","PCE","12","Lower Kalskag","Residential rate as reported to PCE"
"14","SR-108","332200","264","Manley Utilities","Manley Hot Springs","Manley Hot Springs_grid","Yukon-Koyukuk/Upper Tanana","1.0214166666666669","0.73551666666666682","0.28589999999999999","0.72009463979766664","Yes","PCE","12","Manley Hot Springs","Residential rate as reported to PCE"
"15","SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","0.6","0.19240000000000002","0.40759999999999996","0.32066666666666671","Yes","PCE","8","Manokotak","Residential rate as reported to PCE"
"16","SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","1.2689272727272729","0.75659090909090909","0.51233636363636381","0.59624450144001362","Yes","PCE","11","Adak","Residential rate as reported to PCE"
"17","SR-110","331440","169","Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim","0.48485833333333339","0.22755833333333342","0.25729999999999997","0.46932952924393734","Yes","PCE","12","Marshall","Residential rate as reported to PCE"
"18","SR-111","332220","44","Mcgrath Light & Power","McGrath","McGrath_grid","Yukon-Koyukuk/Upper Tanana","0.77984166666666666","0.36926666666666674","0.41057499999999991","0.47351492290101632","Yes","PCE","12","McGrath","Residential rate as reported to PCE"
"19","SR-112","331450","169","Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim","0.52180833333333332","0.25634999999999997","0.26545833333333335","0.49127233818292154","Yes","PCE","12","Mekoryuk","Residential rate as reported to PCE"
