"","AEA Sales Reporting ID","PCE ID","RCA CPCN","Utility Name","Community Name","Intertie Name","AEA Energy Region","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","Data Source","Number of monthly records","Communities reported","Notes"
"16","SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","2111.8594657375147","2679.7960722415801","1.2689272727272729","42925.893805309737","54469.837355752221","1.2689272727272729","5799.869565217391","7359.6126695652174","1.2689272727272729","PCE","11","Adak","PCE revenue assumes all kWh are at residential rate"
"17","SR-110","331440","169","Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim","5701.1095571095566","2764.230478010878","0.48485833333333334","5259.6111111111113","2550.166277314815","0.48485833333333339","34708.088888888888","16828.506131851856","0.48485833333333339","PCE","12","Marshall","PCE revenue assumes all kWh are at residential rate"
"18","SR-111","332220","44","Mcgrath Light & Power","McGrath","McGrath_grid","Yukon-Koyukuk/Upper Tanana","2797.795737122558","2181.8376906305507","0.77984166666666666","53249.71084337349","41526.343253614454","0.77984166666666666","6862.5027726432545","5351.6655997227363","0.77984166666666666","PCE","12","McGrath","PCE revenue assumes all kWh are at residential rate"
"19","SR-112","331450","169","Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim","3386.8907563025209","1767.3078207282911","0.52180833333333332","8545.2080536912763","4458.9607724832213","0.52180833333333332","13480.096774193547","7034.0268309139774","0.52180833333333332","PCE","12","Mekoryuk","PCE revenue assumes all kWh are at residential rate"
"20","SR-113","331160","2","Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach","3214.28","2051.4070673333335","0.63821666666666665","51339.75","32765.884112500004","0.63821666666666677","4690.4827586206902","2993.5442712643676","0.63821666666666665","PCE","12","Mentasta Lake","PCE revenue assumes all kWh are at residential rate"
"21","SR-114","331460","169","Alaska Village Electric Cooperative","Minto","Minto_grid","Yukon-Koyukuk/Upper Tanana","4337.3729372937287","2079.0112831683164","0.47932499999999995","0","0",NA,"22017.665158371041","10553.617352036199","0.47932499999999995","PCE","12","Minto","PCE revenue assumes all kWh are at residential rate"
"22","SR-115","331470","169","Alaska Village Electric Cooperative","Mountain Village","Mountain Village_grid","Lower Yukon-Kuskokwim","5289.7689320388354","2601.7287678155344","0.49184166666666668","22035.343283582089","10837.899966169156","0.49184166666666673","26325.971830985916","12948.209861971834","0.49184166666666673","PCE","12","Mountain Village","PCE revenue assumes all kWh are at residential rate"
"23","SR-116","332280","22","Naknek Electric Association","Naknek","Naknek_grid","Bristol Bay","4575.6595041322307","2177.7470104958679","0.47594166666666671","383029.66981132072","182299.77943278302","0.47594166666666671","12610.237450894805","6001.7374294412939","0.47594166666666671","PCE","12","Naknek, South Naknek, King Salmon","PCE revenue assumes all kWh are at residential rate"
"24","SR-117","332290","319","Napakiak Ircinraq","Napakiak","Bethel_grid","Lower Yukon-Kuskokwim","3706.6198083067093","2862.9313629392968","0.77238333333333331","55830.25","43122.354595833327","0.77238333333333331","4451.9240506329115","3438.5919379746833","0.77238333333333331","PCE","12","Napakiak","PCE revenue assumes all kWh are at residential rate"
"25","SR-118","332300","625","Napaskiak Electric Utility","Napaskiak","Napaskiak_grid","Lower Yukon-Kuskokwim","3659.8835820895524","2561.9185074626871","0.70000000000000007","25897.75","18128.424999999999","0.70000000000000007","2109.1510791366904","1476.4057553956836","0.70000000000000007","PCE","12","Napaskiak","PCE revenue assumes all kWh are at residential rate"
"26","SR-119","331170","2","Alaska Power & Telephone Company","Naukati Bay","Prince of Wales Is._grid","Southeast","5169.6745061147703","1518.8934505174032","0.29380833333333328",NA,NA,"0.29380833333333328","2554.2857142857138","750.47042857142833","0.29380833333333328","PCE","12","Naukati Bay","PCE revenue assumes all kWh are at residential rate"
"27","SR-12","331010","449","Akhiok, City of","Akhiok","Akhiok_grid","Kodiak","3443.3703703703704","2754.6962962962966","0.8","21134.615384615383","16907.692307692309","0.79999999999999993","1769.5714285714287","1415.6571428571426","0.79999999999999993","PCE","12","Akhiok","PCE revenue assumes all kWh are at residential rate"
"28","SR-120","332320","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","3992.5901639344265","3353.7757377049184","0.84","11286.133333333333","9480.3520000000008","0.84","1652.030769230769","1387.7058461538459","0.84","PCE","12","Nelson Lagoon","PCE revenue assumes all kWh are at residential rate"
"29","SR-121","331480","169","Alaska Village Electric Cooperative","New Stuyahok","New_Stuyahok_grid","Bristol Bay","5524.7338582677166","3006.2378895275592","0.54414166666666663","9373.6999999999989","5100.620740833333","0.54414166666666663","18116.643171806169","9858.0204099118928","0.54414166666666663","PCE","12","New Stuyahok","PCE revenue assumes all kWh are at residential rate"
"30","SR-122","332870","375","Ungusraq Power Company","Newtok","Newtok_grid","Lower Yukon-Kuskokwim","2547.2048192771085","2037.7638554216869","0.79999999999999993","26643.619047619046","21314.895238095236","0.79999999999999993","986.34666666666669","789.07733333333329","0.79999999999999993","PCE","8","Newtok","PCE revenue assumes all kWh are at residential rate"
"31","SR-123","331490","169","Alaska Village Electric Cooperative","Nightmute","Toksook Bay_grid","Lower Yukon-Kuskokwim","5725.2611464968149","2994.5501321656052","0.52304166666666674","4035.8571428571431","2110.9214464285719","0.52304166666666674","25994.427480916031","13596.168673664124","0.52304166666666674","PCE","12","Nightmute","PCE revenue assumes all kWh are at residential rate"
"32","SR-124","332330","416","Nikolai, City of","Nikolai","Nikolai_grid","Yukon-Koyukuk/Upper Tanana","4009.4502762430943","3608.5052486187851","0.90000000000000013","14053.5","12648.150000000001","0.90000000000000013","7349.8695652173919","6614.8826086956542","0.90000000000000024","PCE","9","Nikolai","PCE revenue assumes all kWh are at residential rate"
"33","SR-125","332740","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","2362.3783783783783","1771.7837837837837","0.75","10037.6","7528.2000000000007","0.75000000000000011","3217.898305084746","2413.4237288135591","0.75","PCE","8","Nikolski","PCE revenue assumes all kWh are at residential rate"
"34","SR-126","331500","169","Alaska Village Electric Cooperative","Noatak","Noatak_grid","Northwest Arctic","7011.1723183390995","6346.2794768166077","0.90516666666666656","17639.720930232561","15966.887395348835","0.90516666666666656","26809.762711864409","24267.303548022599","0.90516666666666656","PCE","12","Noatak","PCE revenue assumes all kWh are at residential rate"
"35","SR-127","332340","150","Nome Joint Utility Systems","Nome","Nome_grid","Bering Straits","5004.265615351731","1793.9458186766728","0.35848333333333332","132211.52914285715","47395.62967222857","0.35848333333333332","29081.517031894124","10425.239163983511","0.35848333333333332","PCE","12","Nome","PCE revenue assumes all kWh are at residential rate"
"36","SR-128","331510","169","Alaska Village Electric Cooperative","Noorvik","Noorvik_grid","Northwest Arctic","6547.2189205579143","3558.4134833232274","0.54350000000000021","15357","8346.5295000000024","0.54350000000000021","23603.46604215457","12828.483793911013","0.54350000000000021","PCE","12","Noorvik","PCE revenue assumes all kWh are at residential rate"
"37","SR-129","331180","2","Alaska Power & Telephone Company","Northway","Northway_grid","Yukon-Koyukuk/Upper Tanana","3936.4791086350974","2682.2840606313835","0.68139166666666673","50907.333333333336","34687.832705555556","0.68139166666666673","9457.1181818181794","6444.0015197727271","0.68139166666666673","PCE","12","Northway, Northway Village, Northway Junction","PCE revenue assumes all kWh are at residential rate"
"38","SR-13","331020","412","Akiachak Native Community","Akiachak","Akiachak_grid","Lower Yukon-Kuskokwim","4134.9694793536801","2543.0062298025132","0.61499999999999988","41664","25623.359999999997","0.61499999999999988","13175.772727272728","8103.1002272727264","0.61499999999999988","PCE","12","Akiachak","PCE revenue assumes all kWh are at residential rate"
"39","SR-130","332380","254","North Slope Borough Power & Light","Nuiqsut","Nuiqsut_grid","North Slope","8910.3571966842501","816.78274302938962","9.1666666666666674E-2","1689629.6666666667","154882.71944444446","9.1666666666666674E-2","1845.9818731117825","169.21500503524675","9.1666666666666674E-2","PCE","12","Nuiqsut","PCE revenue assumes all kWh are at residential rate"
"40","SR-131","331520","169","Alaska Village Electric Cooperative","Nulato","Nulato_grid","Yukon-Koyukuk/Upper Tanana","4470.1356196414654","2379.0806790335155","0.53221666666666667","0","0",NA,"23608.597701149429","12564.88917318008","0.53221666666666667","PCE","12","Nulato","PCE revenue assumes all kWh are at residential rate"
"41","SR-132","332420","408","Nunam Iqua Electric Company","Nunam Iqua","Nunam Iqua_grid","Lower Yukon-Kuskokwim","5351.8297872340427","2234.6565276595747","0.41755000000000003","79684.38461538461","33272.21479615385","0.41754999999999998","20013.2","8356.5116600000001","0.41755000000000003","PCE","12","Nunam Iqua","PCE revenue assumes all kWh are at residential rate"
"42","SR-133","331530","169","Alaska Village Electric Cooperative","Nunapitchuk","Kasigluk_grid","Lower Yukon-Kuskokwim","5452.2609890109898","2806.2787310439571","0.51470000000000016","9799.8832116788344","5043.9998890510969","0.51470000000000016","16175.331378299121","8325.4430604105601","0.51470000000000016","PCE","12","Nunapitchuk","PCE revenue assumes all kWh are at residential rate"
"43","SR-134","331540","169","Alaska Village Electric Cooperative","Old Harbor","Old Harbor_grid","Kodiak","3929.994449583719","2050.2453543940787","0.52169166666666655","0","0",NA,"15096.598006644519","7875.7693750830549","0.52169166666666655","PCE","12","Old Harbor","PCE revenue assumes all kWh are at residential rate"
"44","SR-135","332440","357","Ouzinkie, City of","Ouzinkie","Ouzinkie_grid","Kodiak","3381.1631520532742","1354.6066641509435","0.4006333333333334","15941.586206896551","6386.730820689656","0.40063333333333334","4891.1821561338293","1959.5706111524166","0.4006333333333334","PCE","12","Ouzinkie","PCE revenue assumes all kWh are at residential rate"
"45","SR-136","332450","662","Pedro Bay Village Council","Pedro Bay","Pedro Bay_grid","Bristol Bay","3150.0000000000005","2583.0000000000005","0.82000000000000017","22854.75","18740.895","0.82000000000000006","2299.7086092715231","1885.7610596026493","0.82000000000000017","PCE","12","Pedro Bay","PCE revenue assumes all kWh are at residential rate"
"46","SR-137","332460","24","Pelican Utility","Pelican","Pelican_grid","Southeast","2410","629.01000000000022","0.26100000000000007","15555.611111111109","4060.0145000000002","0.26100000000000007","3591.2285714285717","937.31065714285751","0.26100000000000007","PCE","6","Pelican","PCE revenue assumes all kWh are at residential rate"
"47","SR-138","332470","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perryville","No Data"
"48","SR-139","332480","425","Pilot Point Electric Utility","Pilot Point","Pilot Point_grid","Bristol Bay","4395.2699228791771","2637.1619537275055","0.59999999999999987","14862.799999999997","8917.6799999999967","0.59999999999999987","4214.6200873362441","2528.7720524017459","0.59999999999999987","PCE","12","Pilot Point","PCE revenue assumes all kWh are at residential rate"
"49","SR-14","331030","635","Akiak City Council","Akiak","Akiak_grid","Lower Yukon-Kuskokwim","715.02392344497616","378.96267942583739","0.53","54850.5","29070.764999999999","0.53","448.92307692307691","237.9292307692308","0.53","PCE","2","Akiak","PCE revenue assumes all kWh are at residential rate"
"50","SR-140","331550","169","Alaska Village Electric Cooperative","Pilot Station","Pilot Station_grid","Lower Yukon-Kuskokwim","5320.9904761904763","2712.8183111111111","0.50983333333333325","20639.166666666664","10522.535138888885","0.50983333333333325","31947.302752293577","16287.799853211005","0.50983333333333325","PCE","12","Pilot Station","PCE revenue assumes all kWh are at residential rate"
"51","SR-141","331560","169","Alaska Village Electric Cooperative","Pitkas Point","Saint Mary's_grid","Lower Yukon-Kuskokwim","5478.8117647058825","2473.2726008823538","0.45142500000000013","0","0",NA,"32012","14451.017100000003","0.45142500000000013","PCE","12","Pitkas Point","PCE revenue assumes all kWh are at residential rate"
"52","SR-143","332390","254","North Slope Borough Power & Light","Point Hope","Point Hope_grid","North Slope","9857.6776966050711","1478.6516544907602","0.14999999999999994","1834351.5","275152.72499999992","0.14999999999999997","1263.36312849162","189.50446927374298","0.15","PCE","12","Point Hope","PCE revenue assumes all kWh are at residential rate"
"53","SR-144","332400","254","North Slope Borough Power & Light","Point Lay","Point Lay_grid","North Slope","9745.9434447300773","1461.8915167095113","0.14999999999999997","2513373","377005.94999999995","0.14999999999999997","2475.7544554455444","371.3631683168316","0.14999999999999997","PCE","12","Point Lay","PCE revenue assumes all kWh are at residential rate"
"54","SR-145","332590","447","Tanalian Electric Cooperative","Port Alsworth","Port Alsworth_grid","Bristol Bay","3960.0362173038234","2184.4549783702219","0.55162500000000003",NA,NA,"0.55162500000000003","1168.8331242158094","644.75757214554585","0.55162500000000003","PCE","12","Port Alsworth","PCE revenue assumes all kWh are at residential rate"
"55","SR-146","332500","399","Port Heiden Utilities","Port Heiden","Port Heiden_grid","Bristol Bay","2753.968992248062","1790.0798449612407","0.65000000000000013","23532.786885245903","15296.311475409841","0.65000000000000024","5465.258426966293","3552.4179775280909","0.65000000000000024","PCE","12","Port Heiden","PCE revenue assumes all kWh are at residential rate"
"56","SR-147","331570","169","Alaska Village Electric Cooperative","Quinhagak","Quinhagak_grid","Lower Yukon-Kuskokwim","6260.5892453682791","3161.5453973339359","0.50499166666666662","20304.137931034486","10253.420454022988","0.50499166666666662","29555.192982456141","14925.126162865496","0.50499166666666662","PCE","12","Quinhagak","PCE revenue assumes all kWh are at residential rate"
"57","SR-148","332520","759","Rampart Village Council","Rampart","Rampart_grid","Yukon-Koyukuk/Upper Tanana","1139.1142857142856","928.26423142857118","0.81489999999999974","2705.8","2204.9564199999995","0.81489999999999985","4637.6000000000004","3779.1802399999988","0.81489999999999974","PCE","6","Rampart","PCE revenue assumes all kWh are at residential rate"
"58","SR-149","332250","343","Middle Kuskokwim Electric","Red Devil","Red Devil_grid","Lower Yukon-Kuskokwim","3414.705882352941","3799.5716911764721","1.1127083333333336",NA,NA,"1.1127083333333336","1068.5783132530121","1189.0159939759039","1.1127083333333336","PCE","12","Red Devil","PCE revenue assumes all kWh are at residential rate"
"59","SR-15","331040","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","4022.9600000000005","3821.8119999999994","0.94999999999999984","19393.753846153846","18424.066153846146","0.94999999999999984","4558.7537091988133","4330.816023738872","0.94999999999999984","PCE","12","Akutan","PCE revenue assumes all kWh are at residential rate"
"60","SR-150","332530","364","Ruby, City of","Ruby","Ruby_grid","Yukon-Koyukuk/Upper Tanana","2458.3367267032104","1843.7525450274081","0.75","19892.25","14919.1875","0.75","5377.9877300613489","4033.4907975460128","0.75","PCE","12","Ruby","PCE revenue assumes all kWh are at residential rate"
"61","SR-151","331580","169","Alaska Village Electric Cooperative","Russian Mission","Russian Mission_grid","Lower Yukon-Kuskokwim","5160.7238095238099","2603.4991498412705","0.50448333333333351","4869.4285714285716","2456.5455571428579","0.50448333333333351","30173.730337078654","15222.144059550568","0.50448333333333351","PCE","12","Russian Mission","PCE revenue assumes all kWh are at residential rate"
"62","SR-152","332550","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","3135.7544757033247","3135.7544757033247","1","13211.525423728812","13211.525423728812","1","5346.1450381679388","5346.1450381679388","1","PCE","10","Saint George","PCE revenue assumes all kWh are at residential rate"
"63","SR-153","331660","169","Alaska Village Electric Cooperative","Saint Mary's","Saint Mary's_grid","Lower Yukon-Kuskokwim","4897.8642957416932","2211.0183897051943","0.45142500000000013","21535.764705882353","9721.7825823529438","0.45142500000000013","23002.984743411929","10384.122387794732","0.45142500000000013","PCE","12","Saint Mary's, Andreafsky","PCE revenue assumes all kWh are at residential rate"
"64","SR-154","331670","169","Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits","6875.6007604562737","3546.205685551331","0.51576666666666671","22372.1","11538.783443333334","0.51576666666666671","24658.820512820512","12718.19765982906","0.51576666666666671","PCE","12","Saint Michael","PCE revenue assumes all kWh are at residential rate"
"65","SR-155","332560","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","5226.4563591022443","2142.8471072319207","0.41000000000000014","37511.191011235955","15379.588314606744","0.41000000000000009","14253.37041156841","5843.8818687430485","0.41000000000000009","PCE","12","Saint Paul","PCE revenue assumes all kWh are at residential rate"
"66","SR-156","332540","749","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","5053.21540062435","2571.7918680194248","0.50894166666666674","35734.888888888891","18186.973909259261","0.50894166666666674","10455.375539568347","5321.1762527338151","0.50894166666666674","PCE","12","Sand Point","PCE revenue assumes all kWh are at residential rate"
"67","SR-157","331590","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","6532.4090441932167","3338.1154583247685","0.51100833333333329","5093.9439252336451","2603.0477953271024","0.51100833333333329","27820.964788732395","14216.744848415492","0.51100833333333329","PCE","12","Savoonga","PCE revenue assumes all kWh are at residential rate"
"68","SR-158","331600","169","Alaska Village Electric Cooperative","Scammon Bay","Scammon Bay_grid","Lower Yukon-Kuskokwim","5068.7854741089432","2703.3944927370549","0.53334166666666682","9362.625","4993.4780218750011","0.53334166666666682","21840.913580246914","11648.669250411525","0.53334166666666682","PCE","12","Scammon Bay","PCE revenue assumes all kWh are at residential rate"
"69","SR-159","331610","169","Alaska Village Electric Cooperative","Selawik","Selawik_grid","Northwest Arctic","6961.6622613803229","3725.6495868820343","0.53516666666666646","15787.379679144386","8448.8793582887665","0.53516666666666646","29751.937131630646","15922.245021610994","0.53516666666666646","PCE","12","Selawik","PCE revenue assumes all kWh are at residential rate"
"70","SR-16","331240","169","Alaska Village Electric Cooperative","Alakanuk","Emmonak_grid","Lower Yukon-Kuskokwim","5273.0453108535303","2694.8776902002101","0.51106666666666645","15857.400000000001","8104.1885599999969","0.51106666666666645","29832.65185185185","15246.473939753078","0.51106666666666634","PCE","12","Alakanuk","PCE revenue assumes all kWh are at residential rate"
"71","SR-160","331620","169","Alaska Village Electric Cooperative","Shageluk","Shageluk_grid","Yukon-Koyukuk/Upper Tanana","3537.6870748299316","1876.1533786848065","0.53033333333333321","12470.625","6613.5881249999984","0.53033333333333321","9677.3714285714286","5132.2326476190456","0.53033333333333321","PCE","12","Shageluk","PCE revenue assumes all kWh are at residential rate"
"72","SR-161","331630","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","7334.7962716378161","3774.7917778961387","0.51464166666666666","40843.5","21019.766912499999","0.51464166666666666","11604.624113475176","5972.2230947990538","0.51464166666666666","PCE","12","Shaktoolik","PCE revenue assumes all kWh are at residential rate"
"73","SR-162","331640","169","Alaska Village Electric Cooperative","Shishmaref","Shishmaref_grid","Bering Straits","5106.8888888888896","2673.7116777777783","0.52355000000000007","23950","12539.022500000001","0.52355000000000007","16932.92805755396","8865.2344845323769","0.52355000000000007","PCE","12","Shishmaref","PCE revenue assumes all kWh are at residential rate"
"74","SR-163","331650","169","Alaska Village Electric Cooperative","Shungnak","Shungnak_grid","Northwest Arctic","6342.7630522088348","4889.741749665327","0.77091666666666658","11221.982608695651","8651.213426086957","0.77091666666666669","20243.150000000001","15605.781720833331","0.77091666666666658","PCE","12","Shungnak","PCE revenue assumes all kWh are at residential rate"
"75","SR-164","331190","2","Alaska Power & Telephone Company","Skagway","Haines_grid","Southeast","5036.3810569663692","1482.2489149073438","0.29430833333333328","128695.82261640798","37876.253061197334","0.29430833333333328","3333.0348451327436","980.93993021294227","0.29430833333333328","PCE","12","Skagway","PCE revenue assumes all kWh are at residential rate"
"76","SR-165","331195","2","Alaska Power & Telephone Company","Slana","Slana_grid","Copper River/Chugach","3582.1794019933559","2286.2663003322259","0.63823333333333332","69981","44664.206899999997","0.63823333333333332","6323.0048780487796","4035.5524799999989","0.63823333333333332","PCE","12","Slana","PCE revenue assumes all kWh are at residential rate"
"77","SR-166","332260","343","Middle Kuskokwim Electric","Sleetmute","Sleetmute_grid","Lower Yukon-Kuskokwim","3104.3308270676689","3454.1113030075198","1.1126750000000003","15950.0625","17747.235792187505","1.1126750000000003","8949.8086956521747","9958.228390434786","1.1126750000000003","PCE","12","Sleetmute","PCE revenue assumes all kWh are at residential rate"
"78","SR-167","331680","169","Alaska Village Electric Cooperative","Stebbins","Stebbins_grid","Bering Straits","5544.4380610412927","2859.6363372830642","0.51576666666666671","18659.900000000001","9624.1544233333334","0.51576666666666671","15936.66382978723","8219.5999812765949","0.51576666666666671","PCE","12","Stebbins","PCE revenue assumes all kWh are at residential rate"
"79","SR-168","332570","709","Stevens Village Ira Council","Stevens Village","Stevens Village_grid","Yukon-Koyukuk/Upper Tanana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stevens Village","No Data"
"80","SR-169","332270","343","Middle Kuskokwim Electric","Stony River","Stony River_grid","Lower Yukon-Kuskokwim","2569.2182741116749","2858.7691736040606","1.1127","10220.357142857143","11372.191392857143","1.1127","4638.9375","5161.7457562500003","1.1127","PCE","12","Stony River","PCE revenue assumes all kWh are at residential rate"
"81","SR-17","331050","2","Alaska Power & Telephone Company","Allakaket","Allakaket_grid","Yukon-Koyukuk/Upper Tanana","3198.4059040590405","2820.0611389913893","0.88170833333333321","2224.2777777777774","1961.1642523148143","0.88170833333333309","21875.101604278076","19287.459377005343","0.88170833333333332","PCE","12","Allakaket, Alatna","PCE revenue assumes all kWh are at residential rate"
"82","SR-170","332580","394","Takotna Community Assoc Inc","Takotna","Takotna_grid","Yukon-Koyukuk/Upper Tanana","647.64705882352939","692.11882352941188","1.0686666666666669","3485.2","3724.5170666666672","1.0686666666666669","1064.7749999999999","1137.8895500000001","1.0686666666666669","PCE","3","Takotna","PCE revenue assumes all kWh are at residential rate"
"83","SR-171","332600","92","Tanana Power Company Inc","Tanana","Tanana_grid","Yukon-Koyukuk/Upper Tanana","2812.2116731517513","1799.5108145525292","0.63989166666666664","71699.571428571435","45879.95826071428","0.63989166666666664","7672.1207547169806","4909.3261366037732","0.63989166666666664","PCE","12","Tanana","PCE revenue assumes all kWh are at residential rate"
"84","SR-172","332610","586","Tatitlek Village Ira Council","Tatitlek","Tatitlek_grid","Copper River/Chugach","3221.1172707889123","2963.4278891257995","0.92","9803.2000000000007","9018.9440000000013","0.92","7021.1101321585902","6459.4213215859036","0.92","PCE","12","Tatitlek","PCE revenue assumes all kWh are at residential rate"
"85","SR-173","331685","61","Teller Power Company","Teller","Teller_grid","Bering Straits","4165.3455377574373","2214.2282654462242","0.5315833333333333","6424","3414.8913333333335","0.5315833333333333","13116.350364963504","6972.4332481751826","0.5315833333333333","PCE","12","Teller","PCE revenue assumes all kWh are at residential rate"
"86","SR-174","332630","363","Tenakee Springs, City of","Tenakee Springs","Tenakee Springs_grid","Southeast","2133.233844103931","1255.052578281146","0.58833333333333326","4635.409090909091","2727.1656818181818","0.58833333333333326","911.65417867435156","536.35654178674349","0.58833333333333326","PCE","12","Tenakee Springs","PCE revenue assumes all kWh are at residential rate"
"87","SR-175","331200","2","Alaska Power & Telephone Company","Tetlin","Tok_grid","Yukon-Koyukuk/Upper Tanana","3720.3756521739133","1654.3580431304351","0.4446750000000001","14414.8","6409.9011900000014","0.44467500000000004","16112.736842105263","7164.9312552631582","0.44467500000000004","PCE","12","Tetlin","PCE revenue assumes all kWh are at residential rate"
"88","SR-176","331210","2","Alaska Power & Telephone Company","Thorne Bay","Prince of Wales Is._grid","Southeast","4952.277563608327","1455.0204171678231","0.29380833333333328","29216.509695290861","8584.0540193905799","0.29380833333333328","5692.2278761061953","1672.4239852323005","0.29380833333333328","PCE","12","Thorne Bay, Kasaan","PCE revenue assumes all kWh are at residential rate"
"89","SR-177","331690","169","Alaska Village Electric Cooperative","Togiak","Togiak_grid","Bristol Bay","5528.431296224212","2908.231283378746","0.52604999999999991","27699.73684210526","14571.446565789469","0.52604999999999991","18795.855263157897","9887.5596611842084","0.52604999999999991","PCE","12","Togiak","PCE revenue assumes all kWh are at residential rate"
