"","AEA Sales Reporting ID","PCE ID","RCA CPCN","Utility Name","Community Name","Intertie Name","AEA Energy Region","Residential kWh Use Per Customer","Residential Revenue Per Customer","Residential $/kWh","Commercial kWh Use Per Customer","Commercial Revenue Per Customer","Commercial $/kWh","Other kWh Use Per Customer","Other Revenue Per Customer","Other $/kWh","Data Source","Number of monthly records","Communities reported","Notes"
"4","SR-1","0","1","Alaska Electric Light&Power Co","Juneau","Juneau_grid","Southeast","10656.389425317973","1268.702137577412","0.11905553437857361","49047.181628392485","4876.2004175365337","9.9418565056015248E-2","1048256.1983471073","120234.71074380165","0.11469973746245242","EIA861","0","Juneau, Douglas, Greens Creek (Industrial)",NA
"5","SR-10","0","227","TDX North Slope Generating Co","Deadhorse","Deadhorse_grid","North Slope",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EIA861","0","Deadhorse","No Data"
"6","SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","6102.9156626506019","3089.1433355421682","0.50617499999999993","16066.399999999998","8132.4100199999984","0.50617499999999993","15103.747178329566","7645.1392279909678","0.50617499999999993","PCE","12","Koyuk","PCE revenue assumes all kWh are at residential rate"
"7","SR-101","332140","687","Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","1034.3030303030303","982.58787878787882","0.95","7632","7250.3999999999987","0.95","3423.1764705882351","3252.017647058824","0.95","PCE","4","Koyukuk","PCE revenue assumes all kWh are at residential rate"
"8","SR-102","332150","281","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","5240.1238938053093","2724.8644247787602","0.51999999999999991","386688","201077.75999999995","0.51999999999999991","1591.4062500000002","827.53125","0.51999999999999991","PCE","12","Kwethluk","PCE revenue assumes all kWh are at residential rate"
"9","SR-103","332160","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","5604.7987012987014","3755.2151298701301","0.67","131571","88152.57","0.67","2104.2739726027398","1409.8635616438355","0.67","PCE","12","Kwigillingok","PCE revenue assumes all kWh are at residential rate"
"10","SR-104","332170","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Larsen Bay","No Data"
"11","SR-105","332180","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","2568.7531380753139","2183.4401673640159","0.84999999999999976","23698.753246753244","20143.940259740251","0.84999999999999976","3138.3949843260189","2667.6357366771153","0.84999999999999976","PCE","12","Levelock","PCE revenue assumes all kWh are at residential rate"
"12","SR-106","332190","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","53.5","94.695000000000022","1.7700000000000002","320","566.4","1.77","537","950.49","1.77","PCE","2","Lime Village","PCE revenue assumes all kWh are at residential rate"
"13","SR-107","331430","169","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","4318.2430278884458","2217.2378680278875","0.51345833333333324","14181.551020408166","7281.6355510204075","0.51345833333333324","14738.815642458099","7567.7677150837972","0.51345833333333324","PCE","12","Lower Kalskag","PCE revenue assumes all kWh are at residential rate"
"14","SR-108","332200","264","Manley Utilities","Manley Hot Springs","Manley Hot Springs_grid","Yukon-Koyukuk/Upper Tanana","2081.0513347022588","2125.6205174537995","1.0214166666666669","16322.828571428574","16672.409150000003","1.0214166666666669","5248.7356321839079","5361.1460536398481","1.0214166666666669","PCE","12","Manley Hot Springs","PCE revenue assumes all kWh are at residential rate"
"15","SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","3721.9434146341464","2233.1660487804879","0.6","27468.923076923074","16481.353846153845","0.6","6947.5488721804504","4168.5293233082702","0.6","PCE","8","Manokotak","PCE revenue assumes all kWh are at residential rate"
