"","AEA Sales Reporting ID","PCE ID","RCA CPCN","Utility Name","Reporting Name","Intertie Name","AEA Energy Region","Residential Revenue $000","Residential Sales
 MWh","Residential Customers","Residential $/kWh","Commercial Revenue $000","Commercial Sales 
MWh","Commercial Customers","Commercial $/kWh","Other Revenue $000","Other Sales 
MWh","Other Customers","Other $/kWh","Total Revenue $000","Total Sales 
MWh","Total Customers","Average Revenue $/kWh","Data Source","Number of monthly records","Communities reported","Notes"
"4","SR-1","0","1","Alaska Electric Light & Power Co.","Alaska Electric Light&Power Co","Juneau_grid","Southeast","19052.099999999999","160027","15017","0.11905553437857361","11678.5","117468","2395","9.9418565056015248E-2","14548.4","126839","121","0.11469973746245239","45279","404334","17533","0.11198415171615546","EIA861","0","Juneau, Douglas, Greens Creek (Industrial)",NA
"5","SR-10","0","227","TDX North Slope Generating Co","TDX North Slope Generating Co","Deadhorse_grid","North Slope",NA,NA,NA,NA,"10112","46930","162","0.21546984871084593","0","0","0",NA,"10112","46930","162","0.21546984871084593","EIA861","0","Deadhorse",NA
"6","SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","256.39889684999997","506.54199999999997","83","0.50617499999999993","81.324100199999975","160.66399999999999","10","0.50617499999999993","282.23305649999992","557.57999999999993","36.916666666666671","0.50617499999999993","619.95605354999987","1224.7859999999998","129.91666666666669","0.50617499999999993","PCE","12","Koyuk",NA
"7","SR-101","332140","687","Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","56.744450000000001","59.731000000000002","57.75","0.95","36.251999999999995","38.159999999999997","5","0.95","27.642150000000001","29.097000000000001","8.5","0.95","120.6386","126.988","71.25","0.95","PCE","4","Koyukuk",NA
"8","SR-102","332150","281","Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","513.18279999999993","986.89","188.33333333333334","0.51999999999999991","201.07775999999996","386.68799999999999","1","0.51999999999999991","17.654","33.950000000000003","21.333333333333332","0.51999999999999991","731.91455999999982","1407.528","210.66666666666669","0.51999999999999991","PCE","12","Kwethluk",NA
"9","SR-103","332160","376","Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","385.53542000000004","575.42600000000004","102.66666666666667","0.67","264.45771000000002","394.71300000000002","3","0.67","25.73001","38.402999999999999","18.25","0.67","675.72314000000017","1008.5420000000001","123.91666666666667","0.67","PCE","12","Kwigillingok",NA
"10","SR-104","332170","353","Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Larsen Bay","No Data"
"11","SR-105","332180","330","Levelock Electrical Coop","Levelock","Levelock_grid","Bristol Bay","86.97369999999998","102.322","39.833333333333336","0.84999999999999976","129.25694999999996","152.06700000000001","6.416666666666667","0.84999999999999976","70.91464999999998","83.429000000000002","26.583333333333332","0.84999999999999976","287.14529999999991","337.81799999999998","72.833333333333343","0.84999999999999976","PCE","12","Levelock",NA
"12","SR-106","332190","570","Lime Village Electric Utility","Lime Village","Lime Village_grid","Lower Yukon-Kuskokwim","1.1363400000000001","0.64200000000000002","12","1.7700000000000002","2.2656000000000001","1.28","4","1.77","3.8019600000000002","2.1480000000000001","4","1.77","7.2039000000000009","4.07","20","1.77","PCE","2","Lime Village",NA
"13","SR-107","331430","169","Alaska Village Electric Cooperative","Lower Kalskag","Upper Kalskag_grid","Lower Yukon-Kuskokwim","185.50890162499996","361.29300000000001","83.666666666666671","0.51345833333333324","29.733345166666663","57.908000000000001","4.083333333333333","0.51345833333333324","112.88586841666664","219.85399999999998","14.916666666666666","0.51345833333333324","328.12811520833333","639.05500000000006","102.66666666666667","0.51345833333333324","PCE","12","Lower Kalskag",NA
"14","SR-108","332200","264","TDX Manley Generating LLC","Manley Hot Springs","Manley Hot Springs_grid","Yukon-Koyukuk/Upper Tanana","172.52953200000005","168.91200000000001","81.166666666666671","1.0214166666666669","194.51144008333335","190.43299999999999","11.666666666666666","1.0214166666666669","116.60492666666669","114.16","21.75","1.0214166666666669","483.64589875000007","473.505","114.58333333333334","1.0214166666666669","PCE","12","Manley Hot Springs",NA
"15","SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","286.12439999999998","476.87400000000002","128.125","0.6","80.346599999999995","133.911","4.875","0.6","138.6036","231.006","33.25","0.6","505.07460000000003","841.79100000000005","166.25","0.6","PCE","8","Manokotak",NA
"16","SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","209.75494710909092","165.30099999999999","78.272727272727266","1.2689272727272729","559.55378374545467","440.96600000000001","10.272727272727273","1.2689272727272729","677.08436560000007","533.58799999999997","92","1.2689272727272729","1446.3930964545457","1139.855","180.54545454545456","1.2689272727272729","PCE","11","Adak",NA
"17","SR-110","331440","169","Alaska Village Electric Cooperative","Marshall","Marshall_grid","Lower Yukon-Kuskokwim","296.46371876666666","611.44399999999996","107.25","0.48485833333333334","45.902992991666672","94.673000000000002","18","0.48485833333333339","378.64138796666674","780.93200000000002","22.5","0.48485833333333339","721.00809972500008","1487.049","147.75","0.48485833333333339","PCE","12","Marshall",NA
"18","SR-111","332220","44","Mcgrath Light & Power","McGrath","McGrath_grid","Yukon-Koyukuk/Upper Tanana","409.45820660833334","525.053","187.66666666666666","0.77984166666666666","574.44774834166662","736.62099999999998","13.833333333333334","0.77984166666666666","482.54184824166668","618.76900000000001","90.166666666666657","0.77984166666666666","1466.4478031916665","1880.4429999999998","291.66666666666663","0.77984166666666666","PCE","12","McGrath",NA
"19","SR-112","331450","169","Alaska Village Electric Cooperative","Mekoryuk","Mekoryuk_grid","Lower Yukon-Kuskokwim","157.73222299999998","302.27999999999997","89.25","0.52180833333333332","55.365429591666661","106.10299999999999","12.416666666666666","0.52180833333333332","218.05483175833331","417.88299999999998","31","0.52180833333333332","431.15248434999995","826.26599999999996","132.66666666666666","0.52180833333333332","PCE","12","Mekoryuk",NA
"20","SR-113","331160","2","Alaska Power & Telephone Company","Mentasta Lake","Slana_grid","Copper River/Chugach","102.57035336666667","160.714","50","0.63821666666666665","131.06353645000002","205.35900000000001","4","0.63821666666666677","65.109587899999994","102.018","21.75","0.63821666666666665","298.74347771666669","468.09100000000001","75.75","0.63821666666666665","PCE","12","Mentasta Lake",NA
"21","SR-114","331460","169","Alaska Village Electric Cooperative","Minto","Minto_grid","Yukon-Koyukuk/Upper Tanana","157.48510469999997","328.55599999999998","75.75","0.47932499999999995","0","0","7",NA,"194.36245289999999","405.49200000000002","18.416666666666668","0.47932499999999995","351.84755759999996","734.048","101.16666666666667","0.47932499999999995","PCE","12","Minto",NA
