"AEA Energy Region","Oil","Gas","Coal","Hydro","Wind","Utility Solar","Storage","Other","Region Total"
"Aleutians","106356.58199999999","0","0","3961.1370000000002","0","0","0","0","110317.719"
"Bering Straits","52435.453999999998","0","0","0","3092.9919999999997","0","0","0","55528.445999999996"
"Bristol Bay","56018.92","0","0","3693.355","18.141999999999999","0","0","0","59730.417000000001"
"Copper River/Chugach","55212.749000000003","0","0","96491.682000000001","0","0","-85","0","151619.43100000001"
"Kodiak","1974.72","0","0","132333","25237.999999999996","0","-537","0","159008.72"
"Lower Yukon-Kuskokwim","92853.093999999997","0","0","0","7908.817","0","0","0","100761.91099999999"
"North Slope","30938.783999999996","101314.97899999999","0","0","0","0","0","0","132253.76299999998"
"Northwest Arctic","33947.578000000009","0","0","0","2883.9839999999999","665.96300000000008","0","0","37497.525000000009"
"Railbelt","482672.33500000002","3022151.9920000001","752894.45299999998","567393","102061","1577","-3433","0","4925316.78"
"Southeast","19973.041000000001","0","0","907980.83600000001","0","0","0","0","927953.87699999998"
"Yukon-Koyukuk/Upper Tanana","36550.337999999996","0","0","0","0","17.11","0","0","36567.447999999997"
