"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Customers by Certified Utilities (Accounts) by AEA Energy Regions, 2018",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,1549,580,338,2467,7.1796304542054825E-3
Bering Straits,3363,633,576,4572,1.3305743995390137E-2
Bristol Bay,3264,1150,602,5016,1.4597902861084191E-2
Copper River/Chugach,4262,1562,152,5976,1.7391759867990256E-2
Kodiak,5067,1129,172,6368,1.85325848124769E-2
Lower Yukon-Kuskokwim,6956,1572,973,9501,2.7650453565223464E-2
North Slope,2290,1100,42,3432,9.9880387996891841E-3
Northwest Arctic,2083,267,313,2663,7.7500429264488043E-3
Railbelt,221767,32884,559,255210,0.74272942367968431
Southeast,33437,9234,829,43500,0.12659664562543108
Yukon-Koyukuk/Upper Tanana,3475,760,671,4906,1.4277773412376205E-2
Total,287513,50871,5227,343611,1
Percent of Total,0.83673980169435791,0.14804822895658171,1.521196934906042E-2,1,NA
