"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Certified Utilities Net Generation, Fuel Use, Fuel Cost, and Efficiency, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuel Types: AB=Agricultural By-Products, DFO=Distillate Fuel Oil, JF=Jet Fuel, NG=Natural Gas, OTH=Other, RFO=Residual Fuel Oil, SUB=Sub-bituminous Coal, WAT=Water at a Conventional Hydroelectric Turbine, WC=Waste Coal, WDS=Wood Solids, WND=Wind, WO=Waste/Other Oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prime Movers: CA=Combined Cycle, steam part, CT=Combined Cycle=turbine part, GT=Gas Turbine, HY=Hydroelectric Turbine, IC=Internal Combustion Engine, ST=Steam Turbine, WT=Wind Turbine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant ID,PCE ID,Utility Name,Plant Name,Community Name,Intertie Name,Energy Region,Fuel Type,Prime Mover,Net Generation MWh,Fuel Use,Fuel Unit,Estimated Fuel Consumption MMBtu,Avg. Cost ($) per Gallon (PCE only),kWh per Gallon-Mcf-Short tons,Fuel Cost ($) per kWh,"Estimated Heat Content Factor per Unit, MMBtu",Source,Number of monthly records,Communities connected to plant,Notes
P251,331005,TDX Adak Generating LLC,Adak,Adak,Adak_grid,Aleutians,DFO,IC,2071.4260000000004,162946,Gallons,22486.5,4.0172416666666679,12.712346421513878,0.31601102844932272,0.13799970542388276,PCE,12,Adak,NA
P2,331010,"Akhiok, City of",Akhiok,Akhiok,Akhiok_grid,Kodiak,DFO,IC,275.529,28443,Gallons,3925.1000000000004,3.6043499999999997,9.6870583271806776,0.37207889931731319,0.13799880462679748,PCE,12,Akhiok,NA
P3,331020,Akiachak Native Community,Akiachak,Akiachak,Akiachak_grid,Lower Yukon-Kuskokwim,DFO,IC,1919.9660000000001,136836,Gallons,18883.400000000001,3.0911666666666666,14.031146774240698,0.22030748565339175,0.13800023385658747,PCE,12,Akiachak,NA
P4,331030,Akiak City Council,Akiak,Akiak,Akiak_grid,Lower Yukon-Kuskokwim,DFO,IC,1202.145,93696,Gallons,12930.1,3.3938999999999999,12.830270235655737,0.26452287735672486,0.13800055498633881,PCE,12,Akiak,NA
P5,331040,"Akutan, City of",Akutan,Akutan,Akutan_grid,Aleutians,DFO,IC,538.79600000000005,44402,Gallons,6127.4,2.4915333333333325,12.134498446015945,0.2053264372168068,0.13799828836538894,PCE,12,Akutan,NA
P5,331040,"Akutan, City of",Akutan,Akutan,Akutan_grid,Aleutians,WAT,HY,102.20099999999999,NA,NA,NA,NA,NA,0,NA,PCE,12,Akutan,NA
P45,331240,Alaska Village Electric Cooperative,Alakanuk,Alakanuk,Emmonak_grid,Lower Yukon-Kuskokwim,JF,IC,0,1092,Gallons,146,NA,NA,NA,0.1336996336996337,EIA923,12,Emmonak,NA
P30,331050,Alaska Power & Telephone Company,Allakaket,Allakaket,Allakaket_grid,Yukon-Koyukuk/Upper Tanana,DFO,IC,593.71199999999999,49477,Gallons,6828,4.5125000000000002,11.999757463063645,0.37604926715309783,0.13800351678557712,PCE,12,"Allakaket, Alatna",NA
P46,331250,Alaska Village Electric Cooperative,Ambler,Ambler,Ambler_grid,Northwest Arctic,DFO,IC,1234.8069999999998,91297,Gallons,12599.1,3.1609750000000005,13.525165120431119,0.23371064026604974,0.13800124867191693,PCE,12,Ambler,NA
P216,332350,North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,Anaktuvuk Pass_grid,North Slope,DFO,IC,4033,299612,Gallons,41346.499999999993,3.1174250000000003,13.460742560378089,0.23159383563104391,0.13800014685660117,PCE,12,Anaktuvuk Pass,NA
P101,NA,Anchorage Municipal Light and Power,Anchorage 1,Anchorage,Railbelt_grid,Railbelt,DFO,IC,5,714,Gallons,98.5,NA,7.0028011204481793,NA,0.13795518207282914,EIA923,24,Includes ML&P's sevice territory,NA
P101,NA,Anchorage Municipal Light and Power,Anchorage 1,Anchorage,Railbelt_grid,Railbelt,DFO,GT,74.950999999999979,7518,Gallons,1037.0000000000002,NA,9.9695397712157465,NA,0.13793562117584468,EIA923,24,Includes ML&P's sevice territory,NA
P101,NA,Anchorage Municipal Light and Power,Anchorage 1,Anchorage,Railbelt_grid,Railbelt,NG,GT,28857.048999999999,386419,MCF,386419,NA,74.678131768883006,NA,1,EIA923,24,Includes ML&P's sevice territory,NA
P102,NA,Anchorage Municipal Light and Power,Eklutna Hydro Project,Anchorage,Railbelt_grid,Railbelt,WAT,HY,168115,NA,NA,NA,NA,NA,0,NA,EIA923,12,Includes ML&P's sevice territory,NA
P103,NA,Anchorage Municipal Light and Power,George M Sullivan Generation Plant 2,Anchorage,Railbelt_grid,Railbelt,DFO,CT,30.719000000000001,2478,Gallons,341.90000000000003,NA,12.396690879741728,NA,0.13797417271993545,EIA923,24,Includes ML&P's sevice territory,NA
