"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
"Net Generation by Fuel Type by Certified Utilities (MWh) by AEA Energy Regions, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Other,Region Total
Aleutians,107262.95199999999,0,0,4191.2629999999999,1560.9440000000002,0,0,2789.7709999999997,115804.93
Bering Straits,49518.225073508846,0,0,0,3820.7759999999998,0,0,0,53339.001073508844
Bristol Bay,56332.703435302174,0,0,4100.5560000000005,0,0,0,0,60433.25943530217
Copper River/Chugach,37028.723000000005,0,0,83602,0,0,0,0,120630.723
Kodiak,1809.1869999999999,0,0,123168.40700000001,26170,0,-582,0,150565.59400000001
Lower Yukon-Kuskokwim,94271.878193201774,0,0,0,5011.16,0,0,0,99283.038193201777
North Slope,29864.082000000002,114633.351,0,0,0,0,0,0,144497.43299999999
Northwest Arctic,29689.099000000002,0,0,0,4530.04,11.498999999999999,-90,0,34140.638000000006
Railbelt,384703.20199999999,2875952.8429999999,628564.07400000002,632426,121841,0,-2427.7709999999997,0,4641059.3480000002
Southeast,45818.088999999993,0,0,823069.32400000002,0,0,0,0,868887.41300000006
Yukon-Koyukuk/Upper Tanana,35484.422902326303,0,0,0,0,24.387000000000004,0,0,35508.809902326306
Total,871782.56360433914,2990586.1939999997,628564.07400000002,1670557.55,162933.92000000001,35.886000000000003,-3099.7709999999997,2789.7709999999997,6324150.1876043389
Percent of Total,0.13784976151905337,0.47288350427730613,9.9391076763574462E-2,0.26415527160723301,2.576376605022148E-2,5.6744384992286941E-6,-4.901482444739627E-4,4.4112979898656101E-4,1
