"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Revenue by Certified Utilities ($000) by AEA Energy Regions, 2018",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,3229.0061420138891,19858.88178648334,3804.389933988889,26892.277862486117,2.3094202077222518E-2
Bering Straits,7055.2121465583314,4952.557785691668,8570.3512589166658,20578.121191166665,1.7671812391218678E-2
Bristol Bay,6797.2691400583335,14623.04808843333,5373.4881656750013,26793.805394166666,2.3009637166282612E-2
Copper River/Chugach,6603.838105341667,22311.523729224999,1885.2386090416667,30800.600443608331,2.6450540723318303E-2
Kodiak,6641.1823891333333,4012.4068229333334,13272.368975891666,23925.958187958335,2.0546824486544431E-2
Lower Yukon-Kuskokwim,16161.048019589285,11275.439240558335,16093.320995023809,43529.808255171432,3.7381964940575774E-2
North Slope,2894.1771488333334,21566.835294749999,305.65193340000002,24766.664376983332,2.1268795258830658E-2
Northwest Arctic,5769.3698917340917,4705.8689594704538,4472.9248493795458,14948.163700584091,1.2836990415983195E-2
Railbelt,322889.10000000003,325757.40000000002,170744.30000000002,819390.8,0.70366581857367538
Southeast,47624.039795608347,40358.31886024167,25567.716408408338,113550.07506425836,9.7513062776874757E-2
Yukon-Koyukuk/Upper Tanana,7018.0606605962112,6454.2232052651507,5811.5850549409088,19283.86892080227,1.6560351189473674E-2
Total,432682.30343946686,475876.50377305225,255901.33618466652,1164460.1433971857,1
Percent of Total,0.37157330449899584,0.40866706041542505,0.219759635085579,1,NA
