"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
P21,NA,Alaska Power & Telephone Company,False Island,Thorne Bay,Prince of Wales Is._grid,Southeast,1300,NA,1300,NA,NA,NA,NA,NA,EIA-F860,NA
P16,NA,Alaska Power & Telephone Company,Goat Lake Hydro,Haines,UpperLynnCanal_grid,Southeast,4000,NA,NA,4000,NA,NA,NA,NA,EIA-F860,NA
P8,NA,Alaska Electric Light & Power Company,Gold Creek,Juneau,Juneau_grid,Southeast,9700,NA,8100,1600,NA,NA,NA,NA,EIA-F860,NA
P241,NA,"Sitka, City & Borough of",Green Lake,Sitka,Sitka_grid,Southeast,18600,NA,NA,18600,NA,NA,NA,NA,EIA-F860,NA
P35,332010,Alaska Power & Telephone Company,Gustavus,Gustavus,Gustavus_grid,Southeast,1642,NA,842,800,NA,NA,NA,NA,AEA,NA
P22,331120,Alaska Power & Telephone Company,Haines,Haines,UpperLynnCanal_grid,Southeast,6199.9999999999991,NA,6199.9999999999991,NA,NA,NA,NA,NA,AEA,NA
P37,331140,Alaska Power & Telephone Company,Hollis,Hollis,Prince of Wales Is._grid,Southeast,450,NA,450,NA,NA,NA,NA,NA,AEA,NA
P164,332670,Inside Passage Electric,Hoonah,Hoonah,Hoonah_grid,Southeast,3500,NA,3050,450,NA,NA,NA,NA,EIA-F860,NA
P23,331150,Alaska Power & Telephone Company,Hydaburg,Hydaburg,Prince of Wales Is._grid,Southeast,1000,NA,1000,NA,NA,NA,NA,NA,EIA-F860,NA
P9,NA,Alaska Electric Light & Power Company,Industrial Plant,Juneau,Juneau_grid,Southeast,41700,41700,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P242,NA,"Sitka, City & Borough of",Jarvis Street,Sitka,Sitka_grid,Southeast,25600,NA,25600,NA,NA,NA,NA,NA,EIA-F860,NA
P165,332680,Inside Passage Electric,Kake,Kake,Kake_grid,Southeast,4400,NA,3900,500,NA,NA,NA,NA,EIA-F860,NA
P17,NA,Alaska Power & Telephone Company,Kasidaya Creek Hydro,Haines,UpperLynnCanal_grid,Southeast,3000,NA,NA,3000,NA,NA,NA,NA,EIA-F860,NA
P172,NA,Ketchikan Public Utilities,Ketchikan,Ketchikan,SEAPA_grid,Southeast,4199.9999999999991,NA,NA,4199.9999999999991,NA,NA,NA,NA,EIA-F860,NA
P24,NA,Alaska Power & Telephone Company,Klawock Power Generation Station,Klawock,Prince of Wales Is._grid,Southeast,2500,NA,2500,NA,NA,NA,NA,NA,EIA-F860,NA
P10,NA,Alaska Electric Light & Power Company,Lake Dorothy Hydroelectric Project,Juneau,Juneau_grid,Southeast,14300,NA,NA,14300,NA,NA,NA,NA,EIA-F860,NA
P11,NA,Alaska Electric Light & Power Company,Lemon Creek,Juneau,Juneau_grid,Southeast,61700,37200,24500.000000000004,NA,NA,NA,NA,NA,EIA-F860,NA
P42,NA,Alaska Power & Telephone Company,Lutak,Haines,UpperLynnCanal_grid,Southeast,285,NA,NA,285,NA,NA,NA,NA,AEA,NA
P228,332460,Pelican Utility,Pelican,Pelican,Pelican_grid,Southeast,1621,NA,921,700,NA,NA,NA,NA,EIA-F860,NA
P201,NA,Metlakatla Power & Light,Purple Lake,Metlakatla,Metlakatla_grid,Southeast,3900.0000000000005,NA,NA,3900.0000000000005,NA,NA,NA,NA,EIA-F860,NA
P173,NA,Ketchikan Public Utilities,S W Bailey,Ketchikan,SEAPA_grid,Southeast,25900,NA,25900,NA,NA,NA,NA,NA,EIA-F860,NA
P12,NA,Alaska Electric Light & Power Company,Salmon Creek 1,Juneau,Juneau_grid,Southeast,8500,NA,NA,8500,NA,NA,NA,NA,EIA-F860,NA
P174,NA,Ketchikan Public Utilities,Silvis,Ketchikan,SEAPA_grid,Southeast,2100,NA,NA,2100,NA,NA,NA,NA,EIA-F860,NA
P26,331190,Alaska Power & Telephone Company,Skagway,Haines,UpperLynnCanal_grid,Southeast,4400,NA,3400.0000000000005,1000,NA,NA,NA,NA,EIA-F860,NA
P13,NA,Alaska Electric Light & Power Company,Snettisham,Juneau,Juneau_grid,Southeast,78200,NA,NA,78200,NA,NA,NA,NA,EIA-F860,NA
P18,NA,Alaska Power & Telephone Company,South Fork,Craig,Prince of Wales Is._grid,Southeast,2000,NA,NA,2000,NA,NA,NA,NA,EIA-F860,NA
P175,NA,Ketchikan Public Utilities,Swan Lake,Ketchikan,SEAPA_grid,Southeast,22600,NA,NA,22600,NA,NA,NA,NA,EIA-F860,NA
P256,332630,"Tenakee Springs, City of",Tenakee Springs,Tenakee Springs,Tenakee Springs_grid,Southeast,420,NA,240,180,NA,NA,NA,NA,AEA,NA
P28,331210,Alaska Power & Telephone Company,Thorne Bay Plant,Thorne Bay,Prince of Wales Is._grid,Southeast,1075,NA,1075,NA,NA,NA,NA,NA,EIA-F860,NA
P244,NA,Southeast Alaska Power Agency,Tyee Lake Hydroelectric Facility,Ketchikan,SEAPA_grid,Southeast,22500,NA,NA,22500,NA,NA,NA,NA,EIA-F860,NA
P19,NA,Alaska Power & Telephone Company,Viking,Craig,Prince of Wales Is._grid,Southeast,1000,NA,1000,NA,NA,NA,NA,NA,EIA-F860,NA
P40,331230,Alaska Power & Telephone Company,Whale Pass,Whale Pass,Whale_Pass_grid,Southeast,250,NA,250,NA,NA,NA,NA,NA,AEA,NA
P176,NA,Ketchikan Public Utilities,Whitman,Ketchikan,SEAPA_grid,Southeast,4800,NA,NA,4800,NA,NA,NA,NA,EIA-F860,NA
P273,NA,"Wrangell, City of",Wrangell,Wrangell,SEAPA_grid,Southeast,8500,NA,8500,NA,NA,NA,NA,NA,EIA-F860,NA
P78,332900,Alaska Village Electric Cooperative,Yakutat,Yakutat,Yakutat_grid,Southeast,4160,NA,4160,NA,NA,NA,NA,NA,EIA-F860,NA
P1,NA,Agrium US Inc,Agrium Kenai Nitrogen Operations,Kenai,Railbelt_grid,Railbelt,12500,12500,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P101,NA,Anchorage Municipal Light & Power,Anchorage 1,Anchorage,Railbelt_grid,Railbelt,77900,75900,2000,NA,NA,NA,NA,NA,EIA-F860,NA
P109,NA,Aurora Energy LLC Chena,Aurora Energy,Fairbanks,Railbelt_grid,Railbelt,27500,27500,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P146,NA,Golden Valley Elec Assn Inc,Battery Energy Storage System,Fairbanks,Railbelt_grid,Railbelt,40000,NA,NA,NA,NA,NA,40000,NA,EIA-F860,NA
P120,NA,Chugach Electric Assn Inc,Beluga,Anchorage,Railbelt_grid,Railbelt,312400,312400,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P155,NA,Homer Electric Assn Inc,Bernice Lake,Anchorage,Railbelt_grid,Railbelt,76700,76700,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P156,NA,Homer Electric Assn Inc,Bradley Lake,Kalifornsky,Railbelt_grid,Railbelt,126000,NA,NA,126000,NA,NA,NA,NA,AEA,NA
P293,NA,Chugach Electric Assn Inc,Chugach Storage,Anchorage,Railbelt_grid,Railbelt,3000,NA,NA,NA,NA,NA,2000,1000,EIA-F860,NA
P121,NA,Chugach Electric Assn Inc,Cooper Lake,Anchorage,Railbelt_grid,Railbelt,19400,NA,NA,19400,NA,NA,NA,NA,EIA-F860,NA
P147,NA,Golden Valley Elec Assn Inc,Delta Power,Fairbanks,Railbelt_grid,Railbelt,23100,23100,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P14,NA,Alaska Environmental Power LLC,Delta Wind Farm,Fairbanks,Railbelt_grid,Railbelt,1900.0000000000002,NA,NA,NA,1900.0000000000002,NA,NA,NA,EIA-F860,NA
P268,NA,US Air Force Eielson AFB,Eielson AFB Central Heat & Power Plant,Eielson AFB,Railbelt_grid,Railbelt,33500,25000,8500,NA,NA,NA,NA,NA,EIA-F860,NA
P197,NA,Matanuska Electric Association,Eklutna Generation Station,Wasilla,Railbelt_grid,Railbelt,170999.99999999997,NA,170999.99999999997,NA,NA,NA,NA,NA,EIA-F860,NA
P102,NA,Anchorage Municipal Light & Power,Eklutna Hydro Project,Anchorage,Railbelt_grid,Railbelt,44400,NA,NA,44400,NA,NA,NA,NA,EIA-F860,NA
P148,NA,Golden Valley Elec Assn Inc,Eva Creek Wind,Fairbanks,Railbelt_grid,Railbelt,24600,NA,NA,NA,24600,NA,NA,NA,EIA-F860,NA
P149,NA,Golden Valley Elec Assn Inc,Fairbanks,Fairbanks,Railbelt_grid,Railbelt,42200,36800,5400,NA,NA,NA,NA,NA,EIA-F860,NA
P142,NA,Fire Island Wind LLC,Fire Island Wind,Anchorage,Railbelt_grid,Railbelt,18000,NA,NA,NA,18000,NA,NA,NA,EIA-F860,NA
P136,NA,Doyon Utilities Fort Greely,Fort Greely Power Plant,Fort Greely,Railbelt_grid,Railbelt,7400,NA,7400,NA,NA,NA,NA,NA,EIA-F860,NA
P137,NA,Doyon Utilities Fort Wainwright,Fort Wainwright,Fort Wainwright,Railbelt_grid,Railbelt,20000,20000,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P103,NA,Anchorage Municipal Light & Power,George M Sullivan Generation Plant 2,Anchorage,Railbelt_grid,Railbelt,346900,346900,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P152,NA,Golden Valley Elec Assn Inc,GVEA Solar Farm,Fairbanks,Railbelt_grid,Railbelt,563,NA,NA,NA,NA,563,NA,NA,EIA-F860,NA
P150,NA,Golden Valley Elec Assn Inc,Healy,Fairbanks,Railbelt_grid,Railbelt,92800,90000,2800,NA,NA,NA,NA,NA,EIA-F860,NA
P122,NA,Chugach Electric Assn Inc,International,Anchorage,Railbelt_grid,Railbelt,30000,30000,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P138,NA,Doyon Utilities LLC,JBER Landfill Gas Power Plant,JBER,Railbelt_grid,Railbelt,11500,NA,11500,NA,NA,NA,NA,NA,EIA-F860,NA
P275,NA,"Seward, City of",Marathon Hydro,Seward,Railbelt_grid,Railbelt,160,NA,NA,160,NA,NA,NA,NA,AEA,NA
P276,NA,Enerdyne,McRoberts Creek,Wasilla,Railbelt_grid,Railbelt,125,NA,NA,125,NA,NA,NA,NA,AEA,NA
P157,NA,Homer Electric Assn Inc,Nikiski Co-Generation,Kalifornsky,Railbelt_grid,Railbelt,80800,80800,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P151,NA,Golden Valley Elec Assn Inc,North Pole,Fairbanks,Railbelt_grid,Railbelt,181000,181000,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P158,NA,Homer Electric Assn Inc,Seldovia,Kalifornsky,Railbelt_grid,Railbelt,2200,NA,2200,NA,NA,NA,NA,NA,EIA-F860,NA
P239,NA,"Seward, City of",Seward,Seward,Railbelt_grid,Railbelt,15600.000000000002,NA,15600.000000000002,NA,NA,NA,NA,NA,EIA-F860,NA
P159,NA,Alaska Electric G & T Coop Inc,Soldotna,Sodotna,Railbelt_grid,Railbelt,50000,50000,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P243,NA,"South Fork Hydro, LLC",South Fork Hydro (Eagle River),Eagle River,Railbelt_grid,Railbelt,1200,NA,NA,1200,NA,NA,NA,NA,AEA,NA
P123,NA,Chugach Electric Assn Inc,Southcentral Power Project,Anchorage,Railbelt_grid,Railbelt,203899.99999999997,203899.99999999997,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P257,NA,Tesoro Alaska Company,Tesoro Alaska Company,Soldotna,Railbelt_grid,Railbelt,8600,8600,NA,NA,NA,NA,NA,NA,EIA-F860,NA
P267,NA,University of Alaska,University of Alaska Fairbanks,Fairbanks,Railbelt_grid,Railbelt,22600,13000,9600,NA,NA,NA,NA,NA,EIA-F860,NA
P235,NA,Renewable IPP,Willow Solar,Wasilla,Railbelt_grid,Railbelt,1340,NA,NA,NA,NA,1340,NA,NA,EIA-F860,NA
P46,331250,Alaska Village Electric Cooperative,Ambler,Ambler,Ambler_grid,Northwest Arctic,1031.0000000000002,NA,1031.0000000000002,NA,NA,NA,NA,NA,AEA,NA
P113,331820,"Buckland, City of",Buckland,Buckland,Buckland_grid,Northwest Arctic,1372,NA,1127,NA,200,45,NA,NA,AEA,NA
P169,332060,Ipnatchiaq Electric Company,Deering,Deering,Deering_grid,Northwest Arctic,677.00000000000011,NA,577.00000000000011,NA,100,NA,NA,NA,AEA,NA
P169,332060,Ipnatchiaq Electric Company,Deering,Deering,Deering_grid,Northwest Arctic,90,NA,NA,NA,NA,90,NA,NA,AEA,NA
P55,331400,Alaska Village Electric Cooperative,Kiana,Kiana,Kiana_grid,Northwest Arctic,1173,NA,1173,NA,NA,NA,NA,NA,EIA-F860,NA
P56,331410,Alaska Village Electric Cooperative,Kivalina,Kivalina,Kivalina_grid,Northwest Arctic,1179,NA,1179,NA,NA,NA,NA,NA,EIA-F860,NA
P179,332090,Kobuk Valley Electric Company,Kobuk,Kobuk,Shungnak_grid,Northwest Arctic,171,NA,171,NA,NA,NA,NA,NA,AEA,NA
P189,332130,Kotzebue Electric Association,Kotzebue,Kotzebue,Kotzebue_grid,Northwest Arctic,17841,NA,12111,NA,4530,NA,1200,NA,EIA-F860,NA
P62,331500,Alaska Village Electric Cooperative,Noatak,Noatak,Noatak_grid,Northwest Arctic,1300,NA,1300,NA,NA,NA,NA,NA,EIA-F860,NA
P63,331510,Alaska Village Electric Cooperative,Noorvik,Noorvik,Noorvik_grid,Northwest Arctic,1592,NA,1572,NA,NA,20,NA,NA,EIA-F860,NA
P70,331610,Alaska Village Electric Cooperative,Selawik,Selawik,Selawik_grid,Northwest Arctic,260,NA,1700,NA,260,NA,NA,NA,EIA-F860,NA
P72,331650,Alaska Village Electric Cooperative,Shungnak,Shungnak,Shungnak_grid,Northwest Arctic,1258,NA,1258,NA,NA,NA,NA,NA,EIA-F860,NA
P216,332350,North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,Anaktuvuk Pass_grid,North Slope,2795.0000000000005,NA,2795.0000000000005,NA,NA,NA,NA,NA,EIA-F860,NA
P217,332360,North Slope Borough Power & Light,Atqasuk,Atqasuk,Atqasuk_grid,North Slope,3200,NA,3200,NA,NA,NA,NA,NA,EIA-F860,NA
P110,NA,Barrow Utilities & Electric Cooperative Inc.,Barrow,Barrow,Utqiagvik_grid,North Slope,20300,17300,3000,NA,NA,NA,NA,NA,EIA-F860,NA
P218,332370,North Slope Borough Power & Light,Kaktovik,Kaktovik,Kaktovik_grid,North Slope,2720,NA,2720,NA,NA,NA,NA,NA,EIA-F860,NA
P219,332380,North Slope Borough Power & Light,Nuiqsut,Nuiqsut,Nuiqsut_grid,North Slope,4510,NA,4510,NA,NA,NA,NA,NA,EIA-F860,NA
P220,332390,North Slope Borough Power & Light,Point Hope,Point Hope,Point Hope_grid,North Slope,3290,NA,3290,NA,NA,NA,NA,NA,EIA-F860,NA
P221,332400,North Slope Borough Power & Light,Point Lay,Point Lay,Point Lay_grid,North Slope,2200,NA,2200,NA,NA,NA,NA,NA,EIA-F860,NA
P254,NA,TDX North Slope Generating Company,TNSG North Plant,Deadhorse,Deadhorse_grid,North Slope,25700,25400,300,NA,NA,NA,NA,NA,EIA-F860,NA
P255,NA,TDX North Slope Generating Company,TNSG South Plant,Deadhorse,Deadhorse_grid,North Slope,7800.0000000000009,NA,7800.0000000000009,NA,NA,NA,NA,NA,EIA-F860,NA
P222,332410,North Slope Borough Power & Light,Wainwright,Wainwright,Wainwright_grid,North Slope,3110.0000000000005,NA,3110.0000000000005,NA,NA,NA,NA,NA,EIA-F860,NA
P3,331020,Akiachak Native Community,Akiachak,Akiachak,Akiachak_grid,Lower Yukon-Kuskokwim,1500,NA,1500,NA,NA,NA,NA,NA,AEA,NA
P4,331030,Akiak City Council,Akiak,Akiak,Akiak_grid,Lower Yukon-Kuskokwim,920,NA,920,NA,NA,NA,NA,NA,AEA,NA
P45,331240,Alaska Village Electric Cooperative,Alakanuk,Alakanuk,Alakanuk_grid,Lower Yukon-Kuskokwim,800,NA,800,NA,NA,NA,NA,NA,EIA-F860,NA
P105,331760,Aniak Light & Power,Aniak,Aniak,Aniak_grid,Lower Yukon-Kuskokwim,1700.0000000000002,NA,1700.0000000000002,NA,NA,NA,NA,NA,EIA-F860,NA
P108,331780,Atmautluak Tribal Utilities,Atmautluak,Atmautluak,Atmautluak_grid,Lower Yukon-Kuskokwim,1104,NA,1104,NA,NA,NA,NA,NA,AEA,NA
P47,331800,Alaska Village Electric Cooperative,Bethel,Bethel,Bethel_grid,Lower Yukon-Kuskokwim,13650,NA,12750,NA,900,NA,NA,NA,EIA-F860,NA
P210,332310,Naterkaq Light Plant (City of Chefornak),Chefornak,Chefornak,Chefornak_grid,Lower Yukon-Kuskokwim,1206,NA,921,NA,285.00000000000006,NA,NA,NA,AEA,NA
P49,331280,Alaska Village Electric Cooperative,Chevak,Chevak,Chevak_grid,Lower Yukon-Kuskokwim,2228,NA,1828,NA,400,NA,NA,NA,AEA,NA
P202,332230,Middle Kuskokwim Electric,Chuathbaluk,Chuathbaluk,Chuathbaluk_grid,Lower Yukon-Kuskokwim,167,NA,167,NA,NA,NA,NA,NA,AEA,NA
P203,332240,Middle Kuskokwim Electric,Crooked Creek,Crooked Creek,Crooked Creek_grid,Lower Yukon-Kuskokwim,259,NA,259,NA,NA,NA,NA,NA,AEA,NA
P80,331290,Alaska Village Electric Cooperative,Eek,Eek,Eek_grid,Lower Yukon-Kuskokwim,579.00000000000011,NA,579.00000000000011,NA,NA,NA,NA,NA,AEA,NA
P51,331310,Alaska Village Electric Cooperative,Emmonak,Emmonak,Emmonak_grid,Lower Yukon-Kuskokwim,3623,NA,3223,NA,400,NA,NA,NA,EIA-F860,NA
P82,331330,Alaska Village Electric Cooperative,Goodnews Bay,Goodnews Bay,Goodnews Bay_grid,Lower Yukon-Kuskokwim,661,NA,661,NA,NA,NA,NA,NA,AEA,NA
P53,331360,Alaska Village Electric Cooperative,Hooper Bay,Hooper Bay,Hooper Bay_grid,Lower Yukon-Kuskokwim,2729.0000000000005,NA,2429.0000000000005,NA,300,NA,NA,NA,EIA-F860,NA
P54,331390,Alaska Village Electric Cooperative,Kasigluk,Kasigluk,Kasigluk_grid,Lower Yukon-Kuskokwim,2315,NA,2015.0000000000002,NA,300,NA,NA,NA,EIA-F860,NA
P178,332080,Kipnuk Light Plant,Kipnuk,Kipnuk,Kipnuk_grid,Lower Yukon-Kuskokwim,1050,NA,1050,NA,NA,NA,NA,NA,EIA-F860,NA
P233,332510,Puvurnaq Power Company,Kongiganak,Kongiganak,Kongiganak_grid,Lower Yukon-Kuskokwim,1315.0000000000002,NA,840.00000000000011,NA,475.00000000000006,NA,NA,NA,AEA,NA
P57,332120,Alaska Village Electric Cooperative,Kotlik,Kotlik,Kotlik_grid,Lower Yukon-Kuskokwim,1698,NA,1698,NA,NA,NA,NA,NA,EIA-F860,NA
