"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17
"Certified Utilities Installed Capacity by Prime Mover by Plant (kW), 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant ID,PCE ID,Utility Name,Plant Name,Community Name,Intertie,AEA Energy Region,Total Capacity,Fossil Fuel Turbines,Internal Combustion,Hydroelectric,Wind Turbine,Solar PV,Batteries,Flywheels,Source,Notes
P30,331050,Alaska Power & Telephone Company,Allakaket/Alatna,Allakaket,Allakaket_grid,Yukon-Koyukuk/Upper Tanana,525,NA,525,NA,NA,NA,NA,NA,AEA,NA
P79,331260,Alaska Village Electric Cooperative,Anvik,Anvik,Anvik_grid,Yukon-Koyukuk/Upper Tanana,503,NA,503,NA,NA,NA,NA,NA,AEA,NA
P106,331770,Arctic Village Electric Company,Arctic Village,Arctic Village,Arctic Village_grid,Yukon-Koyukuk/Upper Tanana,395,NA,395,NA,NA,NA,NA,NA,AEA,NA
P111,331790,Beaver Joint Utilities,Beaver,Beaver,Beaver_grid,Yukon-Koyukuk/Upper Tanana,492,NA,492,NA,NA,NA,NA,NA,AEA,NA
P31,331060,Alaska Power & Telephone Company,Bettles,Bettles,Bettles_grid,Yukon-Koyukuk/Upper Tanana,600,NA,600,NA,NA,NA,NA,NA,AEA,NA
P112,331810,Birch Creek Electric Company,Birch Creek,Birch Creek,Birch Creek_grid,Yukon-Koyukuk/Upper Tanana,28,NA,28,NA,NA,NA,NA,NA,AEA,NA
P145,331830,Gold Country Energy,Central,Central,Central_grid,Yukon-Koyukuk/Upper Tanana,345,NA,345,NA,NA,NA,NA,NA,AEA,NA
P114,331840,Chalkyitsik Village Council,Chalkyitsik,Chalkyitsik,Chalkyitsik_grid,Yukon-Koyukuk/Upper Tanana,327,NA,327,NA,NA,NA,NA,NA,AEA,NA
P124,331900,Circle Electric Utility,Circle,Circle,Circle_grid,Yukon-Koyukuk/Upper Tanana,270,NA,270,NA,NA,NA,NA,NA,AEA,NA
P34,331110,Alaska Power & Telephone Company,Eagle,Eagle,Eagle_grid,Yukon-Koyukuk/Upper Tanana,474,NA,450,NA,NA,24,NA,NA,AEA,NA
P154,332020,Gwitchyaa Zhee Utilities Company,Fort Yukon,Fort Yukon,Fort Yukon_grid,Yukon-Koyukuk/Upper Tanana,3400,NA,3400,NA,NA,NA,NA,NA,EIA-F860,NA
P144,331990,"Galena, City of",Galena,Galena,Galena_grid,Yukon-Koyukuk/Upper Tanana,3600,NA,3600,NA,NA,NA,NA,NA,EIA-F860,NA
P83,331340,Alaska Village Electric Cooperative,Grayling,Grayling,Grayling_grid,Yukon-Koyukuk/Upper Tanana,607,NA,607,NA,NA,NA,NA,NA,AEA,NA
P36,331130,Alaska Power & Telephone Company,Healy Lake,Healy Lake,Healy Lake_grid,Yukon-Koyukuk/Upper Tanana,83,NA,83,NA,NA,NA,NA,NA,AEA,NA
P84,331350,Alaska Village Electric Cooperative,Holy Cross,Holy Cross,Holy Cross_grid,Yukon-Koyukuk/Upper Tanana,693.00000000000011,NA,693.00000000000011,NA,NA,NA,NA,NA,AEA,NA
P160,332030,Hughes Power & Light,Hughes,Hughes,Hughes_grid,Yukon-Koyukuk/Upper Tanana,485,NA,365,NA,NA,120,NA,NA,AEA,NA
P85,331370,Alaska Village Electric Cooperative,Huslia,Huslia,Huslia_grid,Yukon-Koyukuk/Upper Tanana,800,NA,800,NA,NA,NA,NA,NA,AEA,NA
P86,331380,Alaska Village Electric Cooperative,Kaltag,Kaltag,Kaltag_grid,Yukon-Koyukuk/Upper Tanana,844.6,NA,835,NA,NA,9.6,NA,NA,AEA,NA
P190,332140,"Koyukuk, City of",Koyukuk,Koyukuk,Koyukuk_grid,Yukon-Koyukuk/Upper Tanana,202,NA,202,NA,NA,NA,NA,NA,AEA,NA
P253,332200,Manley Utility Co Inc,Manley Hot Springs,Manley Hot Springs,Manley Hot Springs_grid,Yukon-Koyukuk/Upper Tanana,236.00000000000003,NA,236.00000000000003,NA,NA,NA,NA,NA,AEA,NA
P198,332220,Mcgrath Light & Power,McGrath,McGrath,McGrath_grid,Yukon-Koyukuk/Upper Tanana,2200,NA,2200,NA,NA,NA,NA,NA,EIA-F860,NA
P88,331460,Alaska Village Electric Cooperative,Minto,Minto,Minto_grid,Yukon-Koyukuk/Upper Tanana,647,NA,647,NA,NA,NA,NA,NA,AEA,NA
P214,332330,"Nikolai, City of",Nikolai,Nikolai,Nikolai_grid,Yukon-Koyukuk/Upper Tanana,300.00000000000006,NA,300.00000000000006,NA,NA,NA,NA,NA,AEA,NA
P25,331180,Alaska Power & Telephone Company,Northway,Northway Village,Northway_grid,Yukon-Koyukuk/Upper Tanana,1030,NA,1030,NA,NA,NA,NA,NA,EIA-F860,NA
P234,332520,Rampart Village Council,Rampart,Rampart,Rampart_grid,Yukon-Koyukuk/Upper Tanana,187,NA,187,NA,NA,NA,NA,NA,AEA,NA
P236,332530,"Ruby, City of",Ruby,Ruby,Ruby_grid,Yukon-Koyukuk/Upper Tanana,464,NA,464,NA,NA,NA,NA,NA,AEA,NA
P94,331620,Alaska Village Electric Cooperative,Shageluk,Shageluk,Shageluk_grid,Yukon-Koyukuk/Upper Tanana,410.00000000000006,NA,410.00000000000006,NA,NA,NA,NA,NA,AEA,NA
P246,332570,Stevens Village Ira Council,Stevens Village,Stevens Village,Stevens Village_grid,Yukon-Koyukuk/Upper Tanana,417,NA,417,NA,NA,NA,NA,NA,AEA,NA
P247,332580,Takotna Community Assoc Inc,Takotna,Takotna,Takotna_grid,Yukon-Koyukuk/Upper Tanana,216.00000000000003,NA,216.00000000000003,NA,NA,NA,NA,NA,AEA,NA
P249,332600,Tanana Power Company Inc,Tanana,Tanana,Tanana_grid,Yukon-Koyukuk/Upper Tanana,1375,NA,1375,NA,NA,NA,NA,NA,AEA,NA
P29,331220,Alaska Power & Telephone Company,Tok,Tok,Tok_grid,Yukon-Koyukuk/Upper Tanana,7600,NA,7600,NA,NA,NA,NA,NA,EIA-F860,NA
P270,332880,Venetie Village Electric,Venetie,Venetie,Venetie_grid,Yukon-Koyukuk/Upper Tanana,495,NA,495,NA,NA,NA,NA,NA,AEA,NA
P163,332650,Inside Passage Electric,Angoon,Angoon,Angoon_grid,Southeast,1585.0000000000002,NA,1585.0000000000002,NA,NA,NA,NA,NA,EIA-F860,NA
P6,NA,Alaska Electric Light & Power Company,Annex Creek,Juneau,Juneau_grid,Southeast,4000,NA,NA,4000,NA,NA,NA,NA,EIA-F860,NA
P7,NA,Alaska Electric Light & Power Company,Auke Bay,Juneau,Juneau_grid,Southeast,36199.999999999993,33699.999999999993,2500,NA,NA,NA,NA,NA,EIA-F860,NA
P171,NA,Ketchikan Public Utilities,Beaver Falls,Ketchikan,SEAPA_grid,Southeast,5400,NA,NA,5400,NA,NA,NA,NA,EIA-F860,NA
P15,NA,Alaska Power & Telephone Company,Black Bear Lake,Craig,Prince of Wales Is._grid,Southeast,4500,NA,NA,4500,NA,NA,NA,NA,EIA-F860,NA
P229,NA,"Petersburg, City of",Blind Slough,Petersburg,SEAPA_grid,Southeast,14499.999999999998,NA,12899.999999999998,1600,NA,NA,NA,NA,EIA-F860,NA
P240,NA,"Sitka, City & Borough of",Blue Lake Hydro,Sitka,Sitka_grid,Southeast,15899.999999999998,NA,NA,15899.999999999998,NA,NA,NA,NA,EIA-F860,NA
P199,NA,Metlakatla Power & Light,Centennial,Metlakatla,Metlakatla_grid,Southeast,6100,NA,5100,NA,NA,NA,1000,NA,EIA-F860,NA
P200,NA,Metlakatla Power & Light,Chester Lake,Metlakatla,Metlakatla_grid,Southeast,1300,NA,NA,1300,NA,NA,NA,NA,EIA-F860,NA
P166,332660,Inside Passage Electric,Chilkat Valley,Chilkat Valley,UpperLynnCanal_grid,Southeast,1150,NA,600,550,NA,NA,NA,NA,AEA,NA
P33,331080,Alaska Power & Telephone Company,Coffman Cove,Coffman Cove,Prince of Wales Is._grid,Southeast,660,NA,660,NA,NA,NA,NA,NA,AEA,NA
P20,331090,Alaska Power & Telephone Company,Craig,Craig,Prince of Wales Is._grid,Southeast,4515,NA,4515,NA,NA,NA,NA,NA,EIA-F860,NA
P41,NA,Alaska Power & Telephone Company,Dewey Lakes ,Haines,UpperLynnCanal_grid,Southeast,943,NA,NA,943,NA,NA,NA,NA,EIA-F860,NA
P81,331950,Alaska Village Electric Cooperative,Ekwok,Ekwok,Ekwok_grid,Southeast,0,NA,NA,NA,NA,NA,NA,NA,AEA,NA
P140,331960,Elfin Cove Utility Commission,Elfin Cove,Elfin Cove,Elfin Cove_grid,Southeast,347,NA,347,NA,NA,NA,NA,NA,AEA,NA
