"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21
"Certified Utilities Net Generation by Fuel Type (MWh), 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plant ID,PCE ID,Utility Name,Plant Name,Intertie Name,Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Other,Oil (gallons),Gas (mcf),Coal (short tons),Source,Number of monthly records,Communities connected to plant,Notes
P10,NA,Alaska Electric Light & Power Company,Lake Dorothy Hydroelectric Project,Juneau_grid,Southeast,0,0,0,81558.000000000015,0,0,0,0,0,0,0,EIA923,12,"Juneau, Douglas",NA
P100,331740,Alutiiq Power Company,Karluk,Karluk_grid,Kodiak,218.20699999999999,0,0,0,0,0,0,0,20148,0,0,PCE,12,Karluk,NA
P101,NA,Anchorage Municipal Light and Power,Anchorage 1,Railbelt_grid,Railbelt,79.950999999999979,28857.048999999999,0,0,0,0,0,0,8232,386419,0,EIA923,24,Includes ML&P's sevice territory,NA
P102,NA,Anchorage Municipal Light and Power,Eklutna Hydro Project,Railbelt_grid,Railbelt,0,0,0,168115,0,0,0,0,0,0,0,EIA923,12,Includes ML&P's sevice territory,NA
P103,NA,Anchorage Municipal Light and Power,George M Sullivan Generation Plant 2,Railbelt_grid,Railbelt,38.745000000000005,843289.25499999989,0,0,0,0,0,0,2478,7076113,0,EIA923,24,Includes ML&P's sevice territory,NA
P105,331760,Aniak Light & Power,Aniak,Aniak_grid,Lower Yukon-Kuskokwim,2582.3000000000002,0,0,0,0,0,0,0,203061,0,0,PCE,12,Aniak,NA
P106,331770,Arctic Village Electric Company,Arctic Village,Arctic Village_grid,Yukon-Koyukuk/Upper Tanana,479.774,0,0,0,0,0,0,0,43862,0,0,PCE,9,Arctic Village,NA
P107,331750,"Atka, City of",Atka,Atka_grid,Aleutians,56.280999999999992,0,0,361.06199999999995,0,0,0,0,5410,0,0,PCE,11,Atka,NA
P108,331780,Atmautluak Tribal Utilities,Atmautluak,Atmautluak_grid,Lower Yukon-Kuskokwim,609.7589999999999,0,0,0,0,0,0,0,48803,0,0,PCE,10,Atmautluak,NA
