"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Electricity Sales by Certified Utilities (MWh) by AEA Energy Regions, 2018",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Total,Percent of Statewide Total
Aleutians,5812.0219999999999,42556.938000000002,6472.7559999999985,54841.716,9.2922674529678246E-3
Bering Straits,16439.044000000002,12429.649000000003,20437.913999999997,49306.607000000004,8.3544099794830556E-3
Bristol Bay,13467.852999999997,31125.976000000002,10584.190000000002,55178.019,9.3492499409197957E-3
Copper River/Chugach,21516.749,84276.555999999997,4557.4000000000005,110350.70499999999,1.8697596269298972E-2
Kodiak,36113.219000000005,21823.205000000002,82348.214000000007,140284.63800000001,2.376954024995814E-2
Lower Yukon-Kuskokwim,32737.198499999999,25121.439999999999,34937.711000000003,92796.349500000011,1.5723222413629018E-2
North Slope,17955.852999999999,118016.777,1375.6610000000001,137348.291,2.3272011659519434E-2
Northwest Arctic,12116.351000000001,11486.888999999999,8465.6450000000004,32068.884999999998,5.4336858521799002E-3
Railbelt,1462631,1927528,993886,4384045,0.74282355909224884
Southeast,322346.69499999989,294664.91800000001,197363.89099999995,814375.50399999984,0.13798610879195441
Yukon-Koyukuk/Upper Tanana,11734.36,10222.452000000001,9313.3289090909111,31270.140909090915,5.2983482978407022E-3
Total,1952870.3444999999,2579252.8000000003,1369742.7109090907,5901865.8554090904,1
Percent of Total,0.33089033067571066,0.43702328436287685,0.23208638496141257,1,NA
