"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20
"Certified Utilities Net Generation and Total Disposition (MWh), 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA sales reporting ID,PCE ID,OPERATOR_AEA Utility ID,Utility Name,Community Name,Intertie name,Energy Region,Net Generation,Purchased Power,Net Wheeled Power,Total Disposition,Sales to Consumers,Sales for Resale,Furnished without Payment,Used by facility,Unaccountable / Energy Loss,Source,Communities reported,Number of monthly records,Notes
SR-1,NA,AEA-133,Alaska Electric Light & Power Company,Juneau,Juneau_grid,Southeast,139708,271555,0,411263,388979,NA,NA,4612,17672,EIA861,"Juneau, Douglas, Greens Creek (Industrial)",12,NA
SR-10,NA,AEA-117,TDX North Slope Generating Co,Deadhorse,Deadhorse_grid,North Slope,60529,0,0,60529,57320,0,0,0,3209,EIA861,Deadhorse,12,NA
SR-100,331420,AEA-006,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,1307.009,0,NA,1307.009,1237.095,NA,0,15.749000000000001,54.164999999999964,PCE,Koyuk,12,NA
SR-101,332140,AEA-049,"Koyukuk, City of",Koyukuk,Koyukuk_grid,Yukon-Koyukuk/Upper Tanana,204.142,0,NA,204.142,146.81200000000001,NA,0.90100000000000002,20.102,36.32699999999997,PCE,Koyukuk,9,NA
SR-102,332150,AEA-050,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Kwethluk,Kwethluk_grid,Lower Yukon-Kuskokwim,1685.673,0,NA,1685.673,1388.06,NA,100.91800000000001,36.914999999999999,159.77999999999997,PCE,Kwethluk,12,NA
SR-103,332160,AEA-051,Kwigillingok Power Company,Kwigillingok,Kwigillingok_grid,Lower Yukon-Kuskokwim,1303.164783781104,41.860999999999997,NA,1345.0257837811041,1124.6469999999999,NA,36.317999999999998,63.489636363636365,120.57114741746773,PCE,Kwigillingok,12,NA
SR-104,332170,AEA-052,Larsen Bay Utility Company,Larsen Bay,Larsen Bay_grid,Kodiak,956.84,0,NA,956.84,807.67600000000004,NA,0,45.509,103.65499999999997,PCE,Larsen Bay,12,NA
SR-105,332180,AEA-053,Levelock Electrical Coop,Levelock,Levelock_grid,Bristol Bay,373.209,0,NA,373.209,276.91199999999998,NA,11.38,27.167999999999999,57.749000000000024,PCE,Levelock,10,NA
SR-106,332190,AEA-054,Lime Village Electric Utility,Lime Village,Lime Village_grid,Lower Yukon-Kuskokwim,49.813499999999998,0,NA,49.813499999999998,30.354500000000002,NA,0,2.8827777777777777,16.576222222222221,PCE,Lime Village,7,NA
SR-107,331430,AEA-006,Alaska Village Electric Cooperative,Lower Kalskag,Upper Kalskag_grid,Lower Yukon-Kuskokwim,0,0,NA,0,658.64400000000001,NA,0,0,NA,PCE,Lower Kalskag,12,NA
SR-108,332200,AEA-090,TDX Manley Generating LLC,Manley Hot Springs,Manley Hot Springs_grid,Yukon-Koyukuk/Upper Tanana,547.90700000000004,0,NA,547.90700000000004,447.18700000000001,NA,0,18.587,82.133000000000038,PCE,Manley Hot Springs,12,NA
SR-109,332210,AEA-056,Manokotak Power Company,Manokotak,Manokotak_grid,Bristol Bay,632.139897928501,0,NA,632.139897928501,590.88499999999999,NA,31.587,27.722999999999999,-18.055102071498936,PCE,Manokotak,6,NA
SR-11,331005,AEA-088,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,2071.4259999999999,0,NA,2071.4259999999999,1230.415,NA,0,291.81799999999998,549.19299999999998,PCE,Adak,12,NA
SR-110,331440,AEA-006,Alaska Village Electric Cooperative,Marshall,Marshall_grid,Lower Yukon-Kuskokwim,1502.1279999999999,0,NA,1502.1279999999999,1408.319,NA,0,36.362000000000002,57.446999999999889,PCE,Marshall,12,NA
