"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11
"Net Generation by Fuel Type by Operators/Utilities (MWh) by AEA Energy Regions, 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Other,Region Total,Percent of Statewide Total
Aleutians,103974.40899999999,0,0,2476.19,1385.8590000000002,0,0,501.78000000000009,108338.23799999998,1.6909474097347214E-2
Bering Straits,49251.771000000001,0,0,0,3992.6890000000003,0,0,0,53244.46,8.3104159142521773E-3
Bristol Bay,53147.740000000005,0,0,4205.9430000000002,8.0289999999999999,0.83499999999999996,0,0,57362.547000000006,8.9531685262812036E-3
Copper River/Chugach,41114.621000000006,0,0,75013,0,0,0,0,116127.62100000001,1.8125244009285574E-2
Kodiak,1746.4499999999998,0,0,125730.73599999998,29308.999999999996,0,0,0,156786.18599999996,2.4471248563123781E-2
Lower Yukon-Kuskokwim,92425.541232888878,0,0,0,4763.7250000000004,0,0,0,97189.266232888884,1.5169338270991791E-2
North Slope,30608.957999999995,128797.939,0,0,0,0,0,0,159406.897,2.4880290149817609E-2
Northwest Arctic,31558.306,0,0,0,4296.8719999999994,0,0,0,35855.178,5.5962900527030332E-3
Railbelt,430960.62199999992,2954204.21,594138.93499999994,594091,134313,0,-2392,0,4705315.767,0.73440750514999098
Southeast,19847.931,0,0,862175.19599999988,0,0,0,0,882023.12699999986,0.13766651087003734
Yukon-Koyukuk/Upper Tanana,35274.350236686863,0,0,0,0,31.266999999999996,0,0,35305.617236686863,5.5105143961692634E-3
Total,889910.69946957554,3083002.1489999997,594138.93499999994,1663692.0649999999,178069.174,32.101999999999997,-2392,501.78000000000009,6406954.9044695757,1
Percent of Total,0.13889760623237135,0.48119616806562149,9.273343481558155E-2,0.25966970109925175,2.7793105563420871E-2,5.0104925785579073E-6,-3.7334428533768974E-4,7.8318016512017561E-5,1,NA
