"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18
"Net Generation by Prime Mover by Operators/Utilities (MWh), 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK PLANT ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Solar PV,Wind Turbine,Flywheel,Battery,Total Net Generation,Data source,Number of monthly records,Communities connected to plant,Notes
P5,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,0,463.93499999999995,112.43099999999998,0,0,0,0,576.36599999999987,PCE,21,Akutan,NA
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,0,120.057,358.75899999999996,0,0,0,0,478.81599999999992,PCE,23,Atka,NA
P141,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,0,611.62400000000002,0,0,0,0,0,611.62400000000002,PCE,12,False Pass,NA
P143,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,0,1946.6959999999999,0,0,0,0,0,1946.6959999999999,PCE,10,Cold Bay,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,0,2297.174,2005,0,0,0,0,4302.174,PCE,23,King Cove,NA
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,0,321.21199999999999,0,0,0,0,0,321.21199999999999,PCE,12,Nelson Lagoon,NA
P237,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,0,543.69799999999998,0,0,57.192000000000007,0,0,600.89,PCE,15,Saint George,NA
P238,339,Saint Paul Municipal Electric,Saint Paul,Saint Paul_grid,Aleutians,0,0,0,0,592.96900000000005,0,0,592.96900000000005,PCE,12,Saint Paul,NA
P251,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,0,1977.7940000000001,0,0,0,0,0,1977.7940000000001,PCE,12,Adak,NA
P252,230,TDX Corporation,Sand Point,Sand Point_grid,Aleutians,0,0,0,0,735.69800000000009,0,0,735.69800000000009,PCE,12,Sand Point,NA
P261,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,0,192.99899999999997,0,0,0,0,0,192.99899999999997,PCE,12,Nikolski,NA
P263,106,"Unalaska, City of",Dutch Harbor,Unalaska_grid,Aleutians,0,46917.999999999993,0,0,0,0,0,46917.999999999993,EIA923,12,Unalaska,NA
P264,106,"Unalaska, City of",Unalaska Power Module,Unalaska_grid,Aleutians,0,289,0,0,0,0,0,289,EIA923,12,Unalaska,NA
P266,0,Unisea Inc,Unisea G 2,Unalaska_grid,Aleutians,0,30339,0,0,0,0,0,30339,EIA923,24,Unalaska,NA
P271,0,Westward Seafoods Inc,Westward Seafoods,Unalaska_grid,Aleutians,0,18455,0,0,0,0,0,18455,EIA923,12,Unalaska,NA
P291,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,0,0,0,0,0,0,0,0,0,0,Unalaska,NA
P287,0,Peter Pan Seafoods,King Cove,King Cove_grid,Aleutians,0,0,0,0,0,0,0,0,0,0,King Cove,NA
P135,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,0,90.01,0,0,0,0,0,90.01,PCE,2,Diomede,NA
P153,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,0,935.45500000000004,0,0,0,0,0,935.45500000000004,PCE,12,Golovin,NA
P215,150,Nome Joint Utility Systems,Snake River,Nome_grid,Bering Straits,0,29455.263999999999,0,0,1726.7290000000003,0,0,31181.993000000006,PCE,24,Nome,NA
P262,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,0,3377.6049999999996,0,0,964.78499999999997,0,0,4342.3899999999994,PCE,24,Unalakleet,NA
P272,409,"White Mountain, City of",White Mountain,White Mountain_grid,Bering Straits,0,769.4,0,0,0,0,0,769.4,PCE,12,NA,NA
P48,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,0,1179.566,0,0,0,0,0,1179.566,PCE,12,Brevig Mission,NA
P50,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,0,1294.366,0,0,0,0,0,1294.366,PCE,12,Elim,NA
P52,169,Alaska Village Electric Cooperative,Gambell,Gambell_grid,Bering Straits,0,1323.6280000000002,0,0,684.10800000000006,0,0,2007.7360000000003,PCE,24,Gambell,NA
P58,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,0,1303.4869999999999,0,0,0,0,0,1303.4869999999999,PCE,12,Koyuk,NA
P68,169,Alaska Village Electric Cooperative,Savoonga,Savoonga_grid,Bering Straits,0,2157.808,0,0,180.96300000000002,0,0,2338.7709999999997,PCE,24,Savoonga,NA
P71,169,Alaska Village Electric Cooperative,Shishmaref,Shishmaref_grid,Bering Straits,0,1684.4460000000001,0,0,0,0,0,1684.4460000000001,PCE,12,Shishmaref,NA
P74,169,Alaska Village Electric Cooperative,Stebbins,Stebbins_grid,Bering Straits,0,3406.2119999999995,0,0,0,0,0,3406.2119999999995,PCE,12,Stebbins,NA
P95,169,Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik_grid,Bering Straits,0,752.4079999999999,0,0,436.10399999999998,0,0,1188.5119999999997,PCE,24,Shaktoolik,NA
P96,169,Alaska Village Electric Cooperative,Teller,Teller_grid,Bering Straits,0,866.05400000000009,0,0,0,0,0,866.05400000000009,PCE,12,Teller,NA
P98,169,Alaska Village Electric Cooperative,Wales,Wales_grid,Bering Straits,0,656.06200000000001,0,0,0,0,0,656.06200000000001,PCE,12,Wales,NA
P73,169,Alaska Village Electric Cooperative,Saint Michael,Stebbins_grid,Bering Straits,0,0,0,0,0,0,0,0,0,0,Stebbins,NA
P116,658,Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon_grid,Bristol Bay,0,8.548,666.37300000000005,0,0,0,0,674.92099999999994,PCE,22,Chignik Lagoon,NA
P117,437,Chignik Lake Electric Utility,Chignik Lake,Chignik Lake_grid,Bristol Bay,0,356.57999999999993,0,0,0,0,0,356.57999999999993,PCE,12,Chignik Lake,NA
P118,297,"Chignik, City of",Chignik,Chignik_grid,Bristol Bay,0,665.32399999999996,0,0,0,0,0,665.32399999999996,PCE,12,Chignik,NA
P125,360,"Clark's Point, City of",Clark's Point,Clark's Point_grid,Bristol Bay,0,224.96,0,0,0,0,0,224.96,PCE,12,Clark's Point,NA
P139,320,Egegik Light & Power Co,Egegik,Egegik_grid,Bristol Bay,0,542.53,0,0,0,0,0,542.53,PCE,12,Egegik,NA
P161,681,Igiugig Electric Company,Igiugig,Igiugig_grid,Bristol Bay,0,340.63200000000001,0,0,0,0,0,340.63200000000001,PCE,12,Igiugig,NA
P162,280,"I-N-N Electric Coop, Inc",Newhalen,Newhalen_grid,Bristol Bay,0,78.53,3539.57,0,0,0,0,3618.1000000000008,PCE,19,"Iliamna, Newhalen, Nondalton",NA
P188,660,Kokhanok Village Council,Kokhanok,Kokhanok_grid,Bristol Bay,0,428.90000000000003,0,0,0,0,0,428.90000000000003,PCE,12,Kokhanok,NA
P194,330,Levelock Electrical Coop,Levelock,Levelock_grid,Bristol Bay,0,450.68799999999999,0,0,0,0,0,450.68799999999999,PCE,12,Levelock,NA
P196,321,Manokotak Power Company,Manokotak,Manokotak_grid,Bristol Bay,0,1389.8040000000001,0,0,0,0,0,1389.8040000000001,PCE,12,Manokotak,NA
P207,22,Naknek Electric Association,Naknek,Naknek_grid,Bristol Bay,0,22085.812999999998,0,0,0,0,0,22085.812999999998,PCE,12,"Naknek, South Naknek, King Salmon",NA
P213,661,New Koliganek Village Council,Koliganek,Koliganek_grid,Bristol Bay,0,733.28799999999978,0,0,0,0,0,733.28799999999978,PCE,12,Koliganek,NA
