"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10
"Greenhouse Gas Emissions by Fuel Type by Operators/Utilities (Tons) by AEA Energy Regions, 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
AEA Energy Region,Oil,Gas,Coal,Hydro,Wind,Solar,Storage,Region Total,Percent of Statewide Total
Aleutians,67645.862393999982,0,0,0,0,0,0,67645.862393999982,2.4103738382478573E-2
Bering Straits,33564.401310000001,0,0,0,0,0,0,33564.401310000001,1.1959749192472707E-2
Bristol Bay,37843.421065999988,0,0,0,0,0,0,37843.421065999988,1.348445992986186E-2
Copper River/Chugach,30301.398950000003,0,0,0,0,0,0,30301.398950000003,1.079706824727677E-2
Kodiak,1901.3054720000005,0,0,0,0,0,0,1901.3054720000005,6.774777948034236E-4
Lower Yukon-Kuskokwim,70089.791112000006,0,0,0,0,0,0,70089.791112000006,2.4974565013396413E-2
North Slope,23282.858873999998,94741.915839999972,0,0,0,0,0,118024.77471399997,4.2054875075545749E-2
Northwest Arctic,22491.710933999999,0,0,0,0,0,0,22491.710933999999,8.0143011995299027E-3
Railbelt,307518.12469800003,1433305.2799999996,636577.25091666658,0,0,0,0,2377400.6556146662,0.8471211897558969
Southeast,18941.183404000003,0,0,0,0,0,0,18941.183404000003,6.7491685857353507E-3
Yukon-Koyukuk/Upper Tanana,28242.417103999996,0,0,0,0,0,0,28242.417103999996,1.0063406823002299E-2
Total,641822.47531799995,1528047.1958399995,636577.25091666658,0,0,0,0,2806446.9220746662,1
Percent of Total,0.22869574702076767,0.54447749708745263,0.22682675589177961,0,0,0,0,1,NA
