"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20
"Operators/Utilities Net Generation, Fuel Use, Fuel Cost, and Efficiency, 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuel Types: AB=Agricultural By-Products, DFO=Distillate Fuel Oil, JF=Jet Fuel, NG=Natural Gas, OTH=Other, RFO=Residual Fuel Oil, SUB=Sub-bituminous Coal, WAT=Water at a Conventional Hydroelectric Turbine, WC=Waste Coal, WDS=Wood Solids, WND=Wind, WO=Waste/Other Oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prime Movers: CA=Combined Cycle, steam part, CT=Combined Cycle=turbine part, GT=Gas Turbine, HY=Hydroelectric Turbine, IC=Internal Combustion Engine, ST=Steam Turbine, WT=Wind Turbine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK Plant ID,RCA CPCN,Utility Name,Plant Name,Intertie Name,Energy Region,Fuel Type,Prime Mover,Net Generation MWh,Fuel Use,Fuel Unit,Estimated Fuel Consumption MMBtu,Avg. Cost ($) per Gallon (PCE only),kWh per Gallon-Mcf-Short tons,Fuel Cost ($) per kWh,"Estimated Heat Content Factor per Unit, MMBtu",Source,Number of monthly records,Communities connected to plant,Notes
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,WAT,HY,358.75899999999996,0,NA,0,0,-,-,0,PCE,12,Atka,NA
P107,291,"Atka, City of",Atka,Atka_grid,Aleutians,DFO,IC,120.057,12774,gallons,1762.8120000000001,4.6467727272727268,9.3985439173320806,0.49441411011587671,0.13800000000000001,PCE,11,Atka,NA
P141,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,DFO,IC,611.62400000000002,51794,gallons,7147.572000000001,2.6113,11.808780939877206,0.22113205531503013,0.13800000000000001,PCE,12,False Pass,NA
P143,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,DFO,IC,1946.6959999999999,147397,gallons,20340.786,4.54,13.207161611158979,0.34375289207970838,0.13800000000000001,PCE,10,Cold Bay,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,WAT,HY,2005,0,NA,0,0,-,-,0,PCE,12,King Cove,NA
P177,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,DFO,IC,2297.174,146743,gallons,20250.534000000003,2.3212636363636356,15.65440259501305,0.14828184098849673,0.13800000000000001,PCE,11,King Cove,NA
P212,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,DFO,IC,321.21199999999999,27306,gallons,3768.2280000000005,5.2978333333333323,11.76342195854391,0.45036498325093699,0.13800000000000001,PCE,12,Nelson Lagoon,NA
