PCE reporting ID...1,AEA Plant ID,eia_plant_id,PCE reporting ID...4,plant_name,AEA_operator Id,eia_operator_id,OPERATOR_Operator_name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Currently Reports to EIA,Currently Reports to PCE,combined_heat_power,nameplate_capacity,OPERATOR_sector__id,OPERATOR_sector__name,OPERATOR_sector__number,Primary voltage,Primary voltage 2,Phases,Latitude,longitude,"status (OP, SB, OA)",Notes,CPCN
NA,P172,84,NA,Ketchikan,AEA-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,TRUE,FALSE,FALSE,4.2,1,Electric Utility,1,34.5,NA,NA,55.344641,-131.633425,NA,NA,399
NA,P173,85,NA,S W Bailey,AEA-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,TRUE,FALSE,FALSE,25.9,1,Electric Utility,1,34.5,NA,NA,55.357397,-131.69696,NA,NA,399
NA,P174,6581,NA,Silvis,AEA-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,TRUE,FALSE,FALSE,2.1,1,Electric Utility,1,34.5,NA,NA,55.381402,-131.517758,OP,NA,399
NA,P175,70,NA,Swan Lake,AEA-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,TRUE,FALSE,FALSE,22.6,6,Commercial NAICS Non-Cogen,4,115,115,NA,55.615208,-131.356111,OP,NA,399
NA,P176,58977,NA,Whitman,AEA-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,TRUE,FALSE,FALSE,4.8,1,Electric Utility,1,34.5,NA,NA,55.328056,-131.530833,OP,NA,399
332070,P177,7493,332070,King Cove,AEA-043,9897,"King Cove, City of",131-0000,King Cove_grid,TRUE,TRUE,TRUE,2.6,1,Electric Utility,1,480,NA,NA,55.061683,-162.3103,OP,NA,759
332080,P178,NA,332080,Kipnuk,AEA-044,NA,Kipnuk Light Plant,132-0000,Kipnuk_grid,FALSE,TRUE,NA,1.05,1,Electric Utility,1,NA,NA,NA,59.93889,-164.04139,OP,NA,364
332090,P179,NA,332090,Kobuk,AEA-045,NA,Kobuk Valley Electric Company,149-1980,Shungnak_grid,FALSE,TRUE,FALSE,0.171,1,Electric Utility,1,7.2,NA,NA,NA,NA,OP,NA,709
NA,P18,56265,NA,South Fork,AEA-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,TRUE,NA,FALSE,2,1,Electric Utility,1,34.5,NA,NA,55.563333,-132.891111,OP,"Included in PCE reporting as ""Purchased Power""",2
NA,P180,58405,NA,ESS Battery Microgrid,AEA-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,TRUE,FALSE,FALSE,3,1,Electric Utility,1,12.47,NA,NA,57.799167,-152.404167,OP,NA,339
