"Early Release, Subject to Revision",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20
"Operators/Utilities Net Generation and Total Disposition (MWh), 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK sales reporting ID,PCE ID,RCA CPCN,Utility Name,Index Community,Intertie name,Energy Region,Net Generation,Purchased Power,Net Wheeled Power,Total Disposition,Sales to Consumers,Sales for Resale,Furnished without Payment,Used by facility,Unaccountable / Energy Loss,Source,Communities reported,Number of monthly records,Notes
SR-11,331005,684,TDX Adak Generating LLC,Adak,Adak_grid,Aleutians,1977.7940000000001,0,0,1977.7940000000001,1378.6759999999999,0,0,0,447.75000000000023,PCE,Adak,0,NA
SR-120,332320,340,Nelson Lagoon Electrical Coop,Nelson Lagoon,Nelson Lagoon_grid,Aleutians,321.21199999999999,0,0,321.21199999999999,249.34800000000001,0,0,0,45.546999999999969,PCE,Nelson Lagoon,0,NA
SR-125,332740,242,Umnak Power Company,Nikolski,Nikolski_grid,Aleutians,192.999,0,0,192.999,161.27500000000001,0,0,0,13.531999999999982,PCE,Nikolski,0,NA
SR-15,331040,293,"Akutan, City of",Akutan,Akutan_grid,Aleutians,576.36599999999999,0,0,576.36599999999999,485.27600000000001,0,0,0,74.11099999999999,PCE,Akutan,0,NA
SR-152,332550,410,"Saint George, City of",Saint George,Saint George_grid,Aleutians,600.89,0,0,600.89,436.94,0,16.651,0,110.303,PCE,Saint George,0,NA
SR-155,332560,339,Saint Paul Public Electric Utility Electric,Saint Paul,Saint Paul_grid,Aleutians,3175.1529999999998,592.96900000000005,0,3175.1529999999998,3247.1979999999999,0,0,0,366.00500000000011,PCE,Saint Paul,0,NA
SR-156,332540,230,"SAND POINT GENERATING, LLC",Sand Point,Sand Point_grid,Aleutians,3199.5340000000001,735.69799999999998,0,3199.5340000000001,3532.5729999999999,0,0,0,332.49900000000025,PCE,Sand Point,0,NA
SR-185,332860,106,"Unalaska, City of",Unalaska,Unalaska_grid,Aleutians,48630.826000000001,0,0,48630.826000000001,46254.417999999998,0,0,0,1520.5900000000038,PCE/EIA861,Unalaska,0,NA
SR-24,331750,291,"Atka, City of",Atka,Atka_grid,Aleutians,478.81599999999997,0,0,478.81599999999997,391.01600000000002,0,1.117,0,42.766999999999939,PCE,Atka,0,NA
SR-48,331980,88,G & K Inc,Cold Bay,Cold Bay_grid,Aleutians,1946.6959999999999,0,0,1946.6959999999999,1638.79,0,0,0,169.15999999999985,PCE,Cold Bay,0,NA
SR-63,331970,442,"False Pass, City of",False Pass,False Pass_grid,Aleutians,611.62400000000002,0,0,611.62400000000002,470.01900000000001,0,13.888,0,87.266000000000076,PCE,False Pass,0,NA
SR-89,332070,289,"King Cove, City of",King Cove,King Cove_grid,Aleutians,4302.174,0,0,4302.174,3723.1469999999999,0,0,0,513.85400000000027,PCE,King Cove,0,NA
SR-100,331420,169,Alaska Village Electric Cooperative,Koyuk,Koyuk_grid,Bering Straits,1303.4870000000001,0,0,1303.4870000000001,1236.9079999999999,0,0,0,49.633000000000266,PCE,Koyuk,0,NA
SR-127,332340,150,Nome Joint Utility Systems,Nome,Nome_grid,Bering Straits,31181.992999999999,0,0,31181.992999999999,28841.954000000002,0,0,0,1011.6729999999989,PCE/EIA861,Nome,0,NA
SR-154,331670,169,Alaska Village Electric Cooperative,Saint Michael,Stebbins_grid,Bering Straits,0,0,0,0,1785.2260000000001,0,0,0,-1785.2260000000001,PCE,Saint Michael,0,NA
SR-157,331590,169,Alaska Village Electric Cooperative,Savoonga,Savoonga_grid,Bering Straits,2338.7710000000002,0,0,2338.7710000000002,2275.6239999999998,0,0,0,26.581000000000586,PCE,Savoonga,0,NA
SR-161,331630,169,Alaska Village Electric Cooperative,Shaktoolik,Shaktoolik_grid,Bering Straits,1188.5119999999999,0,0,1188.5119999999999,988.15099999999995,0,0,0,41.082000000000107,PCE,Shaktoolik,0,NA
SR-162,331640,169,Alaska Village Electric Cooperative,Shishmaref,Shishmaref_grid,Bering Straits,1684.4459999999999,0,0,1684.4459999999999,1612.902,0,0,0,25.320999999999913,PCE,Shishmaref,0,NA
SR-167,331680,169,Alaska Village Electric Cooperative,Stebbins,Stebbins_grid,Bering Straits,3406.212,0,0,3406.212,1469.6089999999999,0,0,0,1881.1280000000002,PCE,Stebbins,0,NA
SR-173,331685,169,Alaska Village Electric Cooperative,Teller,Teller_grid,Bering Straits,866.05399999999997,0,0,866.05399999999997,783.11,0,0,0,44.177999999999997,PCE,Teller,0,NA
SR-184,332850,741,Unalakleet Valley Electric Cooperative,Unalakleet,Unalakleet_grid,Bering Straits,4342.3900000000003,0,0,4342.3900000000003,3941.1019999999999,0,1.17,0,212.72100000000046,PCE,Unalakleet,0,NA
SR-188,331730,169,Alaska Village Electric Cooperative,Wales,Wales_grid,Bering Straits,656.06200000000001,0,0,656.06200000000001,606.83900000000006,0,0,0,22.409999999999968,PCE,Wales,0,NA
SR-190,332890,409,"White Mountain, City of",White Mountain,WhiteMountain_grid,Bering Straits,769.4,0,0,769.4,667.88499999999999,0,0,0,63.717999999999961,PCE,White Mountain,0,NA
SR-31,331270,169,Alaska Village Electric Cooperative,Brevig Mission,Brevig Mission_grid,Bering Straits,1179.566,0,0,1179.566,1105.527,0,0,0,31.689000000000078,PCE,Brevig Mission,0,NA
SR-54,331930,383,Diomede Joint Utilities,Diomede,Diomede_grid,Bering Straits,90.01,0,0,90.01,77.980999999999995,0,3.1659999999999999,0,4.8910000000000196,PCE,Diomede,0,NA
SR-61,331300,169,Alaska Village Electric Cooperative,Elim,Elim_grid,Bering Straits,1294.366,0,0,1294.366,1228.1959999999999,0,0,0,49.450000000000045,PCE,Elim,0,NA
SR-66,331320,169,Alaska Village Electric Cooperative,Gambell,Gambell_grid,Bering Straits,2007.7360000000001,0,0,2007.7360000000001,1820.49,0,0,0,90.249000000000024,PCE,Gambell,0,NA
SR-67,332000,373,Golovin Power Utilities,Golovin,Golovin_grid,Bering Straits,935.45500000000004,0,0,935.45500000000004,865.34799999999996,0,29.966999999999999,0,40.1400000000001,PCE,Golovin,0,NA
SR-105,332180,330,Levelock Electrical Coop,Levelock,Levelock_grid,Bristol Bay,450.68799999999999,0,0,450.68799999999999,328.81099999999998,0,14.686999999999999,0,82.66500000000002,PCE,Levelock,0,NA
SR-109,332210,321,Manokotak Power Company,Manokotak,Manokotak_grid,Bristol Bay,1389.8040000000001,0,0,1389.8040000000001,1168.83,0,44.951000000000001,0,91.630000000000109,PCE,Manokotak,0,NA
SR-116,332280,22,Naknek Electric Association,"Naknek, South Naknek, King Salmon",Naknek_grid,Bristol Bay,22085.812999999998,0,0,22085.812999999998,19917.698,0,0,0,1526.7059999999983,PCE,"Naknek, South Naknek, King Salmon",0,NA
SR-121,331480,169,Alaska Village Electric Cooperative,New Stuyahok,New Stuyahok_grid,Bristol Bay,1377.62,0,0,1377.62,1296.7139999999999,0,0,0,45.808999999999969,PCE,New Stuyahok,0,NA
SR-136,332450,662,Pedro Bay Village Council,Pedro Bay,Pedro Bay_grid,Bristol Bay,195.53800000000001,0,0,195.53800000000001,163.679,0,0,0,19.399000000000001,PCE,Pedro Bay,0,NA
SR-139,332480,425,Pilot Point Electric Utility,Pilot Point,Pilot Point_grid,Bristol Bay,454.06400000000002,0,0,454.06400000000002,370.11099999999999,0,0,0,56.70700000000005,PCE,Pilot Point,0,NA
SR-145,332590,447,Tanalian Electric Cooperative,Port Alsworth,Port Alsworth_grid,Bristol Bay,859.33399999999995,0,0,859.33399999999995,780.21,0,0,0,62.434999999999945,PCE,Port Alsworth,0,NA
SR-146,332500,399,Port Heiden Utilities,Port Heiden,Port Heiden_grid,Bristol Bay,515.04,0,0,515.04,513.39499999999998,0,0,0,-35.475000000000023,PCE,Port Heiden,0,NA
SR-177,331690,169,Alaska Village Electric Cooperative,Togiak,Togiak_grid,Bristol Bay,3034.6289999999999,0,0,3034.6289999999999,2868.5050000000001,0,0,0,118.24699999999984,PCE,Togiak,0,NA
SR-183,332730,729,Twin Hills Village Council,Twin Hills,Twin Hills_grid,Bristol Bay,0,0,0,0,228.77199999999999,0,17.271000000000001,0,-275.33800000000002,PCE,Twin Hills,0,NA
SR-38,331860,297,"Chignik, City of",Chignik,Chignik_grid,Bristol Bay,665.32399999999996,0,0,665.32399999999996,565.25599999999997,0,0.01,0,79.024999999999977,PCE,Chignik,0,NA
SR-39,331870,658,Chignik Lagoon Power Utility,Chignik Lagoon,Chignik Lagoon_grid,Bristol Bay,674.92100000000005,0,0,674.92100000000005,464.25400000000002,0,175.857,0,21.659000000000106,PCE,Chignik Lagoon,0,NA
SR-40,331880,437,Chignik Lake Electric Utility,Chignik Lake,Chignik Lake_grid,Bristol Bay,356.58,0,0,356.58,316.30900000000003,0,1.2969999999999999,0,29.65399999999994,PCE,Chignik Lake,0,NA
SR-46,331910,360,"Clark's Point, City of",Clark's Point,Clark's Point_grid,Bristol Bay,224.96,0,0,224.96,197.62799999999999,0,4.1000000000000002E-2,0,19.17300000000003,PCE,Clark's Point,0,NA
SR-53,332430,45,Nushagak Electric Cooperative,"Dillingham, Aleknagik",Dillingham_grid,Bristol Bay,18479.2,0,0,18479.2,17364.920999999998,0,2.4460000000000002,0,721.23300000000381,PCE,"Dillingham, Aleknagik",0,NA
SR-58,331940,320,Egegik Light & Power Co,Egegik,Egegik_grid,Bristol Bay,542.53,0,0,542.53,478.89600000000002,0,0,0,40.879999999999939,PCE,Egegik,0,NA
SR-80,332040,681,Igiugig Electric Company,Igiugig,Igiugig_grid,Bristol Bay,340.63200000000001,0,0,340.63200000000001,271.63299999999998,0,0,0,50.878000000000043,PCE,Igiugig,0,NA
