"Early Release, Subject to Revision",...2,...3,...4,...5,...6
"Electricity Sales by Operators/Utilities (MWh) by AEA Energy Regions, 2016",NA,NA,NA,NA,NA
AEA Energy Region,Residential,Commercial,Other,Region Totala,Percent of Statewide Total
Aleutians,7929.1050000000014,45139.076000000001,8900.494999999999,62000.332000000002,1.0217911995212632E-2
Bering Straits,16070.187,12401.239000000001,20167.541000000001,48673.270000000004,8.021556874553885E-3
Bristol Bay,13572.636999999999,27333.447999999997,10246.129000000003,51418.096999999994,8.4739157543109057E-3
Copper River/Chugach,21877.864000000005,79510.924999999988,4632.3599999999997,106036.16500000001,1.7475200008281344E-2
Kodiak,35507.926999999996,22748.594999999998,87122.125,145378.64699999997,2.3959004300639596E-2
Lower Yukon-Kuskokwim,32355.263999999988,25825.406000000003,33833.241999999998,92482.792000000016,1.5241547895704092E-2
North Slope,17743.273999999998,135409.39300000001,1431.866,154584.533,2.5476172514931741E-2
Northwest Arctic,12711.869000000001,12121.305,8252.0360000000001,33098.420000000006,5.4547569638915125E-3
Railbelt,1509288,2007014,1020264,4536566,0.7476449021026822
Southeast,310800.41199999995,285960.35600000009,209784.20199999999,806723.14700000023,0.13295132226948375
Yukon-Koyukuk/Upper Tanana,11839.541999999998,9652.3260000000009,9299.3680000000004,30846.973999999991,5.0837093203083515E-3
Total,1989696.081,2663116.0690000001,1413933.3640000001,6067808.3770000003,1
Percent of Total,0.32791017075323831,0.43889257925390812,0.23302208575991093,1,NA
aThe regional total may not equal the sum of the previous columns due to some reporters not breaking the data into categories.,NA,NA,NA,NA,NA
