"Utility Name","Community Name","Residential Revenue","Residential Sales","Residential Customers","Residential $/kWh","Commercial Revenue","Commercial Sales","Commercial Customers","Commercial $/kWh","Other Revenue","Other Sales","Other Customers","Other $/kWh","Total Revenue","Total Sales","Total Customers","Total $/kWh","source","Notes"
"Alaska Village Electric Cooperative","Tununak","259","451","92","0.56999999999999995","95","166","11","0.56999999999999995","162","282","15","0.56999999999999995","516","899","118","0.56999999999999995","pce",NA
"Alaska Village Electric Cooperative","Wales","160","228","51","0.7","83","118","11","0.7","149","212","12","0.7","392","559","75","0.7","pce",NA
"Alutiiq Power Company","Karluk","71","109","14","0.65","67","103","10","0.65","14","22","3","0.65","151","234","27","0.65","pce",NA
"Anchorage Municipal Light & Power","Anchorage","17221","146789","24443","0.12","83738","953876","6304","0.09","0","0","0",NA,"100959","1100665","30747","0.09","eia",NA
"Aniak Light & Power","Aniak","777","1021","180","0.76","597","784","27","0.76","367","483","9","0.76","1742","2288","216","0.76","pce",NA
"Atka, City of","Atka","125","164","30","0.76","78","103","7","0.76","80","105","22","0.76","283","372","59","0.76","pce",NA
"Atmautluak Tribal Utilities","Atmautluak","241","301","73","0.8","142","178","7","0.8","39","49","10","0.8","422","528","89","0.8","pce",NA
"Barrow Utilities & Electric Cooperative Inc.","Barrow","1364","11511","1471","0.12","3929","38069","400","0.1","0","0","0",NA,"5293","49580","1871","0.11","eia",NA
"Beaver Joint Utilities","Beaver","99","116","39","0.86","66","77","7","0.86","70","82","8","0.86","235","275","54","0.86","pce",NA
"Bethel Utilities Corporation","Bethel, Oscarville","5990","10677","1671","0.56000000000000005","16102","30229","1017","0.53","0","0","0",NA,"22092","40906","2688","0.54","eia",NA
"Buckland, City of","Buckland","289","609","91","0.47","379","798","17","0.47","37","77","8","0.47","704","1485","116","0.47","pce",NA
"Chalkyitsik Village Council","Chalkyitsik","48","50","42","0.95","51","53","6","0.95","97","102","6","0.95","196","206","54","0.95","pce",NA
"Chenega Ira Council","Chenega Bay","58","110","25","0.53","59","113","11","0.53","27","52","9","0.53","145","275","45","0.53","pce",NA
"Chignik, City of","Chignik","114","222","57","0.51","279","547","31","0.51","61","120","11","0.51","454","889","99","0.51","pce",NA
"Chignik Lagoon Power Utility","Chignik Lagoon","181","241","54","0.75","104","139","8","0.75","46","61","9","0.75","330","441","71","0.75","pce",NA
"Chignik Lake Electric Utility","Chignik Lake","122","142","38","0.86","50","58","2","0.86","106","124","11","0.86","278","325","51","0.86","pce",NA
"Chitina Electric Inc","Chitina","114","171","52","0.67","160","240","26","0.67","51","76","6","0.67","324","487","85","0.67","pce",NA
"Chugach Electric Assn Inc","Anchorage","76083","549748","69495","0.14000000000000001","67370","574284","9204","0.12","5902","54804","7","0.11","149355","1178836","78706","0.13","eia","In addition to Anchorage, CEA serves eight communities."
"Circle Electric Utility","Circle","113","142","38","0.79","74","94","9","0.79","95","120","5","0.79","282","356","52","0.79","pce",NA
"Copper Valley Elec Assn Inc","Valdez","5264","17517","2983","0.3","17654","65757","797","0.27","0","0","0",NA,"22918","83274","3780","0.28000000000000003","eia","In addition to Valdez, the CVEA service area includes 14 communities."
"Cordova Electric Cooperative","Cordova, Eyak","2107","4998","929","0.42","4323","12611","625","0.34","1902","8004","5","0.24","8332","25613","1559","0.33","eia",NA
"Diomede Joint Utilities","Diomede","104","174","45","0.6","175","292","12","0.6","24","40","6","0.6","303","505","63","0.6","pce",NA
"Egegik Light & Power Co","Egegik","135","157","43","0.86","220","256","14","0.86","130","151","20","0.86","485","564","76","0.86","pce",NA
"Elfin Cove Utility Commission","Elfin Cove","64","82","43","0.78","118","152","29","0.78","9","12","7","0.78","191","246","79","0.78","pce",NA
"False Pass, City of","False Pass","37","88","25","0.42","133","317","13","0.42","38","90","13","0.42","208","495","52","0.42","pce",NA
"Galena, City of","Galena","570","939","206","0.61","1347","2219","117","0.61","876","1443","50","0.61","2794","4600","373","0.61","pce",NA
"G & K Inc","Cold Bay","176","246","39","0.72","725","1014","24","0.72","1015","1418","56","0.72","1916","2678","118","0.72","pce",NA
"Gold Country Energy","Central","212","275","137","0.77","45","59","7","0.77","85","110","7","0.77","343","444","152","0.77","pce",NA
"Golden Valley Elec Assn Inc","Fairbanks","73023","301535","38011","0.24","30826","136451","6298","0.23","160872","855521","496","0.19","264721","1293507","44805","0.2","eia","In addition to Fairbanks, the GVEA service are includes 25 communities."
"Golovin Power Utilities","Golovin","147","245","54","0.6","197","329","27","0.6","92","153","14","0.6","436","727","95","0.6","pce",NA
"Gustavus Electric Co","Gustavus","421","954","446","0.44","262","593","121","0.44","138","314","30","0.44","822","1861","597","0.44","pce",NA
"Gwitchyaa Zhee Utilities Company","Fort Yukon","750","1157","267","0.65","678","1045","70","0.65","366","564","31","0.65","1794","2767","367","0.65","pce",NA
"Homer Electric Assn Inc","Homer","36648","180859","25914","0.2","31967","181734","3916","0.18","11094","127076","23","0.09","79709","489669","29853","0.16","eia","In addition to Homer, HEA serves 24 communities."
"Hughes Power & Light","Hughes","118","166","37","0.71","49","70","8","0.71","67","95","5","0.71","235","331","50","0.71","pce",NA
"Igiugig Electric Company","Igiugig","78","96","26","0.81","76","93","10","0.81","83","103","15","0.81","237","292","51","0.81","pce",NA
"I-N-N Electric Coop, Inc","Iliamna, Newhalen, Nondalton","572","947","197","0.6","1125","1864","84","0.6","354","586","25","0.6","2050","3397","306","0.6","pce",NA
"Inside Passage Electric","Angoon","582","918","197","0.63","291","459","25","0.63","182","287","15","0.63","1056","1664","237","0.63","pce",NA
"Inside Passage Electric","Chilkat Valley","426","674","203","0.63","255","404","25","0.63","24","38","15","0.63","706","1116","243","0.63","pce",NA
"Inside Passage Electric","Hoonah","1129","1780","366","0.63","1117","1761","59","0.63","483","761","43","0.63","2728","4302","468","0.63","pce",NA
"Inside Passage Electric","Kake","701","1106","234","0.63","845","1333","50","0.63","190","299","21","0.63","1736","2739","305","0.63","pce",NA
"Inside Passage Electric","Klukwan","129","203","46","0.63","49","77","7","0.63","48","76","9","0.63","227","357","62","0.63","pce",NA
"Ipnatchiaq Electric Company","Deering","151","214","40","0.7","192","273","7","0.7","111","158","12","0.7","454","645","59","0.7","pce",NA
"Ketchikan Public Utilities","Ketchikan, Petersburg, Wrangell","7559","74274","6275","0.1","7144","73463","1230","0.1","2046","24453","13","0.08","16750","172190","7518","0.1","eia",NA
"King Cove, City of","King Cove","367","1223","159","0.3","570","1899","209","0.3","353","1177","33","0.3","1290","4299","401","0.3","pce",NA
"Kipnuk Light Plant","Kipnuk","455","802","162","0.56999999999999995","166","292","29","0.56999999999999995","131","230","14","0.56999999999999995","752","1325","205","0.56999999999999995","pce",NA
"Kobuk Valley Electric Company","Kobuk","166","194","37","0.86","158","184","10","0.86","152","177","7","0.86","476","555","54","0.86","pce",NA
"Kodiak Electric Assn Inc","Kodiak","6536","35273","4696","0.19","4004","22282","1040","0.18","14770","87040","102","0.17","25310","144595","5838","0.18","eia","The KEA service area also includes: Port Lions, Chiniak, Womens Bay and Woody Island."
"Kokhanok Village Council","Kokhanok","170","188","54","0.9","55","61","8","0.9","142","158","14","0.9","366","407","75","0.9","pce",NA
"Kotzebue Electric Association","Kotzebue","3282","7619","1011","0.43","4573","10617","107","0.43","1258","2921","93","0.43","9113","21157","1211","0.43","pce",NA
"Koyukuk, City of","Koyukuk","93","98","58","0.95","67","70","5","0.95","102","107","10","0.95","262","275","73","0.95","pce",NA
"Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","358","689","177","0.52","180","346","16","0.52","43","82","9","0.52","581","1117","202","0.52","pce",NA
"Kwigillingok Power Company","Kwigillingok","295","483","90","0.61","241","396","12","0.61","67","110","16","0.61","603","989","118","0.61","pce",NA
"Larsen Bay Utility Company","Larsen Bay","77","175","51","0.44","128","290","33","0.44","73","167","10","0.44","278","632","95","0.44","pce",NA
"Levelock Electrical Coop","Levelock","104","149","35","0.7","89","127","12","0.7","48","69","13","0.7","241","345","61","0.7","pce",NA
"Lime Village Electric Utility","Lime Village","33","19","17","1.7","32","19","1","1.7","31","18","7","1.7","96","57","25","1.7","pce",NA
"Manokotak Power Company","Manokotak","303","551","145","0.55000000000000004","93","169","21","0.55000000000000004","299","544","24","0.55000000000000004","695","1265","190","0.55000000000000004","pce",NA
"Matanuska Electric Association","Palmer, Wasilla","69800","458393","53982","0.15","34198","268094","3711","0.13","0","0","0",NA,"103998","726487","57693","0.14000000000000001","eia","MEA services 29 communities including Palmer and Wasilla."
"Mcgrath Light & Power","McGrath","431","733","185","0.59","520","885","59","0.59","555","944","52","0.59","1506","2562","297","0.59","pce",NA
"Middle Kuskokwim Electric","Chuathbaluk","124","109","35","1.1399999999999999","124","109","5","1.1399999999999999","60","53","10","1.1399999999999999","308","271","50","1.1399999999999999","pce",NA
"Middle Kuskokwim Electric","Crooked Creek","120","103","32","1.1599999999999999","89","77","8","1.1599999999999999","65","56","8","1.1599999999999999","274","236","48","1.1599999999999999","pce",NA
"Middle Kuskokwim Electric","Red Devil","70","61","17","1.1499999999999999","18","16","3","1.1499999999999999","8","7","4","1.1499999999999999","96","83","24","1.1499999999999999","pce",NA
"Middle Kuskokwim Electric","Sleetmute","128","110","33","1.1599999999999999","68","58","7","1.1599999999999999","88","76","8","1.1599999999999999","284","245","48","1.1599999999999999","pce",NA
"Middle Kuskokwim Electric","Stony River","44","38","16","1.1599999999999999","57","49","6","1.1599999999999999","15","13","2","1.1599999999999999","117","101","24","1.1599999999999999","pce",NA
"Naknek Electric Association","Naknek, South Naknek, King Salmon","1732","3118","779","0.56000000000000005","5507","9916","239","0.56000000000000005","2864","5157","150","0.56000000000000005","10103","18190","1167","0.56000000000000005","pce",NA
"Napakiak Ircinraq","Napakiak","288","347","101","0.83","185","223","16","0.83","52","63","10","0.83","525","633","128","0.83","pce",NA
"Napaskiak Electric Utility","Napaskiak","290","415","107","0.7","126","180","7","0.7","56","81","13","0.7","473","675","127","0.7","pce",NA
"Naterkaq Light Plant (City of Chefornak)","Chefornak","311","448","99","0.69","153","221","10","0.69","297","429","24","0.69","761","1098","132","0.69","pce",NA
"Native Village of Perryville","Perryville","117","123","48","0.95","138","145","9","0.95","110","116","9","0.95","365","384","66","0.95","pce",NA
"Nelson Lagoon Electrical Coop","Nelson Lagoon","109","130","31","0.84","120","143","19","0.84","55","66","9","0.84","285","339","59","0.84","pce",NA
"New Koliganek Village Council","Koliganek","129","258","70","0.5","35","70","7","0.5","148","296","23","0.5","312","624","100","0.5","pce",NA
"Nikolai, City of","Nikolai","145","168","38","0.87","65","75","6","0.87","108","124","13","0.87","318","367","57","0.87","pce",NA
"Nome Joint Utility Systems","Nome","3569","9780","1704","0.36","6139","16823","287","0.36","2456","6730","123","0.36","12164","33333","2114","0.36","pce",NA
"North Slope Borough Power & Light","Anaktuvuk Pass","101","672","94","0.15","452","3016","61","0.15","12","77","5","0.15","565","3764","160","0.15","pce",NA
"North Slope Borough Power & Light","Atqasuk","92","614","59","0.15","424","2828","55","0.15","12","77","4","0.15","528","3519","118","0.15","pce",NA
"North Slope Borough Power & Light","Kaktovik","106","708","78","0.15","620","4131","49","0.15","133","890","10","0.15","859","5729","138","0.15","pce",NA
"North Slope Borough Power & Light","Nuiqsut","74","927","105","0.08","360","4505","65","0.08","11","139","6","0.08","446","5572","176","0.08","pce",NA
"North Slope Borough Power & Light","Point Hope","248","1655","183","0.15","507","3379","76","0.15","30","197","8","0.15","785","5231","267","0.15","pce",NA
"North Slope Borough Power & Light","Point Lay","68","452","57","0.15","396","2640","44","0.15","15","103","3","0.15","479","3194","104","0.15","pce",NA
"North Slope Borough Power & Light","Wainwright","182","1214","142","0.15","617","4111","71","0.15","20","136","6","0.15","819","5461","220","0.15","pce",NA
"Nunam Iqua Electric Company","Nunam Iqua","98","185","40","0.53","218","411","5","0.53","120","227","8","0.53","436","823","53","0.53","pce",NA
"Nushagak Electric Cooperative","Dillingham, Aleknagik","2649","5739","995","0.46","4973","10775","388","0.46","831","1801","98","0.46","8454","18315","1481","0.46","pce",NA
"Ouzinkie, City of","Ouzinkie","141","318","77","0.44","111","249","11","0.44","62","139","10","0.44","314","706","98","0.44","pce",NA
"Pedro Bay Village Council","Pedro Bay","55","60","20","0.91","76","84","10","0.91","28","31","5","0.91","159","175","35","0.91","pce",NA
"Pelican Utility","Pelican","217","313","66","0.69","128","184","10","0.69","179","259","29","0.69","524","756","105","0.69","pce",NA
"Petersburg, City of","Petersburg","2010","20803","1354","0.1","1030","9064","717","0.11","2208","19905","39","0.11","5249","49772","2110","0.11","eia",NA
"Pilot Point Electric Utility","Pilot Point","83","167","37","0.5","66","133","15","0.5","55","111","14","0.5","205","410","67","0.5","pce",NA
"Port Heiden Utilities","Port Heiden","163","217","51","0.75","104","138","21","0.75","223","298","14","0.75","490","653","85","0.75","pce",NA
"Puvurnaq Power Company","Kongiganak","353","542","100","0.65","177","272","18","0.65","67","103","9","0.65","596","917","127","0.65","pce",NA
"Ruby, City of","Ruby","218","260","131","0.84","248","295","14","0.84","101","120","22","0.84","567","675","167","0.84","pce",NA
"Saint George, City of","Saint George","158","184","42","0.86","109","127","15","0.86","260","302","21","0.86","527","613","78","0.86","pce",NA
"Saint Paul Municipal Electric","Saint Paul","455","829","149","0.55000000000000004","780","1421","33","0.55000000000000004","923","1681","48","0.55000000000000004","2158","3931","230","0.55000000000000004","pce",NA
"Seward, City of","Seward","3344","16488","2064","0.2","1869","8651","503","0.22","5828","33599","126","0.17","11041","58738","2693","0.19","eia","The City of Seward services the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
"Sitka, City & Borough of","Sitka","4570","47899","3669","0.1","5638","58534","1622","0.1","476","4968","15","0.1","10684","111401","5306","0.1","eia",NA
"Takotna Community Assoc Inc","Takotna","63","62","20","1.02","57","55","10","1.02","62","61","9","1.02","182","178","38","1.02","pce",NA
"Tanalian Electric Cooperative","Port Alsworth","196","284","67","0.69","233","337","33","0.69","61","89","17","0.69","490","709","116","0.69","pce",NA
"Tanana Power Company Inc","Tanana","251","332","106","0.76","289","383","31","0.76","274","362","18","0.76","814","1077","155","0.76","pce",NA
"Tatitlek Village Ira Council","Tatitlek","102","133","47","0.77","70","91","14","0.77","134","175","11","0.77","306","400","71","0.77","pce",NA
"TDX Adak Generating LLC","Adak","505","467","138","1.08","1604","1482","59","1.08","775","716","27","1.08","2884","2664","223","1.08","pce",NA
"TDX Corporation","Sand Point","1034","1539","288","0.67","1193","1774","159","0.67","502","747","46","0.67","2729","4059","493","0.67","pce",NA
"TDX Manley Generating LLC","Manley Hot Springs","189","210","87","0.9","168","186","15","0.9","22","25","4","0.9","379","420","106","0.9","pce",NA
"Tenakee Springs, City of","Tenakee Springs","182","242","126","0.75","62","83","33","0.75","27","36","14","0.75","271","361","172","0.75","pce",NA
"Tuluksak Traditional","Tuluksak","166","277","84","0.6","93","154","10","0.6","46","76","8","0.6","304","507","102","0.6","pce",NA
"Tuntutuliak Community","Tuntutuliak","294","453","95","0.65","260","401","22","0.65","52","80","13","0.65","607","933","129","0.65","pce",NA
"Twin Hills Village Council","Twin Hills","59","106","28","0.55000000000000004","35","64","4","0.55000000000000004","32","57","8","0.55000000000000004","126","227","40","0.55000000000000004","pce",NA
"Umnak Power Company","Nikolski","35","58","15","0.6","55","92","10","0.6","40","66","7","0.6","129","216","31","0.6","pce",NA
"Unalakleet Valley Electric Cooperative","Unalakleet","627","1515","285","0.41","758","1833","44","0.41","314","760","30","0.41","1700","4108","359","0.41","pce",NA
"Unalaska, City of","Unalaska","2003","4036","695","0.5","17194","34652","183","0.5","1764","3556","75","0.5","20962","42244","953","0.5","pce",NA
"Ungusraq Power Company","Newtok","214","268","66","0.8","98","123","16","0.8","36","45","6","0.8","349","436","88","0.8","pce",NA
"White Mountain, City of","White Mountain","157","253","63","0.62","190","307","20","0.62","93","150","13","0.62","440","709","96","0.62","pce",NA
"Wrangell, City of","Wrangell","1604","15273","1170","0.11","2132","19919","778","0.11","0","0","0",NA,"3736","35192","1948","0.11","eia",NA
"Yakutat Power Inc","Yakutat","765","1437","287","0.53","1620","3041","89","0.53","623","1170","60","0.53","3009","5648","435","0.53","pce",NA
