"Utility Name","Community Name","Residential Revenue","Residential Sales","Residential Customers","Residential $/kWh","Commercial Revenue","Commercial Sales","Commercial Customers","Commercial $/kWh","Other Revenue","Other Sales","Other Customers","Other $/kWh","Total Revenue","Total Sales","Total Customers","Total $/kWh","source","Notes"
"Akiachak Native Community","Akiachak","416","693","177","0.6","105","176","18","0.6","515","858","21","0.6","1036","1727","216","0.6","pce",NA
"Akiak City Council","Akiak","194","308","96","0.63","299","475","15","0.63","133","211","13","0.63","626","994","123","0.63","pce",NA
"Akutan, City of","Akutan","64","198","41","0.32","65","201","16","0.32","25","79","12","0.32","154","478","69","0.32","pce",NA
"Alaska Electric Light & Power Company","Juneau","16970","142255","13912","0.12","12857","129783","2174","0.1","11993","127106","94","0.09","41820","399144","16180","0.1","eia",NA
"Alaska Power & Telephone Company","Allakaket, Alatna","211","218","72","0.96","177","183","16","0.96","224","232","16","0.96","611","634","104","0.96","pce",NA
"Alaska Power & Telephone Company","Bettles, Evansville","93","124","30","0.75","53","72","11","0.75","251","336","21","0.75","397","532","62","0.75","pce",NA
"Alaska Power & Telephone Company","Chistochina","128","183","49","0.7","85","122","15","0.7","27","39","3","0.7","241","344","66","0.7","pce",NA
"Alaska Power & Telephone Company","Coffman Cove","159","541","146","0.28999999999999998","39","133","33","0.28999999999999998","37","125","13","0.28999999999999998","235","800","193","0.28999999999999998","pce",NA
"Alaska Power & Telephone Company","Craig","934","3753","651","0.25","1370","5505","294","0.25","534","2144","71","0.25","2838","11401","1015","0.25","pce",NA
"Alaska Power & Telephone Company","Dot Lake, Dot Lake Village","56","116","26","0.48","50","103","13","0.48","62","129","6","0.48","167","348","45","0.48","pce",NA
"Alaska Power & Telephone Company","Eagle, Eagle Village","249","375","135","0.66","81","122","18","0.66","123","186","23","0.66","453","683","177","0.66","pce",NA
"Alaska Power & Telephone Company","Haines, Covenant Life","1305","5521","1053","0.24","1112","4704","326","0.24","512","2164","52","0.24","2930","12389","1431","0.24","pce",NA
"Alaska Power & Telephone Company","Healy Lake","22","23","6","0.93","30","32","4","0.93","8","8","2","0.93","59","63","12","0.93","pce",NA
"Alaska Power & Telephone Company","Hollis","141","569","117","0.25","70","282","15","0.25","13","50","8","0.25","224","902","140","0.25","pce",NA
"Alaska Power & Telephone Company","Hydaburg","171","686","122","0.25","66","265","38","0.25","86","346","16","0.25","324","1297","177","0.25","pce",NA
"Alaska Power & Telephone Company","Klawock","581","2336","377","0.25","1277","5132","116","0.25","255","1026","35","0.25","2113","8494","528","0.25","pce",NA
"Alaska Power & Telephone Company","Mentasta Lake","114","162","53","0.7","74","107","9","0.7","70","100","8","0.7","258","369","70","0.7","pce",NA
"Alaska Power & Telephone Company","Naukati Bay","155","268","59","0.57999999999999996","34","59","7","0.57999999999999996","35","61","1","0.57999999999999996","225","389","67","0.57999999999999996","pce",NA
"Alaska Power & Telephone Company","Northway, Northway Village, Northway Junction","252","374","88","0.68","323","479","21","0.68","227","336","19","0.68","803","1189","128","0.68","pce",NA
"Alaska Power & Telephone Company","Skagway","714","3015","582","0.24","1632","6892","438","0.24","496","2095","90","0.24","2842","12002","1110","0.24","pce",NA
"Alaska Power & Telephone Company","Slana","207","296","78","0.7","52","75","11","0.7","99","142","7","0.7","358","513","96","0.7","pce",NA
"Alaska Power & Telephone Company","Tetlin","81","169","43","0.48","9","18","5","0.48","73","153","6","0.48","162","340","54","0.48","pce",NA
"Alaska Power & Telephone Company","Thorne Bay, Kasaan","347","1397","291","0.25","266","1072","107","0.25","221","889","53","0.25","835","3359","452","0.25","pce",NA
"Alaska Power & Telephone Company","Tok, Tanacross","1953","4100","763","0.48","1318","2766","162","0.48","720","1512","48","0.48","3991","8378","973","0.48","pce",NA
"Alaska Power & Telephone Company","Whale Pass","109","173","62","0.63","42","67","8","0.63","15","24","4","0.63","167","264","75","0.63","pce",NA
"Alaska Village Electric Cooperative","Alakanuk","496","786","160","0.63","200","317","19","0.63","533","845","19","0.63","1228","1948","198","0.63","pce",NA
"Alaska Village Electric Cooperative","Ambler","292","434","85","0.67","97","145","11","0.67","466","692","19","0.67","855","1271","115","0.67","pce",NA
"Alaska Village Electric Cooperative","Anvik","103","158","41","0.65","47","73","8","0.65","113","174","20","0.65","263","405","69","0.65","pce",NA
"Alaska Village Electric Cooperative","Brevig Mission","288","526","97","0.55000000000000004","88","161","9","0.55000000000000004","258","471","17","0.55000000000000004","634","1158","123","0.55000000000000004","pce",NA
"Alaska Village Electric Cooperative","Chevak","559","1082","209","0.52","206","399","17","0.52","525","1017","24","0.52","1290","2497","249","0.52","pce",NA
"Alaska Village Electric Cooperative","Eek","240","350","103","0.69","104","151","12","0.69","201","294","17","0.69","544","794","132","0.69","pce",NA
"Alaska Village Electric Cooperative","Ekwok","149","203","43","0.74","172","233","24","0.74","21","29","8","0.74","342","464","75","0.74","pce",NA
"Alaska Village Electric Cooperative","Elim","284","482","98","0.59","123","209","10","0.59","265","450","22","0.59","671","1140","130","0.59","pce",NA
"Alaska Village Electric Cooperative","Emmonak","665","1129","220","0.59","588","997","39","0.59","672","1141","29","0.59","1925","3267","289","0.59","pce",NA
"Alaska Village Electric Cooperative","Gambell","432","770","171","0.56000000000000005","190","339","15","0.56000000000000005","408","727","21","0.56000000000000005","1030","1837","206","0.56000000000000005","pce",NA
"Alaska Village Electric Cooperative","Goodnews Bay","259","409","84","0.63","108","170","8","0.63","141","222","15","0.63","507","802","107","0.63","pce",NA
"Alaska Village Electric Cooperative","Grayling","141","220","62","0.64","78","122","8","0.64","131","205","14","0.64","350","547","84","0.64","pce",NA
"Alaska Village Electric Cooperative","Holy Cross","189","319","80","0.59","33","56","7","0.59","143","241","16","0.59","365","616","103","0.59","pce",NA
"Alaska Village Electric Cooperative","Hooper Bay","769","1278","276","0.6","324","538","18","0.6","867","1442","28","0.6","1959","3259","322","0.6","pce",NA
"Alaska Village Electric Cooperative","Huslia","339","572","104","0.59","27","46","11","0.59","233","394","21","0.59","600","1011","136","0.59","pce",NA
"Alaska Village Electric Cooperative","Kalskag","216","337","69","0.64","133","207","22","0.64","202","316","9","0.64","550","860","99","0.64","pce",NA
"Alaska Village Electric Cooperative","Kaltag","167","294","75","0.56999999999999995","57","101","14","0.56999999999999995","184","323","19","0.56999999999999995","409","718","108","0.56999999999999995","pce",NA
"Alaska Village Electric Cooperative","Kasigluk","389","674","117","0.57999999999999996","235","406","20","0.57999999999999996","360","623","17","0.57999999999999996","984","1704","154","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Kiana","418","621","120","0.67","130","193","11","0.67","423","629","19","0.67","971","1443","150","0.67","pce",NA
"Alaska Village Electric Cooperative","Kivalina","330","493","86","0.67","129","193","9","0.67","329","492","17","0.67","788","1177","112","0.67","pce",NA
"Alaska Village Electric Cooperative","Kotlik","514","795","137","0.65","254","393","14","0.65","488","754","19","0.65","1256","1942","170","0.65","pce",NA
"Alaska Village Electric Cooperative","Koyuk","311","518","89","0.6","137","228","15","0.6","325","542","23","0.6","773","1288","126","0.6","pce",NA
"Alaska Village Electric Cooperative","Lower Kalskag","184","287","84","0.64","40","63","4","0.64","96","151","9","0.64","320","501","96","0.64","pce",NA
"Alaska Village Electric Cooperative","Marshall","349","601","111","0.57999999999999996","136","234","14","0.57999999999999996","430","741","26","0.57999999999999996","914","1576","151","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Mekoryuk","168","309","92","0.54","86","159","13","0.54","238","439","21","0.54","492","906","126","0.54","pce",NA
"Alaska Village Electric Cooperative","Minto","190","300","74","0.63","48","75","9","0.63","163","257","13","0.63","401","632","96","0.63","pce",NA
"Alaska Village Electric Cooperative","Mountain Village","675","1104","196","0.61","301","493","17","0.61","695","1136","28","0.61","1671","2733","241","0.61","pce",NA
"Alaska Village Electric Cooperative","New Stuyahok","392","621","110","0.63","171","271","27","0.63","317","502","18","0.63","880","1394","155","0.63","pce",NA
"Alaska Village Electric Cooperative","Nightmute","167","291","55","0.56999999999999995","71","123","12","0.56999999999999995","116","201","15","0.56999999999999995","353","615","83","0.56999999999999995","pce",NA
"Alaska Village Electric Cooperative","Noatak","682","840","123","0.81","187","230","10","0.81","577","711","14","0.81","1446","1781","148","0.81","pce",NA
"Alaska Village Electric Cooperative","Noorvik","601","927","154","0.65","111","172","11","0.65","553","854","20","0.65","1265","1954","185","0.65","pce",NA
"Alaska Village Electric Cooperative","Nulato","293","475","112","0.62","32","51","9","0.62","299","485","27","0.62","624","1012","147","0.62","pce",NA
"Alaska Village Electric Cooperative","Nunapitchuk","378","655","134","0.57999999999999996","123","213","20","0.57999999999999996","202","350","16","0.57999999999999996","703","1217","170","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Old Harbor","246","395","97","0.62","92","148","14","0.62","186","298","17","0.62","523","840","128","0.62","pce",NA
"Alaska Village Electric Cooperative","Pilot Station","466","770","139","0.6","152","251","10","0.6","432","713","20","0.6","1049","1735","169","0.6","pce",NA
"Alaska Village Electric Cooperative","Pitkas Point","78","134","30","0.57999999999999996","14","24","5","0.57999999999999996","102","174","7","0.57999999999999996","194","332","43","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Quinhagak","476","871","176","0.55000000000000004","244","446","20","0.55000000000000004","275","504","17","0.55000000000000004","995","1821","213","0.55000000000000004","pce",NA
"Alaska Village Electric Cooperative","Russian Mission","229","377","70","0.61","55","91","11","0.61","314","519","14","0.61","598","987","96","0.61","pce",NA
"Alaska Village Electric Cooperative","Saint Mary's, Andreafsky","533","912","187","0.57999999999999996","465","796","35","0.57999999999999996","665","1138","27","0.57999999999999996","1663","2846","249","0.57999999999999996","pce",NA
"Alaska Village Electric Cooperative","Saint Michael","437","688","102","0.64","265","416","13","0.64","408","642","18","0.64","1110","1746","133","0.64","pce",NA
"Alaska Village Electric Cooperative","Savoonga","468","871","166","0.54","191","354","17","0.54","465","864","22","0.54","1124","2089","206","0.54","pce",NA
"Alaska Village Electric Cooperative","Scammon Bay","390","588","123","0.66","131","197","21","0.66","520","784","21","0.66","1041","1569","165","0.66","pce",NA
"Alaska Village Electric Cooperative","Selawik","753","1166","194","0.65","256","396","23","0.65","1001","1551","35","0.65","2009","3113","252","0.65","pce",NA
"Alaska Village Electric Cooperative","Shageluk","72","110","37","0.66","64","98","6","0.66","86","131","11","0.66","222","339","54","0.66","pce",NA
"Alaska Village Electric Cooperative","Shaktoolik","271","455","68","0.6","148","249","10","0.6","137","230","16","0.6","556","934","94","0.6","pce",NA
"Alaska Village Electric Cooperative","Shishmaref","457","746","148","0.61","235","384","19","0.61","284","463","24","0.61","975","1593","191","0.61","pce",NA
"Alaska Village Electric Cooperative","Shungnak","367","413","61","0.89","391","440","14","0.89","347","391","13","0.89","1105","1244","88","0.89","pce",NA
"Alaska Village Electric Cooperative","Stebbins","381","619","142","0.61","152","247","13","0.61","304","495","18","0.61","837","1362","173","0.61","pce",NA
"Alaska Village Electric Cooperative","Teller","194","290","81","0.67","93","138","11","0.67","233","347","19","0.67","520","775","112","0.67","pce",NA
"Alaska Village Electric Cooperative","Togiak","814","1312","260","0.62","471","759","27","0.62","527","850","31","0.62","1812","2922","318","0.62","pce",NA
"Alaska Village Electric Cooperative","Toksook Bay","416","725","136","0.56999999999999995","154","268","15","0.56999999999999995","351","612","23","0.56999999999999995","921","1605","174","0.56999999999999995","pce",NA
