"Utility Name","Plant Name","Community Name","Fuel Type","Prime Mover","Net Generation MMBtu","Total Fuel MMBtu","Emission Factor","CO2 Metric Tons from Fuel","Efficiency (Max = 1.00)","Net Generation MWh","Fuel Use","Estimated Average Heat Content","Source","Notes"
"Akiachak Native Community","Akiachak","Akiachak","DFO","IC","6582","18956","73.150000000000006","1387","0.35","1929","136679","0.13900000000000001","pce",NA
"Akiak City Council","Akiak","Akiak","DFO","IC","4036","12508","73.150000000000006","915","0.32","1183","90189","0.13900000000000001","pce",NA
"Akutan, City of","Akutan","Akutan","DFO","IC","1095","5316","73.150000000000006","389","0.21","321","38330","0.13900000000000001","pce",NA
"Alaska Electric Light & Power Company","Annex Creek","Juneau","WAT","HY","74842","0",NA,"0","0.36","21935","0",NA,"eia",NA
"Alaska Electric Light & Power Company","Auke Bay","Juneau","DFO","GT","1914","11664","73.150000000000006","853","0.16","561","85764","0.13900000000000001","eia",NA
"Alaska Electric Light & Power Company","Auke Bay","Juneau","DFO","IC","106","402","73.150000000000006","29","0.26","31","2940","0.13900000000000001","eia",NA
"Alaska Electric Light & Power Company","Gold Creek","Juneau","DFO","IC","0","0","73.150000000000006","0",NA,"0","0","0.13900000000000001","eia",NA
"Alaska Electric Light & Power Company","Gold Creek","Juneau","WAT","HY","13604","0",NA,"0","0.36","3987","0",NA,"eia",NA
"Alaska Electric Light & Power Company","Lake Dorothy","Juneau","WAT","HY","288201","0",NA,"0","0.36","84467","0",NA,"eia",NA
"Alaska Electric Light & Power Company","Lemon Creek","Juneau","DFO","GT","68","445","73.150000000000006","33","0.15","20","3276","0.13900000000000001","eia",NA
"Alaska Electric Light & Power Company","Lemon Creek","Juneau","DFO","IC","717","2245","73.150000000000006","164","0.32","210","16506","0.13900000000000001","eia",NA
"Alaska Electric Light & Power Company","Salmon Creek 1","Juneau","WAT","HY","96887","0",NA,"0","0.36","28396","0",NA,"eia",NA
"Alaska Electric Light & Power Company","Snettisham","Juneau","WAT","HY","990920","0",NA,"0","0.36","290422","0",NA,"eia",NA
"Alaska Environmental Power LLC","Delta Wind Farm","Fairbanks","WND","WT","3375","0",NA,"0",NA,"989","0",NA,"AEA","Independent Power Producer sells power to Golden Valley Electric Association."
"Alaska Power & Telephone Company","Allakaket","Allakaket, Alatna","DFO","IC","2357","8190","73.150000000000006","599","0.28999999999999998","691","59054","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Bettles","Bettles, Evansville","DFO","IC","1988","6053","73.150000000000006","443","0.33","583","43642","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Coffman Cove","Coffman Cove","DFO","IC","41","306","73.150000000000006","22","0.13","12","2205","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Craig","Craig","DFO","IC","10072","32042","73.150000000000006","2344","0.31","2952","231031","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Eagle","Eagle, Eagle Village","DFO","IC","2626","8244","73.150000000000006","603","0.32","770","59444","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Haines","Haines, Covenant Life","DFO","IC","-445","2053","73.150000000000006","150","-0.22","-130","14805","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Healy Lake","Healy Lake","DFO","IC","266","1298","73.150000000000006","95","0.2","78","9356","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Naukati Bay","Naukati Bay","DFO","IC","1418","4843","73.150000000000006","354","0.28999999999999998","416","34923","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Northway","Northway, Northway Village, Northway Junction","DFO","IC","4335","13598","73.150000000000006","995","0.32","1270","98043","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Skagway","Skagway","DFO","IC","-170","806","73.150000000000006","59","-0.21","-50","5809","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Slana","Slana","DFO","IC","4616","15666","73.150000000000006","1146","0.28999999999999998","1353","112960","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Tok","Tok, Tanacross","DFO","IC","34636","101735","73.150000000000006","7442","0.34","10151","733541","0.13900000000000001","pce",NA
"Alaska Power & Telephone Company","Whale Pass","Whale Pass","DFO","IC","982","3509","73.150000000000006","257","0.28000000000000003","288","25298","0.13900000000000001","pce",NA
"Alaska Village Electric Cooperative","Alakanuk","Alakanuk","DFO","IC","6931","21667","73.150000000000006","1585","0.32","2031","156223","0.13900000000000001","pce",NA
"Alaska Village Electric Cooperative","Ambler","Ambler","DFO","IC","4478","13518","73.150000000000006","989","0.33","1312","97471","0.13900000000000001","pce",NA
"Alaska Village Electric Cooperative","Anvik","Anvik","DFO","IC","1426","5078","73.150000000000006","371","0.28000000000000003","418","36617","0.13900000000000001","pce",NA
"Alaska Village Electric Cooperative","Brevig Mission","Brevig Mission","DFO","IC","4046","12587","73.150000000000006","921","0.32","1186","90755","0.13900000000000001","pce",NA
"Alaska Village Electric Cooperative","Chevak","Chevak","DFO","IC","6032","20224","73.150000000000006","1479","0.3","1768","145822","0.13900000000000001","pce",NA
"Alaska Village Electric Cooperative","Eek","Eek","DFO","IC","2794","9492","73.150000000000006","694","0.28999999999999998","819","68444","0.13900000000000001","pce",NA
"Alaska Village Electric Cooperative","Ekwok","Ekwok","DFO","IC","1719","6424","73.150000000000006","470","0.27","504","46322","0.13900000000000001","pce",NA
"Alaska Village Electric Cooperative","Elim","Elim","DFO","IC","4033","12653","73.150000000000006","926","0.32","1182","91229","0.13900000000000001","pce",NA
"Alaska Village Electric Cooperative","Emmonak","Emmonak","DFO","IC","9781","30149","73.150000000000006","2205","0.32","2867","217385","0.13900000000000001","pce",NA
