"","Reporter ID","PCE ID","CPCN","Utility Name","Community Name","Intertie","AEA Energy Region","Residential Rate ($/kWh)","PCE Residential Reimbursement Rate ($/kWh)","Residential Rate after PCE ($/kWh)","Percent of Residential Rate Covered by PCE Reimbursement","PCE Community
(Y/N)","Source","Number of monthly records","Communities reported","Notes"
"3","SR-89","332070","289","King Cove, City of","King Cove","King Cove_grid","Aleutians","0.29999999999999993","6.9999999999999868E-2","0.23000000000000007","0.23333333333333295","Yes","PCE","12","King Cove",NA
"4","SR-156","332540","749","TDX Corporation","Sand Point","Sand Point_grid","Aleutians","0.56333333333333335","0.36916666666666675","0.19416666666666663","0.65532544378698243","Yes","PCE","12","Sand Point",NA
"5","SR-125","332740","242","Umnak Power Company","Nikolski","Nikolski_grid","Aleutians","0.66249999999999998","0.505","0.15749999999999997","0.76226415094339628","Yes","PCE","12","Nikolski",NA
"6","SR-24","331750","291","Andreanof Electric Corp","Atka","Atka_grid","Aleutians","0.73000000000000009","0.46500000000000008","0.26500000000000001","0.63698630136986301","Yes","PCE","12","Atka",NA
"7","SR-15","331040","293","Akutan, City of","Akutan","Akutan_grid","Aleutians","0.31999999999999995","0.17999999999999991","0.14000000000000004","0.56249999999999978","Yes","PCE","8","Akutan",NA
"8","SR-120","332320","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","0.84","0.65416666666666667","0.18583333333333332","0.77876984126984128","Yes","PCE","12","Nelson Lagoon",NA
"9","SR-185","332860","106","Unalaska, City of","Unalaska","Unalaska_grid","Aleutians","0.47166666666666668","0.22166666666666668","0.25","0.46996466431095407","Yes","PCE","12","Unalaska",NA
"10","SR-152","332550","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","1","0.67333333333333334","0.32666666666666661","0.67333333333333334","Yes","PCE","12","Saint George",NA
"11","SR-155","332560","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","0.52250000000000008","0.35416666666666674","0.16833333333333333","0.67783094098883578","Yes","PCE","12","Saint Paul",NA
"12","SR-48","331980","88","G & K Inc","Cold Bay","Cold Bay_grid","Aleutians","0.71249999999999991","0.51749999999999996","0.19499999999999998","0.72631578947368425","Yes","PCE","12","Cold Bay",NA
"13","SR-11","331005","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","1.4441666666666666","0.79749999999999999","0.64666666666666661","0.55222158107328334","Yes","PCE","12","Adak",NA
"14","SR-63","331970","442","False Pass, City of","False Pass","False Pass_grid","Aleutians","0.42","0.27500000000000002","0.14499999999999999","0.65476190476190488","Yes","PCE","12","False Pass",NA
"15","SR-184","332850","741","Unalakleet Valley Electric Cooperative","Unalakleet","Unalakleet_grid","Bering Straits","0.4383333333333333","0.23749999999999999","0.20083333333333331","0.54182509505703425","Yes","PCE","12","Unalakleet",NA
"16","SR-190","332890","409","White Mountain, City of","White Mountain","White Mountain_grid","Bering Straits","0.62","0.33999999999999991","0.28000000000000008","0.54838709677419339","Yes","PCE","12","White Mountain",NA
"17","SR-100","331420","169","Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","0.61666666666666659","0.41583333333333328","0.20083333333333331","0.67432432432432432","Yes","PCE","12","Koyuk",NA
"18","SR-154","331670","169","Alaska Village Electric Cooperative","Saint Michael","Stebbins_grid","Bering Straits","0.61499999999999999","0.41000000000000003","0.20499999999999999","0.66666666666666674","Yes","PCE","3","Saint Michael",NA
"19","SR-157","331590","169","Alaska Village Electric Cooperative","Savoonga","Savoonga_grid","Bering Straits","0.54666666666666675","0.34583333333333344","0.20083333333333331","0.63262195121951226","Yes","PCE","12","Savoonga",NA
"20","SR-161","331630","169","Alaska Village Electric Cooperative","Shaktoolik","Shaktoolik_grid","Bering Straits","0.54499999999999993","0.34416666666666662","0.20083333333333331","0.63149847094801226","Yes","PCE","12","Shaktoolik",NA
"21","SR-162","331640","169","Alaska Village Electric Cooperative","Shishmaref","Shishmaref_grid","Bering Straits","0.62","0.41916666666666669","0.20083333333333331","0.67607526881720437","Yes","PCE","12","Shishmaref",NA
"22","SR-167","331680","169","Alaska Village Electric Cooperative","Stebbins","Stebbins_grid","Bering Straits","0.6066666666666668","0.40583333333333349","0.20083333333333331","0.66895604395604402","Yes","PCE","12","Stebbins",NA
"23","SR-188","331730","169","Alaska Village Electric Cooperative","Wales","Wales_grid","Bering Straits","0.68833333333333313","0.47749999999999981","0.21083333333333334","0.69370460048426141","Yes","PCE","12","Wales",NA
"24","SR-31","331270","169","Alaska Village Electric Cooperative","Brevig Mission","Brevig Mission_grid","Bering Straits","0.58833333333333337","0.38750000000000007","0.20083333333333331","0.65864022662889521","Yes","PCE","12","Brevig Mission",NA
"25","SR-61","331300","169","Alaska Village Electric Cooperative","Elim","Elim_grid","Bering Straits","0.61666666666666659","0.41583333333333328","0.20083333333333331","0.67432432432432432","Yes","PCE","12","Elim",NA
"26","SR-66","331320","169","Alaska Village Electric Cooperative","Gambell","Gambell_grid","Bering Straits","0.54166666666666674","0.34083333333333343","0.20083333333333331","0.62923076923076937","Yes","PCE","12","Gambell",NA
"27","SR-54","331930","383","Diomede Joint Utilities","Diomede","Diomede_grid","Bering Straits","0.19999999999999998","0.15","4.9999999999999996E-2","0.75","Yes","PCE","12","Diomede",NA
"28","SR-173","331685","61","Teller Power Company","Teller","Teller_grid","Bering Straits","0.63","0.42500000000000004","0.20499999999999999","0.67460317460317465","Yes","PCE","12","Teller",NA
"29","SR-127","332340","150","Nome Joint Utility Systems","Nome","Nome_grid","Bering Straits","0.39333333333333337","0.18250000000000002","0.21083333333333334","0.46398305084745767","Yes","PCE","12","Nome",NA
"30","SR-67","332000","373","Golovin Power Utilities","Golovin","Golovin_grid","Bering Straits","0.58916666666666684","0.33750000000000013","0.25166666666666671","0.57284299858557286","Yes","PCE","12","Golovin",NA
"31","SR-109","332210","321","Manokotak Power Company","Manokotak","Manokotak_grid","Bristol Bay","0.54999999999999993","0.27249999999999985","0.27750000000000008","0.49545454545454526","Yes","PCE","12","Manokotak",NA
"32","SR-183","332730","729","Twin Hills Village Council","Twin Hills","Twin Hills_grid","Bristol Bay","1","0.35249999999999981","0.64750000000000019","0.35249999999999981","Yes","PCE","12","Twin Hills",NA
"33","SR-145","332590","447","Tanalian Electric Cooperative","Port Alsworth","Port Alsworth_grid","Bristol Bay","0.65750000000000008","0.47416666666666674","0.18333333333333332","0.72116603295310522","Yes","PCE","12","Port Alsworth",NA
"34","SR-138","332470","659","Native Village of Perryville","Perryville","Perryville_grid","Bristol Bay","0","0","0","0","Yes","0","0","Perryville",NA
"35","SR-39","331870","658","Chignik Lagoon Power Utility","Chignik Lagoon","Chignik Lagoon_grid","Bristol Bay","0.73833333333333329","0.38583333333333331","0.35249999999999998","0.52257336343115124","Yes","PCE","12","Chignik Lagoon",NA
"36","SR-80","332040","681","Igiugig Electric Company","Igiugig","Igiugig_grid","Bristol Bay","0.81000000000000039","0.5783333333333337","0.23166666666666666","0.71399176954732524","Yes","PCE","12","Igiugig",NA
