"AK Plant ID","RCA CPCN","Utility Name","Plant Name","Intertie Name","Energy Region","Fuel Type","Prime Mover","Generation MMBtu","Total Fuel MMBtu","Emission Factor","CO2 Metric Tons from Fuel","Efficiency (Max = 1.00)","Generation MWh","Fuel Use","Fuel Units","Estimated Average Heat Content","Source","Number of monthly records","Communities connected to plant","Notes"
"P107","291","Atka, City of","Atka","Atka_grid","Aleutians","WAT","HY","944.60135250000008","0","0","0","-","276.17500000000001","0",NA,"-","PCE","12","Atka",NA
"P107","291","Atka, City of","Atka","Atka_grid","Aleutians","DFO","IC","821.82968399999993","3821","74.14","283.28894000000003","0.21508235645119078","240.27999999999997","27688","gallons","0.13800202253683908","PCE","12","Atka",NA
"P141","442","False Pass, City of","False Pass","False Pass_grid","Aleutians","DFO","IC","2575.4038128000007","8115","74.14","601.64609999999993","0.3173633780406655","752.97600000000011","58804","gallons","0.13800081627100197","PCE","12","False Pass",NA
"P143","88","G & K Inc","Cold Bay","Cold Bay_grid","Aleutians","DFO","IC","8888.6619587999994","26366.599999999995","74.14","1954.8197239999997","0.33711824652401146","2598.7959999999998","191062","gallons","0.13800023029173775","PCE","12","Cold Bay",NA
"P177","289","King Cove, City of","King Cove","King Cove_grid","Aleutians","WAT","HY","7599.9066000000003","0","0","0","-","2222","0",NA,"-","PCE","12","King Cove",NA
"P177","289","King Cove, City of","King Cove","King Cove_grid","Aleutians","DFO","IC","8223.9574365000008","23638.299999999996","74.14","1752.5435619999996","0.34790815906812261","2404.4550000000004","171292","gallons","0.13800002335193701","PCE","12","King Cove",NA
"P212","340","Nelson Lagoon Electrical Coop","Nelson Lagoon","Nelson Lagoon_grid","Aleutians","DFO","IC","1145.0582949000002","4696.4000000000005","74.14","348.19109600000002","0.24381617726343582","334.78300000000002","34033","gallons","0.13799547498016632","PCE","12","Nelson Lagoon",NA
"P237","410","Saint George, City of","Saint George","Saint George_grid","Aleutians","DFO","IC","2264.0641646999998","7680.1","74.14","569.40261400000009","0.29479618295334692","661.94899999999996","55654","gallons","0.13799726883961622","PCE","12","Saint George",NA
"P238","339","Saint Paul Municipal Electric","Saint Paul","Saint Paul_grid","Aleutians","DFO","IC","3031.5726441000002","8931.4","74.14","662.17399599999987","0.33942860515708628","886.34699999999998","64720","gallons","0.13800061804697156","PCE","3","Saint Paul",NA
"P251","684","TDX Adak Generating LLC","Adak","Adak_grid","Aleutians","DFO","IC","7046.8885539000003","21039.499999999996","74.14","1559.8685299999997","0.33493612271679468","2060.3130000000001","152461","gallons","0.13799922603157527","PCE","12","Adak",NA
